"","human_gene","nematode_gene"
"1589","FUT9","Y47D3A.1"
"1590","ADAT3","Y47D3A.14"
"1591","DENR","Y47D3A.21"
"1592","NR1I3","Y47D7A.3"
"1593","GMPPA","Y47D9A.1"
"1594","CSNK1A1L","Y47G6A.13"
"1595","GOLPH3L","Y47G6A.18"
"1596","CPA2","Y47G6A.19"
"1597","DHRS4","Y47G6A.21"
"1598","DHRS4","Y47G6A.22"
"1599","SLC35C2","Y47G6A.7"
"1600","DXO","Y47H10A.3"
"1601","DXO","Y47H10A.4"
"1602","DXO","Y47H10A.5"
"1603","NGLY1","Y47H9A.1"
"1604","CNPY2","Y47H9C.8"
"1605","SHQ1","Y48A5A.1"
"1606","UQCC2","Y48A5A.3"
"1607","NHP2","Y48A6B.3"
"1608","KRBOX1","Y48A6B.8"
"1609","BOP1","Y48B6A.1"
"1610","MVD","Y48B6A.13"
"1611","TSC22D4","Y48C3A.12"
"1612","TOP3B","Y48C3A.14"
"1613","YRDC","Y48C3A.18"
"1614","PUS10","Y48C3A.20"
"1615","FAXC","Y48C3A.3"
"1616","CARNMT1","Y48E1C.2"
"1617","ESD","Y48G10A.1"
"1618","NDRG3","Y48G10A.3"
"1619","SNAPC3","Y48G1BL.8"
"1620","MTMR9","Y48G1C.10"
"1621","ANAPC10","Y48G1C.12"
"1622","TRMT13","Y49A3A.3"
"1623","GOLT1A","Y49E10.16"
"1624","GOLT1B","Y49E10.18"
"1625","GOLT1A","Y49E10.25"
"1626","DNTTIP2","Y49F6B.2"
"1627","RNF19B","Y49F6B.9"
"1628","SLC17A1","Y4C6B.3"
"1629","SLC17A1","Y4C6B.4"
"1630","RMC1","Y50D4A.4"
"1631","SCCPDH","Y50D4B.2"
"1632","NGLY1","Y50D4B.4"
"1633","TDRD3","Y50D4C.3"
"1634","GMFB","Y50D7A.10"
"1635","MMP7","Y50D7A.13"
"1636","CTSL","Y51A2D.1"
"1637","PLD3","Y51A2D.13"
"1638","CTSL","Y51A2D.8"
"1639","MAPK13","Y51B9A.9"
"1640","SLC38A10","Y51F10.4"
"1641","NDUFB8","Y51H1A.3"
"1642","ZC3H12D","Y51H4A.13"
"1643","TSR2","Y51H4A.15"
"1644","CRB1","Y51H4A.24"
"1645","GCNT2","Y51H4A.25"
"1646","GOLT1B","Y51H4A.5"
"1647","UROC1","Y51H4A.7"
"1648","SMIM7","Y51H7C.41"
"1649","C1D","Y51H7C.7"
"1650","NOM1","Y52B11A.10"
"1651","CELSR2","Y52B11A.11"
"1652","CYB5R4","Y52B11A.3"
"1653","MFSD11","Y52E8A.6"
"1654","DTWD1","Y53C12A.10"
"1655","YIPF3","Y53C12A.3"
"1656","TBL3","Y53C12B.1"
"1657","MOS","Y53F4B.1"
"1658","PET100","Y53F4B.14"
"1659","FAAH2","Y53F4B.18"
"1660","LVRN","Y53F4B.20"
"1661","WASHC4","Y53F4B.21"
"1662","LACTB2","Y53F4B.39"
"1663","RNF25","Y53G8AR.5"
"1664","SARNP","Y53G8AR.6"
"1665","DMAC2","Y53G8AR.8"
"1666","ZC3H10","Y53G8AR.9"
"1667","GSTO1","Y53G8B.1"
"1668","MOGAT2","Y53G8B.2"
"1669","RPF2","Y54E10A.10"
"1670","LTN1","Y54E10A.11"
"1671","LRRC47","Y54E10A.6"
"1672","ARFRP1","Y54E10BR.2"
"1673","RNF181","Y54E10BR.3"
"1674","NOB1","Y54E10BR.4"
"1675","ASCC3","Y54E2A.4"
"1676","VMO1","Y54E2A.9"
"1677","PBDC1","Y54E5A.5"
"1678","RRP9","Y54E5B.2"
"1679","TMEM165","Y54F10AL.1"
"1680","NDUFA8","Y54F10AM.5"
"1681","PLBD2","Y54F10AM.8"
"1682","PITPNA","Y54F10AR.1"
"1683","STYX","Y54F10BM.13"
"1684","CCDC25","Y54G11A.2"
"1685","TTC38","Y54G11A.4"
"1686","TTC38","Y54G11A.7"
"1687","ISCA2","Y54G11A.9"
"1688","CDC40","Y54G2A.12"
"1689","BCAP31","Y54G2A.18"
"1690","GOLT1B","Y54G2A.45"
"1691","GRWD1","Y54H5A.1"
"1692","HGH1","Y54H5A.2"
"1693","NAAA","Y55D5A.3"
"1694","AGGF1","Y55D9A.2"
"1695","MINDY1","Y55F3AM.9"
"1696","DDX1","Y55F3BR.1"
"1697","EPPIN","Y55F3BR.2"
"1698","FBXL22","Y55F3C.9"
"1699","DEF8","Y56A3A.16"
"1700","NDUFAB1","Y56A3A.19"
"1701","MBTPS2","Y56A3A.2"
"1702","FAM210A","Y56A3A.22"
"1703","INTS15","Y56A3A.31"
"1704","FAXC","Y57A10A.26"
"1705","SDHAF2","Y57A10A.29"
"1706","RNF216","Y57A10A.31"
"1707","SERINC1","Y57E12AL.1"
"1708","VMO1","Y57G11A.2"
"1709","FRRS1L","Y57G11A.4"
"1710","PICK1","Y57G11C.22"
"1711","PGLS","Y57G11C.3"
"1712","GOLGA7","Y57G11C.33"
"1713","KTI12","Y57G11C.43"
"1714","NAPG","Y59A8B.25"
"1715","NAPG","Y59A8B.8"
"1716","CPA4","Y59C2A.1"
"1717","TMEM259","Y59C2A.2"
"1718","SLC23A3","Y59E9AL.4"
"1719","ZC3H12D","Y59E9AR.2"
"1720","ZC3H12D","Y59E9AR.8"
"1721","ZNF576","Y5F2A.4"
"1722","HAVCR2","Y5H2A.1"
"1723","YIPF4","Y60A3A.19"
"1724","ZFP36L1","Y60A9.3"
"1725","BMS1","Y61A9LA.10"
"1726","KRBOX1","Y61A9LA.4"
"1727","PSPH","Y62E10A.13"
"1728","MAIP1","Y62E10A.20"
"1729","POP7","Y62E10A.24"
"1730","FDXR","Y62E10A.6"
"1731","NDUFA2","Y63D3A.7"
"1732","EIF4A3","Y65B4A.6"
"1733","COASY","Y65B4A.8"
"1734","CSNK1A1L","Y65B4A.9"
"1735","PLB1","Y65B4BR.1"
"1736","MITD1","Y66D12A.10"
"1737","TM2D1","Y66D12A.21"
"1738","GATC","Y66D12A.7"
"1739","STEEP1","Y66D12A.8"
"1740","PSME3","Y66D12A.9"
"1741","GAR1","Y66H1A.4"
"1742","ARMCX3","Y67A10A.7"
"1743","NAT9","Y67D2.5"
"1744","SAP30BP","Y67D2.7"
"1745","PHKB","Y67D8A.2"
"1746","NR5A1","Y67D8B.2"
"1747","CLRN2","Y67D8C.22"
"1748","KLHDC10","Y67H2A.2"
"1749","MIPEP","Y67H2A.7"
"1750","XPO4","Y69A2AR.16"
"1751","ATP5F1C","Y69A2AR.18"
"1752","GFRA4","Y69A2AR.31"
"1753","PPP1CC","Y69E1A.4"
"1754","CSNK1A1L","Y69F12A.1"
"1755","SCAPER","Y6B3B.4"
"1756","LAS1L","Y6B3B.9"
"1757","IDE","Y70C5C.1"
"1758","DLL1","Y70G10A.2"
"1759","SLCO4A1","Y70G10A.3"
"1760","TFG","Y71A12B.10"
"1761","TMEM41A","Y71A12C.2"
"1762","TRMT11","Y71F9AL.1"
"1763","ZNRF2","Y71F9AL.10"
"1764","CSNK1A1L","Y71F9AL.2"
"1765","SPATS2","Y71F9AL.9"
"1766","TAMM41","Y71F9B.2"
"1767","CABLES2","Y71F9B.6"
"1768","CRYL1","Y71F9B.9"
"1769","SLC10A5","Y71G10AR.4"
"1770","PPP1CC","Y71G12B.30"
"1771","NT5C2","Y71H10B.1"
"1772","OSGEP","Y71H2AM.1"
"1773","TMEM132C","Y71H2AM.10"
"1774","SRCIN1","Y71H2AM.15"
"1775","PIP4P2","Y71H2AM.2"
"1776","PTPA","Y71H2AM.20"
"1777","CTSS","Y71H2AM.25"
"1778","UBE3D","Y71H2AM.3"
"1779","NDUFC2","Y71H2AM.4"
"1780","PPCS","Y71H2AM.6"
"1781","CTSV","Y71H2AR.2"
"1782","PHAX","Y71H2B.2"
"1783","PLS3","Y73B3B.1"
"1784","DNAJC10","Y73B6BL.12"
"1785","LIG3","Y73B6BL.14"
"1786","PUSL1","Y73B6BL.29"
"1787","SLC35F3","Y73B6BL.31"
"1788","PLB1","Y73B6BL.37"
"1789","ABHD14B","Y73C8B.1"
"1790","ABHD14B","Y73C8B.2"
"1791","SERHL2","Y73C8B.3"
"1792","RNF24","Y73C8C.3"
"1793","RNF24","Y73C8C.8"
"1794","CCDC124","Y73E7A.1"
"1795","SLC35F2","Y73E7A.3"
"1796","BLCAP","Y73E7A.6"
"1797","P3H4","Y73F8A.26"
"1798","FDX2","Y73F8A.27"
"1799","TMEM50B","Y74C10AL.2"
"1800","GPN3","Y75B8A.14"
"1801","GPR89A","Y75B8A.16"
"1802","PI4KA","Y75B8A.24"
"1803","FAM172A","Y75B8A.31"
"1804","MPHOSPH10","Y75B8A.7"
"1805","MMADHC","Y76A2B.5"
"1806","SELENOF","Y76B12C.3"
"1807","GGT5","Y7A9A.1"
"1808","GLTP","Y82E9BR.14"
"1809","NEMF","Y82E9BR.18"
"1810","ATP5MC2","Y82E9BR.3"
"1811","TMEM161B","Y87G2A.13"
"1812","LITAF","Y87G2A.19"
"1813","ACOT8","Y87G2A.2"
"1814","THADA","Y92H12A.5"
"1815","CDKAL1","Y92H12BL.1"
"1816","ARHGAP39","Y92H12BL.7"
"1817","ARHGAP39","Y92H12BM.1"
"1818","PHYHIPL","Y92H12BR.7"
"1819","PTRHD1","Y94H6A.12"
"1820","DDX54","Y94H6A.5"
"1821","NDUFA12","Y94H6A.8"
"1822","STUM","Y97E10AL.1"
"1823","BSDC1","Y97E10AR.6"
"1824","TP53I11","Y9C12A.1"
"1825","FBXL22","Y9C9A.13"
"1826","SQOR","Y9C9A.16"
"1827","RNFT2","ZC13.1"
"1828","GDE1","ZC155.4"
"1829","SAMD4A","ZC190.4"
"1830","VAPB","ZC196.2"
"1831","KCTD10","ZC239.13"
"1832","KCTD10","ZC239.14"
"1833","KCTD10","ZC239.15"
"1834","KCTD10","ZC239.16"
"1835","KCTD10","ZC239.17"
"1836","KCTD10","ZC239.3"
"1837","KCTD10","ZC239.4"
"1838","KCTD10","ZC239.5"
"1839","KCTD10","ZC239.6"
"1840","B3GLCT","ZC250.2"
"1841","GRAMD1C","ZC328.3"
"1842","CSNK1A1L","ZC373.3"
"1843","APIP","ZC373.5"
"1844","RRP7A","ZC434.4"
"1845","CKMT1B","ZC434.8"
"1846","PPP1CC","ZC477.2"
"1847","EDEM3","ZC506.1"
"1848","SCYL2","ZC581.9"
"1849","PI4K2A","ZC8.6"
"1850","RMND1","ZK1010.2"
"1851","EPHX1","ZK1037.6"
"1852","SLC41A3","ZK1053.6"
"1853","GALT","ZK1058.3"
"1854","TMEM151A","ZK1067.4"
"1855","NDRG3","ZK1073.1"
"1856","NATD1","ZK1098.11"
"1857","EXD3","ZK1098.3"
"1858","BCCIP","ZK1127.4"
"1859","RCL1","ZK1127.5"
"1860","NDUFAF7","ZK1128.1"
"1861","CRELD2","ZK1193.2"
"1862","ARPP21","ZK121.2"
"1863","GCNT1","ZK1225.2"
"1864","GUF1","ZK1236.1"
"1865","SWT1","ZK1248.15"
"1866","LZIC","ZK1248.19"
"1867","SRD5A2","ZK1251.3"
"1868","AKR1B10","ZK1290.5"
"1869","PRKCSH","ZK1307.8"
"1870","YJU2B","ZK1307.9"
"1871","GPANK1","ZK1320.7"
"1872","EBAG9","ZK154.4"
"1873","SAMHD1","ZK177.8"
"1874","SLC41A3","ZK185.2"
"1875","GLYAT","ZK185.3"
"1876","PGAP2","ZK185.4"
"1877","GOLT1B","ZK262.2"
"1878","RPUSD3","ZK287.7"
"1879","PITHD1","ZK353.9"
"1880","CSNK1A1L","ZK354.2"
"1881","CSNK1A1L","ZK354.6"
"1882","PPP1CC","ZK354.9"
"1883","PNPLA7","ZK370.4"
"1884","NR1I3","ZK418.10"
"1885","NR2F2","ZK418.11"
"1886","TMEM147","ZK418.5"
"1887","ESPL1","ZK430.5"
"1888","DCAF13","ZK430.7"
"1889","MPV17L2","ZK470.1"
"1890","DDX55","ZK512.2"
"1891","SRP9","ZK512.4"
"1892","SNRK","ZK524.4"
"1893","SURF6","ZK546.14"
"1894","SLC18A2","ZK550.2"
"1895","THOP1","ZK550.3"
"1896","PHYH","ZK550.6"
"1897","SLC34A3","ZK563.2"
"1898","CANT1","ZK563.7"
"1899","CSNK1A1L","ZK596.2"
"1900","MFSD11","ZK6.6"
"1901","MFSD11","ZK6.8"
"1902","CHCHD4","ZK616.2"
"1903","CHCHD4","ZK616.3"
"1904","ZCCHC8","ZK632.11"
"1905","PLEKHF2","ZK632.12"
"1906","RPP25L","ZK632.14"
"1907","SLC4A1AP","ZK632.2"
"1908","MPI","ZK632.4"
"1909","FAM136A","ZK637.2"
"1910","DCTD","ZK643.2"
"1911","DDX51","ZK686.2"
"1912","TUSC3","ZK686.3"
"1913","BAG6","ZK688.5"
"1914","TIPRL","ZK688.9"
"1915","CBR1","ZK697.14"
"1916","TTR","ZK697.8"
"1917","PXYLP1","ZK792.1"
"1918","ASB1","ZK792.4"
"1919","NOP9","ZK792.5"
"1920","IMP4","ZK795.3"
"1921","SLC5A4","ZK822.5"
"1922","HSD17B14","ZK829.1"
"1923","VAT1L","ZK829.7"
"1924","EIF1AD","ZK856.11"
"1925","SMPDL3B","ZK856.5"
"1926","TM9SF4","ZK858.6"
"1927","TRMT6","ZK858.7"
"1928","SLC22A7","ZK892.3"
"1929","AMACR","ZK892.4"
"1930","EPHX1","ZK896.1"
"1931","EPHX1","ZK896.4"
"1932","EPHX1","ZK896.5"
"1933","HDDC3","ZK909.3"
"1934","ZC4H2","ZK930.2"
"1935","PPP1CC","ZK938.1"
"1936","IDNK","ZK938.3"
"1937","SRBD1","ZK973.1"
"1938","TMX1","ZK973.11"
"1939","SS18L2","ZK973.9"
"1940","GAA","aagr-2"
"1941","GANC","aagr-4"
"1942","PRKAB1","aakb-1"
"1943","PRKAB2","aakb-2"
"1944","PRKAG1","aakg-2"
"1945","PRKAG1","aakg-3"
"1946","PRKAG1","aakg-4"
"1947","PIK3R3","aap-1"
"1948","AARS1","aars-2"
"1949","AASS","aass-1"
"1950","SLC7A5","aat-1"
"1951","SLC7A7","aat-2"
"1952","SLC7A6","aat-4"
"1953","SLC7A6","aat-9"
"1954","ABCE1","abce-1"
"1955","ABCF1","abcf-1"
"1956","ABCF2","abcf-2"
"1957","ABCF3","abcf-3"
"1958","ABCG5","abch-1"
"1959","ABCG2","abcx-1"
"1960","ABHD6","abhd-11.1"
"1961","ABHD11","abhd-11.2"
"1962","ABHD12B","abhd-12"
"1963","ABHD1","abhd-3.1"
"1964","ABHD1","abhd-3.2"
"1965","ABI3","abi-1"
"1966","ABCA9","abt-1"
"1967","ABCA3","abt-2"
"1968","ABCA3","abt-4"
"1969","ABCA3","abt-5"
"1970","ABCB7","abtm-1"
"1971","SLC4A8","abts-1"
"1972","SLC4A11","abts-2"
"1973","SLC4A1","abts-4"
"1974","ACAA2","acaa-2"
"1975","DBI","acbp-1"
"1976","ACBD6","acbp-5"
"1977","ASIC1","acd-1"
"1978","ASIC1","acd-2"
"1979","ASIC1","acd-4"
"1980","ACADSB","acdh-1"
"1981","ACADM","acdh-10"
"1982","ACADVL","acdh-12"
"1983","ACADSB","acdh-2"
"1984","ACOX2","acdh-3"
"1985","ACOX2","acdh-4"
"1986","ACADM","acdh-8"
"1987","ACAD8","acdh-9"
"1988","ACAD11","acds-10"
"1989","TG","ace-1"
"1990","BCHE","ace-2"
"1991","ACHE","ace-3"
"1992","ACHE","ace-4"
"1993","ACIN1","acin-1"
"1994","AGPAT2","acl-1"
"1995","AGPAT5","acl-11"
"1996","LPGAT1","acl-14"
"1997","AGPAT1","acl-2"
"1998","TAFAZZIN","acl-3"
"1999","GPAT3","acl-4"
"2000","GPAT4","acl-5"
"2001","GPAM","acl-6"
"2002","GNPAT","acl-7"
"2003","LCLAT1","acl-8"
"2004","LCLAT1","acl-9"
"2005","ACLY","acly-1"
"2006","ACLY","acly-2"
"2007","ACE2","acn-1"
"2008","ACO2","aco-2"
"2009","ACOX1","acox-1.1"
"2010","ACOX1","acox-1.2"
"2011","ACOX1","acox-1.3"
"2012","ACOX1","acox-1.4"
"2013","ACOX3","acox-3"
"2014","ACP3","acp-1"
"2015","ACP3","acp-2"
"2016","ACP3","acp-3"
"2017","ACP3","acp-4"
"2018","ACSM4","acs-1"
"2019","ACSBG2","acs-10"
"2020","ACSF3","acs-11"
"2021","ACSL5","acs-13"
"2022","ACSBG1","acs-14"
"2023","ACSL1","acs-15"
"2024","ACSL6","acs-17"
"2025","ACSL1","acs-18"
"2026","ACSS2","acs-19"
"2027","ACSM4","acs-2"
"2028","SLC27A4","acs-20"
"2029","ACSF3","acs-21"
"2030","ACSBG2","acs-6"
"2031","ACMSD","acsd-1"
"2032","ACTB","act-1"
"2033","ACTB","act-2"
"2034","ACTB","act-3"
"2035","ACTB","act-4"
"2036","ADCY9","acy-1"
"2037","TADA2B","ada-2"
"2038","ADA","adah-1"
"2039","ADAL","adal-1"
"2040","ADD1","add-2"
"2041","ADK","adk-1"
"2042","ADAM17","adm-4"
"2043","WDTC1","adpr-1"
"2044","ADAT1","adr-1"
"2045","ADAR","adr-2"
"2046","AGPS","ads-1"
"2047","ADSL","adsl-1"
"2048","ADSS2","adss-1"
"2049","UNC13D","aex-1"
"2050","MADD","aex-3"
"2051","RAB27A","aex-6"
"2052","AFDN","afd-1"
"2053","AFMID","afmd-1"
"2054","PIK3CD","age-1"
"2055","ARFGEF2","agef-1"
"2056","AGL","agl-1"
"2057","AGMO","agmo-1"
"2058","MGMT","agt-1"
"2059","AGXT","agxt-1"
"2060","ARNT2","aha-1"
"2061","AHCY","ahcy-1"
"2062","ABHD17A","aho-3"
"2063","AHR","ahr-1"
"2064","AHSA1","ahsa-1"
"2065","ZFAND2A","aip-1"
"2066","WDR1","aipl-1"
"2067","AIP","aipr-1"
"2068","AURKB","air-2"
"2069","AKAP1","akap-1"
"2070","AKIRIN1","akir-1"
"2071","ALDOC","aldo-1"
"2072","ALDOC","aldo-2"
"2073","C9orf72","alfa-1"
"2074","AGO2","alg-1"
"2075","AGO2","alg-2"
"2076","AGO4","alg-3"
"2077","AGO4","alg-4"
"2078","ALG1","algn-1"
"2079","ALG10","algn-10"
"2080","ALG11","algn-11"
"2081","ALG12","algn-12"
"2082","ALG14","algn-14"
"2083","ALG2","algn-2"
"2084","ALG3","algn-3"
"2085","ALG5","algn-5"
"2086","ALG6","algn-6"
"2087","DPAGT1","algn-7"
"2088","ALG8","algn-8"
"2089","ALG9","algn-9"
"2090","ALDH1B1","alh-1"
"2091","ALDH8A1","alh-10"
"2092","ALDH9A1","alh-11"
"2093","ALDH18A1","alh-13"
"2094","ALDH1B1","alh-2"
"2095","ALDH1L1","alh-3"
"2096","ALDH3A1","alh-4"
"2097","ALDH3A1","alh-5"
"2098","ALDH4A1","alh-6"
"2099","ALDH5A1","alh-7"
"2100","ALDH6A1","alh-8"
"2101","ALDH7A1","alh-9"
"2102","ALKBH1","alkb-1"
"2103","ALKBH7","alkb-7"
"2104","ALKBH8","alkb-8"
"2105","PRICKLE4","alp-1"
"2106","ALYREF","aly-2"
"2107","ALYREF","aly-3"
"2108","POLR2A","ama-1"
"2109","MAN2B1","aman-1"
"2110","MAN2A1","aman-2"
"2111","MAN2A2","aman-3"
"2112","AMDHD1","amdh-1"
"2113","AMPD2","ampd-1"
"2114","BIN1","amph-1"
"2115","SMOX","amx-1"
"2116","ANGEL2","angl-1"
"2117","ANLN","ani-2"
"2118","ANLN","ani-3"
"2119","INMT","anmt-1"
"2120","INMT","anmt-2"
"2121","INMT","anmt-3"
"2122","ANO8","anoh-2"
"2123","ANPEP","anp-1"
"2124","SAE1","aos-1"
"2125","AP2A2","apa-2"
"2126","AP1B1","apb-1"
"2127","AP3B1","apb-3"
"2128","ANAPC10","apc-10"
"2129","ANAPC11","apc-11"
"2130","ANAPC1","apc-17"
"2131","ANAPC2","apc-2"
"2132","AP3D1","apd-3"
"2133","PPP1R13B","ape-1"
"2134","AP1G1","apg-1"
"2135","APH1B","aph-1"
"2136","NCSTN","aph-2"
"2137","APP","apl-1"
"2138","AP3M1","apm-3"
"2139","XPNPEP1","app-1"
"2140","APC","apr-1"
"2141","AP1S2","aps-1"
"2142","AP2S1","aps-2"
"2143","AP3S1","aps-3"
"2144","TFAP2D","aptf-1"
"2145","WIF1","apx-1"
"2146","CANT1","apy-1"
"2147","AQP12B","aqp-10"
"2148","AQP11","aqp-11"
"2149","AQP10","aqp-2"
"2150","AQP8","aqp-4"
"2151","AQP11","aqp-9"
"2152","TRIM23","arc-1"
"2153","ZBTB8OS","arch-1"
"2154","HSD17B10","ard-1"
"2155","ARF1","arf-1"
"2156","ARF5","arf-5"
"2157","CKMT1B","argk-1"
"2158","AGMAT","argn-1"
"2159","ARIH1","ari-1.1"
"2160","ARIH1","ari-1.2"
"2161","ARIH1","ari-1.3"
"2162","ARIH1","ari-1.4"
"2163","ARIH2","ari-2"
"2164","ARID4A","arid-1"
"2165","ARL1","arl-1"
"2166","ARL6","arl-6"
"2167","ARL8A","arl-8"
"2168","ACTR1A","arp-1"
"2169","ACTR10","arp-11"
"2170","ACTR6","arp-6"
"2171","ARRB1","arr-1"
"2172","ARRDC2","arrd-11"
"2173","ARRDC2","arrd-12"
"2174","ARRDC3","arrd-13"
"2175","ARRDC2","arrd-16"
"2176","ARRDC2","arrd-18"
"2177","ARRDC3","arrd-19"
"2178","ARRDC2","arrd-22"
"2179","ARRDC3","arrd-24"
"2180","ARRDC5","arrd-3"
"2181","ARRDC5","arrd-4"
"2182","ARRDC2","arrd-5"
"2183","ARRDC3","arrd-7"
"2184","ARRDC5","arrd-8"
"2185","ARRDC3","arrd-9"
"2186","TECR","art-1"
"2187","ARV1","arv-1"
"2188","ACTR3","arx-1"
"2189","ACTR2","arx-2"
"2190","ARPC1A","arx-3"
"2191","ARPC2","arx-4"
"2192","ARPC3","arx-5"
"2193","ARPC4","arx-6"
"2194","ARPC5","arx-7"
"2195","ASAH1","asah-1"
"2196","ASAH1","asah-2"
"2197","ATP5PB","asb-1"
"2198","ATP5PB","asb-2"
"2199","ASCC1","ascc-1"
"2200","ASF1A","asfl-1"
"2201","ATP5MG","asg-1"
"2202","ATP5MG","asg-2"
"2203","ASH2L","ash-2"
"2204","SMPD1","asm-1"
"2205","SMPD1","asm-2"
"2206","SMPD1","asm-3"
"2207","GET3","asna-1"
"2208","PGC","asp-1"
"2209","CTSE","asp-12"
"2210","CTSE","asp-15"
"2211","PGA3","asp-16"
"2212","PGC","asp-17"
"2213","CTSE","asp-18"
"2214","PGC","asp-19"
"2215","CTSD","asp-4"
"2216","PGA3","asp-5"
"2217","PGC","asp-7"
"2218","PGA3","asp-8"
"2219","ASPSCR1","asps-1"
"2220","ATAT1","atat-2"
"2221","ATE1","ate-1"
"2222","NFIL3","atf-2"
"2223","ATF5","atf-4"
"2224","ATF1","atf-6"
"2225","ATF7","atf-7"
"2226","HLF","atf-8"
"2227","ATF4","atfs-1"
"2228","ATG3","atg-10"
"2229","ATG13","atg-13"
"2230","ATG16L1","atg-16.1"
"2231","ATG16L1","atg-16.2"
"2232","WIPI1","atg-18"
"2233","ATG2A","atg-2"
"2234","ATG3","atg-3"
"2235","ATG4A","atg-4.1"
"2236","ATG5","atg-5"
"2237","ATG7","atg-7"
"2238","ATG9A","atg-9"
"2239","SSRP1","athp-1"
"2240","ATIC","atic-1"
"2241","ATL3","atln-1"
"2242","ACTN2","atn-1"
"2243","ATP5F1A","atp-1"
"2244","ATP5F1B","atp-2"
"2245","ATP5PO","atp-3"
"2246","ATP5PD","atp-5"
"2247","ATXN2","atx-2"
"2248","ATXN3","atx-3"
"2249","SAMD10","ave-1"
"2250","BANF1","baf-1"
"2251","BAG1","bag-1"
"2252","DDC","bas-1"
"2253","DDC","basl-1"
"2254","BAZ2A","baz-2"
"2255","BBS1","bbs-1"
"2256","BBS2","bbs-2"
"2257","BBS5","bbs-5"
"2258","TTC8","bbs-8"
"2259","BBS9","bbs-9"
"2260","BCAS2","bcas-2"
"2261","BCAT1","bcat-1"
"2262","HDLBP","bcc-1"
"2263","BCKDHA","bckd-1A"
"2264","BCKDHB","bckd-1B"
"2265","ZNF219","bcl-11"
"2266","BCL7B","bcl-7"
"2267","RPE65","bcmo-1"
"2268","RPE65","bcmo-2"
"2269","BCS1L","bcs-1"
"2270","BECN1","bec-1"
"2271","BEST4","best-1"
"2272","BEST4","best-10"
"2273","BEST2","best-11"
"2274","BEST4","best-12"
"2275","BEST4","best-16"
"2276","BEST4","best-19"
"2277","BEST4","best-2"
"2278","BEST4","best-20"
"2279","BEST4","best-21"
"2280","BEST2","best-24"
"2281","BEST4","best-25"
"2282","BEST4","best-26"
"2283","BEST4","best-5"
"2284","BEST2","best-6"
"2285","BEST4","best-7"
"2286","BEST4","best-8"
"2287","BAZ2B","bet-1"
"2288","BAZ1B","bet-2"
"2289","GLB1L","bgal-1"
"2290","GLB1","bgal-2"
"2291","B4GAT1","bgnt-1.1"
"2292","GXYLT1","bgnt-1.2"
"2293","GXYLT2","bgnt-1.3"
"2294","LARGE2","bgnt-1.4"
"2295","LARGE2","bgnt-1.5"
"2296","LARGE2","bgnt-1.6"
"2297","LARGE2","bgnt-1.7"
"2298","LARGE2","bgnt-1.8"
"2299","BICD2","bicd-1"
"2300","BIRC5","bir-2"
"2301","PRDM1","blmp-1"
"2302","BLOC1S1","blos-1"
"2303","BLOC1S2","blos-2"
"2304","BORCS6","blos-7"
"2305","BORCS7","blos-8"
"2306","BORCS8","blos-9"
"2307","KIF11","bmk-1"
"2308","MESD","bmy-1"
"2309","BNC1","bnc-1"
"2310","HLCS","bpl-1"
"2311","BPNT1","bpnt-1"
"2312","BRAP","brap-2"
"2313","BRCA1","brc-1"
"2314","GMDS","bre-1"
"2315","B3GALT4","bre-2"
"2316","B4GALT4","bre-4"
"2317","B3GNT3","bre-5"
"2318","BRF1","brf-1"
"2319","CBFB","bro-1"
"2320","BTBD10","btbd-10"
"2321","BTAF1","btf-1"
"2322","BUB1","bub-1"
"2323","BUB3","bub-3"
"2324","BUD13","bud-13"
"2325","BUD31","bud-31"
"2326","B3GNT6","bus-17"
"2327","LCLAT1","bus-18"
"2328","C1GALT1C1","bus-4"
"2329","TGDS","bus-5"
"2330","BYSL","byn-1"
"2331","AIG1","cTel55X.1"
"2332","NPDC1","cab-1"
"2333","CACTIN","cacn-1"
"2334","CA10","cah-1"
"2335","CA13","cah-5"
"2336","CA3","cah-6"
"2337","CALM3","cal-1"
"2338","CALM3","cal-3"
"2339","CIB2","calm-1"
"2340","RCN2","calu-2"
"2341","CAND1","cand-1"
"2342","CAPZA1","cap-1"
"2343","CAPZB","cap-2"
"2344","NCAPG2","capg-2"
"2345","LSM14B","car-1"
"2346","CARS1","cars-1"
"2347","CAP1","cas-1"
"2348","CAP2","cas-2"
"2349","CASC3","casc-3"
"2350","STRN3","cash-1"
"2351","CLSTN1","casy-1"
"2352","SLC18A1","cat-1"
"2353","TH","cat-2"
"2354","GCH1","cat-4"
"2355","ATP1A1","catp-2"
"2356","ATP1A2","catp-3"
"2357","ATP13A2","catp-6"
"2358","ATP13A1","catp-8"
"2359","CAV1","cav-1"
"2360","CAV2","cav-2"
"2361","MMACHC","cblc-1"
"2362","EP300","cbp-1"
"2363","CREBBP","cbp-2"
"2364","CREBBP","cbp-3"
"2365","CBS","cbs-1"
"2366","CBS","cbs-2"
"2367","CCAR1","ccar-1"
"2368","CACNB1","ccb-1"
"2369","CACNB4","ccb-2"
"2370","ZFP36L1","ccch-1"
"2371","ZFP36L1","ccch-2"
"2372","ZFP36L1","ccch-5"
"2373","CCDC186","cccp-1"
"2374","CC2D1B","ccct-1"
"2375","CCDC12","ccdc-12"
"2376","CCDC149","ccdc-149"
"2377","CCDC47","ccdc-47"
