"","human_gene","Sheep_gene"
"8715","NEK9","NEK9"
"8716","NELFA","NELFA"
"8717","NELFB","NELFB"
"8718","NELFCD","NELFCD"
"8719","NELFE","NELFE"
"8720","NELL1","NELL1"
"8721","NELL2","NELL2"
"8722","NEMF","NEMF"
"8723","NEMP1","NEMP1"
"8724","NEMP2","NEMP2"
"8725","NENF","NENF"
"8726","NEO1","NEO1"
"8727","NEPRO","NEPRO"
"8728","NES","NES"
"8729","NET1","NET1"
"8730","NETO1","NETO1"
"8731","NETO2","NETO2"
"8732","NEU1","NEU1"
"8733","NEU2","NEU2"
"8734","NEU3","NEU3"
"8735","NEU4","NEU4"
"8736","NEURL1","NEURL1"
"8737","NEURL1B","NEURL1B"
"8738","NEURL3","NEURL3"
"8739","NEURL4","NEURL4"
"8740","NEUROD1","NEUROD1"
"8741","NEUROD2","NEUROD2"
"8742","NEUROD4","NEUROD4"
"8743","NEUROD6","NEUROD6"
"8744","NEUROG2","NEUROG2"
"8745","NEUROG3","NEUROG3"
"8746","NEXMIF","NEXMIF"
"8747","NEXN","NEXN"
"8748","NF1","NF1"
"8749","NF2","NF2"
"8750","NFAM1","NFAM1"
"8751","NFASC","NFASC"
"8752","NFAT5","NFAT5"
"8753","NFATC1","NFATC1"
"8754","NFATC2","NFATC2"
"8755","NFATC3","NFATC3"
"8756","NFATC4","NFATC4"
"8757","NFE2","NFE2"
"8758","NFE2L1","NFE2L1"
"8759","NFE2L2","NFE2L2"
"8760","NFE2L3","NFE2L3"
"8761","NFIA","NFIA"
"8762","NFIB","NFIB"
"8763","NFIC","NFIC"
"8764","NFIL3","NFIL3"
"8765","NFIX","NFIX"
"8766","NFKB1","NFKB1"
"8767","NFKB2","NFKB2"
"8768","NFKBIA","NFKBIA"
"8769","NFKBIB","NFKBIB"
"8770","NFKBID","NFKBID"
"8771","NFKBIE","NFKBIE"
"8772","NFKBIL1","NFKBIL1"
"8773","NFKBIZ","NFKBIZ"
"8774","NFRKB","NFRKB"
"8775","NFS1","NFS1"
"8776","NFU1","NFU1"
"8777","NFX1","NFX1"
"8778","NFXL1","NFXL1"
"8779","NFYA","NFYA"
"8780","NFYB","NFYB"
"8781","NFYC","NFYC"
"8782","NGB","NGB"
"8783","NGDN","NGDN"
"8784","NGEF","NGEF"
"8785","NGF","NGF"
"8786","NGFR","NGFR"
"8787","NGLY1","NGLY1"
"8788","NHEJ1","NHEJ1"
"8789","NHERF1","NHERF1"
"8790","NHERF2","NHERF2"
"8791","NHERF4","NHERF4"
"8792","NHLH1","NHLH1"
"8793","NHLH2","NHLH2"
"8794","NHLRC1","NHLRC1"
"8795","NHLRC2","NHLRC2"
"8796","NHLRC3","NHLRC3"
"8797","NHP2","NHP2"
"8798","NHS","NHS"
"8799","NHSL1","NHSL1"
"8800","NHSL2","NHSL2"
"8801","NIBAN1","NIBAN1"
"8802","NIBAN2","NIBAN2"
"8803","NIBAN3","NIBAN3"
"8804","NICN1","NICN1"
"8805","NID1","NID1"
"8806","NID2","NID2"
"8807","NIF3L1","NIF3L1"
"8808","NIFK","NIFK"
"8809","NIM1K","NIM1K"
"8810","NIN","NIN"
"8811","NINJ1","NINJ1"
"8812","NINJ2","NINJ2"
"8813","NIP7","NIP7"
"8814","NIPA2","NIPA2"
"8815","NIPAL1","NIPAL1"
"8816","NIPAL2","NIPAL2"
"8817","NIPAL3","NIPAL3"
"8818","NIPAL4","NIPAL4"
"8819","NIPBL","NIPBL"
"8820","NIPSNAP1","NIPSNAP1"
"8821","NIPSNAP3A","NIPSNAP3A"
"8822","NISCH","NISCH"
"8823","NIT1","NIT1"
"8824","NIT2","NIT2"
"8825","NKAIN1","NKAIN1"
"8826","NKAIN2","NKAIN2"
"8827","NKAIN3","NKAIN3"
"8828","NKAP","NKAP"
"8829","NKAPD1","NKAPD1"
"8830","NKAPL","NKAPL"
"8831","NKD1","NKD1"
"8832","NKD2","NKD2"
"8833","NKG7","NKG7"
"8834","NKIRAS1","NKIRAS1"
"8835","NKIRAS2","NKIRAS2"
"8836","NKPD1","NKPD1"
"8837","NKRF","NKRF"
"8838","NKTR","NKTR"
"8839","NKX1-1","NKX1-1"
"8840","NKX1-2","NKX1-2"
"8841","NKX2-1","NKX2-1"
"8842","NKX2-2","NKX2-2"
"8843","NKX2-3","NKX2-3"
"8844","NKX2-4","NKX2-4"
"8845","NKX2-5","NKX2-5"
"8846","NKX2-6","NKX2-6"
"8847","NKX2-8","NKX2-8"
"8848","NKX3-1","NKX3-1"
"8849","NKX3-2","NKX3-2"
"8850","NKX6-2","NKX6-2"
"8851","NKX6-3","NKX6-3"
"8852","NLE1","NLE1"
"8853","NLGN1","NLGN1"
"8854","NLGN2","NLGN2"
"8855","NLGN3","NLGN3"
"8856","NLK","NLK"
"8857","NLN","NLN"
"8858","NLRC3","NLRC3"
"8859","NLRC4","NLRC4"
"8860","NLRC5","NLRC5"
"8861","NLRP1","NLRP1"
"8862","NLRP12","NLRP12"
"8863","NLRP14","NLRP14"
"8864","NLRP3","NLRP3"
"8865","NLRP6","NLRP6"
"8866","NLRP9","NLRP9"
"8867","NLRX1","NLRX1"
"8868","NMB","NMB"
"8869","NMBR","NMBR"
"8870","NMD3","NMD3"
"8871","NME1","NME1"
"8872","NME2","NME2"
"8873","NME3","NME3"
"8874","NME5","NME5"
"8875","NME6","NME6"
"8876","NME7","NME7"
"8877","NME8","NME8"
"8878","NME9","NME9"
"8879","NMI","NMI"
"8880","NMNAT1","NMNAT1"
"8881","NMNAT2","NMNAT2"
"8882","NMNAT3","NMNAT3"
"8883","NMRAL1","NMRAL1"
"8884","NMRK1","NMRK1"
"8885","NMRK2","NMRK2"
"8886","NMS","NMS"
"8887","NMT1","NMT1"
"8888","NMT2","NMT2"
"8889","NMU","NMU"
"8890","NMUR1","NMUR1"
"8891","NMUR2","NMUR2"
"8892","NNT","NNT"
"8893","NOA1","NOA1"
"8894","NOB1","NOB1"
"8895","NOBOX","NOBOX"
"8896","NOC2L","NOC2L"
"8897","NOC3L","NOC3L"
"8898","NOC4L","NOC4L"
"8899","NOCT","NOCT"
"8900","NOD1","NOD1"
"8901","NOD2","NOD2"
"8902","NODAL","NODAL"
"8903","NOG","NOG"
"8904","NOL10","NOL10"
"8905","NOL11","NOL11"
"8906","NOL12","NOL12"
"8907","NOL3","NOL3"
"8908","NOL4","NOL4"
"8909","NOL4L","NOL4L"
"8910","NOL6","NOL6"
"8911","NOL7","NOL7"
"8912","NOL8","NOL8"
"8913","NOL9","NOL9"
"8914","NOLC1","NOLC1"
"8915","NOM1","NOM1"
"8916","NONO","NONO"
"8917","NOP10","NOP10"
"8918","NOP14","NOP14"
"8919","NOP16","NOP16"
"8920","NOP2","NOP2"
"8921","NOP53","NOP53"
"8922","NOP56","NOP56"
"8923","NOP58","NOP58"
"8924","NOP9","NOP9"
"8925","NOPCHAP1","NOPCHAP1"
"8926","NOS1","NOS1"
"8927","NOS2","NOS2"
"8928","NOS3","NOS3"
"8929","NOSIP","NOSIP"
"8930","NOSTRIN","NOSTRIN"
"8931","NOTCH1","NOTCH1"
"8932","NOTCH2","NOTCH2"
"8933","NOTCH3","NOTCH3"
"8934","NOTCH4","NOTCH4"
"8935","NOTO","NOTO"
"8936","NOTUM","NOTUM"
"8937","NOVA1","NOVA1"
"8938","NOVA2","NOVA2"
"8939","NOX1","NOX1"
"8940","NOX3","NOX3"
"8941","NOX4","NOX4"
"8942","NOX5","NOX5"
"8943","NOXA1","NOXA1"
"8944","NOXO1","NOXO1"
"8945","NOXRED1","NOXRED1"
"8946","NPAS1","NPAS1"
"8947","NPAS2","NPAS2"
"8948","NPAS3","NPAS3"
"8949","NPAS4","NPAS4"
"8950","NPAT","NPAT"
"8951","NPB","NPB"
"8952","NPBWR1","NPBWR1"
"8953","NPBWR2","NPBWR2"
"8954","NPC1L1","NPC1L1"
"8955","NPC2","NPC2"
"8956","NPDC1","NPDC1"
"8957","NPEPL1","NPEPL1"
"8958","NPEPPS","NPEPPS"
"8959","NPFF","NPFF"
"8960","NPFFR1","NPFFR1"
"8961","NPFFR2","NPFFR2"
"8962","NPHP1","NPHP1"
"8963","NPHP3","NPHP3"
"8964","NPHP4","NPHP4"
"8965","NPHS1","NPHS1"
"8966","NPHS2","NPHS2"
"8967","NPLOC4","NPLOC4"
"8968","NPM2","NPM2"
"8969","NPM3","NPM3"
"8970","NPNT","NPNT"
"8971","NPPA","NPPA"
"8972","NPPB","NPPB"
"8973","NPPC","NPPC"
"8974","NPR1","NPR1"
"8975","NPR2","NPR2"
"8976","NPR3","NPR3"
"8977","NPRL2","NPRL2"
"8978","NPRL3","NPRL3"
"8979","NPS","NPS"
"8980","NPSR1","NPSR1"
"8981","NPTN","NPTN"
"8982","NPTX1","NPTX1"
"8983","NPTX2","NPTX2"
"8984","NPTXR","NPTXR"
"8985","NPVF","NPVF"
"8986","NPY","NPY"
"8987","NPY1R","NPY1R"
"8988","NPY2R","NPY2R"
"8989","NPY5R","NPY5R"
"8990","NQO1","NQO1"
"8991","NQO2","NQO2"
"8992","NR0B1","NR0B1"
"8993","NR0B2","NR0B2"
"8994","NR1D1","NR1D1"
"8995","NR1D2","NR1D2"
"8996","NR1H2","NR1H2"
"8997","NR1H3","NR1H3"
"8998","NR1H4","NR1H4"
"8999","NR1I2","NR1I2"
"9000","NR2C1","NR2C1"
"9001","NR2C2","NR2C2"
"9002","NR2C2AP","NR2C2AP"
"9003","NR2E1","NR2E1"
"9004","NR2E3","NR2E3"
"9005","NR2F1","NR2F1"
"9006","NR2F2","NR2F2"
"9007","NR2F6","NR2F6"
"9008","NR3C1","NR3C1"
"9009","NR3C2","NR3C2"
"9010","NR4A1","NR4A1"
"9011","NR4A2","NR4A2"
"9012","NR4A3","NR4A3"
"9013","NR5A1","NR5A1"
"9014","NR5A2","NR5A2"
"9015","NR6A1","NR6A1"
"9016","NRAP","NRAP"
"9017","NRAS","NRAS"
"9018","NRBF2","NRBF2"
"9019","NRBP1","NRBP1"
"9020","NRBP2","NRBP2"
"9021","NRCAM","NRCAM"
"9022","NRDC","NRDC"
"9023","NRDE2","NRDE2"
"9024","NREP","NREP"
"9025","NRF1","NRF1"
"9026","NRG1","NRG1"
"9027","NRG2","NRG2"
"9028","NRG3","NRG3"
"9029","NRG4","NRG4"
"9030","NRGN","NRGN"
"9031","NRIP1","NRIP1"
"9032","NRIP2","NRIP2"
"9033","NRIP3","NRIP3"
"9034","NRK","NRK"
"9035","NRL","NRL"
"9036","NRM","NRM"
"9037","NRN1L","NRN1L"
"9038","NRP1","NRP1"
"9039","NRP2","NRP2"
"9040","NRROS","NRROS"
"9041","NRSN1","NRSN1"
"9042","NRSN2","NRSN2"
"9043","NRTN","NRTN"
"9044","NRXN1","NRXN1"
"9045","NRXN2","NRXN2"
"9046","NRXN3","NRXN3"
"9047","NSD1","NSD1"
"9048","NSD2","NSD2"
"9049","NSD3","NSD3"
"9050","NSDHL","NSDHL"
"9051","NSF","NSF"
"9052","NSFL1C","NSFL1C"
"9053","NSG1","NSG1"
"9054","NSG2","NSG2"
"9055","NSL1","NSL1"
"9056","NSMAF","NSMAF"
"9057","NSMCE1","NSMCE1"
"9058","NSMCE2","NSMCE2"
"9059","NSMCE4A","NSMCE4A"
"9060","NSMF","NSMF"
"9061","NSRP1","NSRP1"
"9062","NSUN2","NSUN2"
"9063","NSUN3","NSUN3"
"9064","NSUN4","NSUN4"
"9065","NSUN5","NSUN5"
"9066","NSUN6","NSUN6"
"9067","NSUN7","NSUN7"
"9068","NT5C","NT5C"
"9069","NT5C1A","NT5C1A"
"9070","NT5C1B","NT5C1B"
"9071","NT5C2","NT5C2"
"9072","NT5C3A","NT5C3A"
"9073","NT5C3B","NT5C3B"
"9074","NT5DC1","NT5DC1"
"9075","NT5DC2","NT5DC2"
"9076","NT5DC3","NT5DC3"
"9077","NT5E","NT5E"
"9078","NTAQ1","NTAQ1"
"9079","NTF3","NTF3"
"9080","NTF4","NTF4"
"9081","NTHL1","NTHL1"
"9082","NTM","NTM"
"9083","NTMT1","NTMT1"
"9084","NTMT2","NTMT2"
"9085","NTN1","NTN1"
"9086","NTN3","NTN3"
"9087","NTN4","NTN4"
"9088","NTN5","NTN5"
"9089","NTNG1","NTNG1"
"9090","NTNG2","NTNG2"
"9091","NTPCR","NTPCR"
"9092","NTRK1","NTRK1"
"9093","NTRK2","NTRK2"
"9094","NTRK3","NTRK3"
"9095","NTS","NTS"
"9096","NTSR1","NTSR1"
"9097","NTSR2","NTSR2"
"9098","NUAK1","NUAK1"
"9099","NUAK2","NUAK2"
"9100","NUB1","NUB1"
"9101","NUBP1","NUBP1"
"9102","NUBP2","NUBP2"
"9103","NUBPL","NUBPL"
"9104","NUCB1","NUCB1"
"9105","NUCB2","NUCB2"
"9106","NUCKS1","NUCKS1"
"9107","NUDC","NUDC"
"9108","NUDCD1","NUDCD1"
"9109","NUDCD2","NUDCD2"
"9110","NUDCD3","NUDCD3"
"9111","NUDT12","NUDT12"
"9112","NUDT13","NUDT13"
"9113","NUDT14","NUDT14"
"9114","NUDT16","NUDT16"
"9115","NUDT16L1","NUDT16L1"
"9116","NUDT17","NUDT17"
"9117","NUDT18","NUDT18"
"9118","NUDT19","NUDT19"
"9119","NUDT2","NUDT2"
"9120","NUDT21","NUDT21"
"9121","NUDT22","NUDT22"
"9122","NUDT3","NUDT3"
"9123","NUDT5","NUDT5"
"9124","NUDT6","NUDT6"
"9125","NUDT7","NUDT7"
"9126","NUDT8","NUDT8"
"9127","NUDT9","NUDT9"
"9128","NUF2","NUF2"
"9129","NUFIP1","NUFIP1"
"9130","NUFIP2","NUFIP2"
"9131","NUGGC","NUGGC"
"9132","NUMA1","NUMA1"
"9133","NUMB","NUMB"
"9134","NUMBL","NUMBL"
"9135","NUP107","NUP107"
"9136","NUP133","NUP133"
"9137","NUP153","NUP153"
"9138","NUP155","NUP155"
"9139","NUP160","NUP160"
"9140","NUP188","NUP188"
"9141","NUP205","NUP205"
"9142","NUP210","NUP210"
"9143","NUP210L","NUP210L"
"9144","NUP214","NUP214"
"9145","NUP35","NUP35"
"9146","NUP37","NUP37"
"9147","NUP42","NUP42"
"9148","NUP43","NUP43"
"9149","NUP50","NUP50"
"9150","NUP54","NUP54"
"9151","NUP58","NUP58"
"9152","NUP62","NUP62"
"9153","NUP62CL","NUP62CL"
"9154","NUP85","NUP85"
"9155","NUP88","NUP88"
"9156","NUP93","NUP93"
"9157","NUP98","NUP98"
"9158","NUPR1","NUPR1"
"9159","NUPR2","NUPR2"
"9160","NUS1","NUS1"
"9161","NUSAP1","NUSAP1"
"9162","NUTF2","NUTF2"
"9163","NUTM1","NUTM1"
"9164","NVL","NVL"
"9165","NWD1","NWD1"
"9166","NWD2","NWD2"
"9167","NXF1","NXF1"
"9168","NXN","NXN"
"9169","NXNL1","NXNL1"
"9170","NXNL2","NXNL2"
"9171","NXPE2","NXPE2"
"9172","NXPE3","NXPE3"
"9173","NXPE4","NXPE4"
"9174","NXPH1","NXPH1"
"9175","NXPH2","NXPH2"
"9176","NXPH3","NXPH3"
"9177","NXPH4","NXPH4"
"9178","NXT1","NXT1"
"9179","NYAP1","NYAP1"
"9180","NYAP2","NYAP2"
"9181","NYNRIN","NYNRIN"
"9182","NYX","NYX"
"9183","OAF","OAF"
"9184","OAT","OAT"
"9185","OAZ1","OAZ1"
"9186","OAZ2","OAZ2"
"9187","OAZ3","OAZ3"
"9188","OBI1","OBI1"
"9189","OBSCN","OBSCN"
"9190","OBSL1","OBSL1"
"9191","OC90","OC90"
"9192","OCA2","OCA2"
"9193","OCEL1","OCEL1"
"9194","OCIAD1","OCIAD1"
"9195","OCIAD2","OCIAD2"
"9196","OCLN","OCLN"
"9197","OCRL","OCRL"
"9198","OCSTAMP","OCSTAMP"
"9199","ODAM","ODAM"
"9200","ODAPH","ODAPH"
"9201","ODC1","ODC1"
"9202","ODF1","ODF1"
"9203","ODF2","ODF2"
"9204","ODF2L","ODF2L"
"9205","CIMAP1A","ODF3"
"9206","CIMAP1C","ODF3L1"
"9207","ODR4","ODR4"
"9208","OFD1","OFD1"
"9209","OGA","OGA"
"9210","OGDH","OGDH"
"9211","OGDHL","OGDHL"
"9212","OGFOD1","OGFOD1"
"9213","OGFOD2","OGFOD2"
"9214","OGFOD3","OGFOD3"
"9215","OGFR","OGFR"
"9216","OGFRL1","OGFRL1"
"9217","OGG1","OGG1"
"9218","OGN","OGN"
"9219","OGT","OGT"
"9220","OIP5","OIP5"
"9221","OIT3","OIT3"
"9222","OLFM1","OLFM1"
"9223","OLFM2","OLFM2"
"9224","OLFM3","OLFM3"
"9225","OLFM4","OLFM4"
"9226","OLFML1","OLFML1"
"9227","OLFML2A","OLFML2A"
"9228","OLFML2B","OLFML2B"
"9229","OLFML3","OLFML3"
"9230","OLIG1","OLIG1"
"9231","OLIG2","OLIG2"
"9232","OLIG3","OLIG3"
"9233","OLR1","OLR1"
"9234","OMA1","OMA1"
"9235","OMD","OMD"
"9236","OMG","OMG"
"9237","ONECUT1","ONECUT1"
"9238","ONECUT2","ONECUT2"
"9239","ONECUT3","ONECUT3"
"9240","OOEP","OOEP"
"9241","OOSP2","OOSP2"
"9242","OPA1","OPA1"
"9243","OPA3","OPA3"
"9244","OPALIN","OPALIN"
"9245","OPCML","OPCML"
"9246","OPHN1","OPHN1"
"9247","OPLAH","OPLAH"
"9248","OPN1LW","OPN1LW"
"9249","OPN1SW","OPN1SW"
"9250","OPN4","OPN4"
"9251","OPN5","OPN5"
"9252","OPRD1","OPRD1"
"9253","OPRK1","OPRK1"
"9254","OPRL1","OPRL1"
"9255","OPRM1","OPRM1"
"9256","OPTC","OPTC"
"9257","OPTN","OPTN"
"9258","OR10C1","OR10C1"
"9259","OR10D3","OR10D3"
"9260","OR10G2","OR10G2"
"9261","OR10G3","OR10G3"
"9262","OR10G6","OR10G6"
"9263","OR10J1","OR10J1"
"9264","OR10J3","OR10J3"
"9265","OR10J5","OR10J5"
"9266","OR10K2","OR10K2"
"9267","OR10P1","OR10P1"
"9268","OR10Q1","OR10Q1"
"9269","OR10R2","OR10R2"
"9270","OR10S1","OR10S1"
"9271","OR10Z1","OR10Z1"
"9272","OR11A1","OR11A1"
"9273","OR11H4","OR11H4"
"9274","OR11H6","OR11H6"
"9275","OR11H7","OR11H7"
"9276","OR12D2","OR12D2"
"9277","OR13A1","OR13A1"
"9278","OR13C8","OR13C8"
"9279","OR13F1","OR13F1"
"9280","OR13G1","OR13G1"
"9281","OR13H1","OR13H1"
"9282","OR13J1","OR13J1"
"9283","OR14J1","OR14J1"
"9284","OR1D2","OR1D2"
"9285","OR1D5","OR1D5"
"9286","OR1G1","OR1G1"
"9287","OR1J2","OR1J2"
"9288","OR1J4","OR1J4"
"9289","OR1L1","OR1L1"
"9290","OR1L3","OR1L3"
"9291","OR1L8","OR1L8"
"9292","OR2A12","OR2A12"
"9293","OR2A25","OR2A25"
"9294","OR2A5","OR2A5"
"9295","OR2AE1","OR2AE1"
"9296","OR2AK2","OR2AK2"
"9297","OR2AT4","OR2AT4"
"9298","OR2B11","OR2B11"
"9299","OR2C1","OR2C1"
"9300","OR2C3","OR2C3"
"9301","OR2D2","OR2D2"
"9302","OR2G2","OR2G2"
"9303","OR2G3","OR2G3"
"9304","OR2I1P","OR2I1P"
"9305","OR2K2","OR2K2"
"9306","OR2M4","OR2M4"
"9307","OR2S2","OR2S2"
"9308","OR2T1","OR2T1"
"9309","OR2T27","OR2T27"
"9310","OR2T6","OR2T6"
"9311","OR2W1","OR2W1"
"9312","OR2Y1","OR2Y1"
"9313","OR3A1","OR3A1"
"9314","OR3A2","OR3A2"
"9315","OR4B1","OR4B1"
"9316","OR4C16","OR4C16"
"9317","OR4C3","OR4C3"
"9318","OR4D11","OR4D11"
"9319","OR4D5","OR4D5"
"9320","OR4E1","OR4E1"
"9321","OR4E2","OR4E2"
"9322","OR4K1","OR4K1"
"9323","OR4K13","OR4K13"
"9324","OR4K2","OR4K2"
"9325","OR4N2","OR4N2"
"9326","OR4Q3","OR4Q3"
"9327","OR51C1P","OR51C1P"
"9328","OR51E1","OR51E1"
"9329","OR51E2","OR51E2"
"9330","OR51G1","OR51G1"
"9331","OR51G2","OR51G2"
"9332","OR51I2","OR51I2"
"9333","OR51L1","OR51L1"
"9334","OR51T1","OR51T1"
"9335","OR51V1","OR51V1"
"9336","OR52A5","OR52A5"
"9337","OR52B2","OR52B2"
"9338","OR52B4","OR52B4"
"9339","OR52B6","OR52B6"
"9340","OR52D1","OR52D1"
"9341","OR52J3","OR52J3"
"9342","OR52L1","OR52L1"
"9343","OR52N1","OR52N1"
"9344","OR52R1","OR52R1"
"9345","OR52W1","OR52W1"
"9346","OR56A1","OR56A1"
"9347","OR56A3","OR56A3"
"9348","OR56A4","OR56A4"
"9349","OR56A5","OR56A5"
"9350","OR5A1","OR5A1"
"9351","OR5AC2","OR5AC2"
"9352","OR5AU1","OR5AU1"
"9353","OR5B12","OR5B12"
"9354","OR5B3","OR5B3"
"9355","OR5BS1P","OR5BS1P"
"9356","OR5K3","OR5K3"
"9357","OR5P3","OR5P3"
"9358","OR6A2","OR6A2"
"9359","OR6B1","OR6B1"
"9360","OR6C4","OR6C4"
"9361","OR6C68","OR6C68"
"9362","OR6C75","OR6C75"
"9363","OR6F1","OR6F1"
"9364","OR6K2","OR6K2"
"9365","OR6K6","OR6K6"
"9366","OR6N1","OR6N1"
"9367","OR6N2","OR6N2"
"9368","OR6P1","OR6P1"
"9369","OR6Q1","OR6Q1"
"9370","OR6V1","OR6V1"
"9371","OR7G1","OR7G1"
"9372","OR8B12","OR8B12"
"9373","OR8B4","OR8B4"
"9374","OR8B8","OR8B8"
"9375","OR8I2","OR8I2"
"9376","OR8K1","OR8K1"
"9377","OR8S1","OR8S1"
"9378","OR9A1P","OR9A1P"
"9379","OR9A4","OR9A4"
"9380","OR9G4","OR9G4"
"9381","OR9I1","OR9I1"
"9382","ORAI1","ORAI1"
"9383","ORAI2","ORAI2"
"9384","ORAI3","ORAI3"
"9385","ORC1","ORC1"
"9386","ORC2","ORC2"
"9387","ORC3","ORC3"
"9388","ORC4","ORC4"
"9389","ORC5","ORC5"
"9390","ORC6","ORC6"
"9391","ORMDL1","ORMDL1"
"9392","ORMDL2","ORMDL2"
"9393","OS9","OS9"
"9394","OSBP","OSBP"
"9395","OSBP2","OSBP2"
"9396","OSBPL11","OSBPL11"
"9397","OSBPL1A","OSBPL1A"
"9398","OSBPL2","OSBPL2"
"9399","OSBPL3","OSBPL3"
"9400","OSBPL5","OSBPL5"
"9401","OSBPL6","OSBPL6"
"9402","OSBPL7","OSBPL7"
"9403","OSBPL8","OSBPL8"
"9404","OSBPL9","OSBPL9"
"9405","OSCAR","OSCAR"
"9406","OSCP1","OSCP1"
"9407","OSER1","OSER1"
"9408","OSGEP","OSGEP"
"9409","OSGEPL1","OSGEPL1"
"9410","OSGIN1","OSGIN1"
"9411","OSGIN2","OSGIN2"
"9412","OSM","OSM"
"9413","OSMR","OSMR"
"9414","OSR1","OSR1"
"9415","OSR2","OSR2"
"9416","OST4","OST4"
"9417","OSTF1","OSTF1"
"9418","OSTM1","OSTM1"
"9419","OSTN","OSTN"
"9420","OTC","OTC"
"9421","OTOA","OTOA"
"9422","OTOF","OTOF"
"9423","OTOG","OTOG"
"9424","OTOGL","OTOGL"
"9425","OTOL1","OTOL1"
"9426","OTOP1","OTOP1"
"9427","OTOP2","OTOP2"
"9428","OTOP3","OTOP3"
"9429","OTOR","OTOR"
"9430","OTOS","OTOS"
"9431","OTP","OTP"
"9432","OTUB1","OTUB1"
"9433","OTUB2","OTUB2"
"9434","OTUD1","OTUD1"
"9435","OTUD3","OTUD3"
"9436","OTUD4","OTUD4"
"9437","OTUD5","OTUD5"
"9438","OTUD6A","OTUD6A"
"9439","OTUD6B","OTUD6B"
"9440","OTUD7A","OTUD7A"
"9441","OTUD7B","OTUD7B"
"9442","OTULIN","OTULIN"
"9443","OTULINL","OTULINL"
"9444","OTX1","OTX1"
"9445","OTX2","OTX2"
"9446","OVCA2","OVCA2"
"9447","OVCH1","OVCH1"
"9448","OVCH2","OVCH2"
"9449","OVGP1","OVGP1"
"9450","OVOL1","OVOL1"
"9451","OVOL2","OVOL2"
"9452","OVOL3","OVOL3"
"9453","OXCT1","OXCT1"
"9454","OXER1","OXER1"
"9455","OXGR1","OXGR1"
"9456","OXLD1","OXLD1"
"9457","OXNAD1","OXNAD1"
"9458","OXSM","OXSM"
"9459","OXSR1","OXSR1"
"9460","OXTR","OXTR"
"9461","HLA-DRA","Ovar-DRA"
"9462","P2RX1","P2RX1"
"9463","P2RX2","P2RX2"
"9464","P2RX3","P2RX3"
"9465","P2RX4","P2RX4"
"9466","P2RX5","P2RX5"
"9467","P2RX6","P2RX6"
"9468","P2RX7","P2RX7"
"9469","P2RY1","P2RY1"
"9470","P2RY10","P2RY10"
"9471","P2RY12","P2RY12"
"9472","P2RY13","P2RY13"
"9473","P2RY14","P2RY14"
"9474","P2RY2","P2RY2"
"9475","P2RY6","P2RY6"
"9476","P2RY8","P2RY8"
"9477","P3H1","P3H1"
"9478","P3H2","P3H2"
"9479","P3H3","P3H3"
"9480","P3H4","P3H4"
"9481","P3R3URF","P3R3URF"
"9482","P4HA1","P4HA1"
"9483","P4HA2","P4HA2"
"9484","P4HA3","P4HA3"
"9485","P4HB","P4HB"
"9486","P4HTM","P4HTM"
"9487","PA2G4","PA2G4"
"9488","PAAF1","PAAF1"
"9489","PABIR2","PABIR2"
"9490","PABPC1L","PABPC1L"
"9491","PABPC4","PABPC4"
"9492","PABPC4L","PABPC4L"
"9493","PABPC5","PABPC5"
"9494","PABPN1","PABPN1"
"9495","PABPN1L","PABPN1L"
"9496","PACC1","PACC1"
"9497","PACRGL","PACRGL"
"9498","PACS1","PACS1"
"9499","PACS2","PACS2"
"9500","PACSIN1","PACSIN1"
"9501","PACSIN2","PACSIN2"
"9502","PACSIN3","PACSIN3"
"9503","PADI1","PADI1"
"9504","PADI2","PADI2"
"9505","PADI3","PADI3"
"9506","PADI4","PADI4"
"9507","PADI6","PADI6"
"9508","PAEP","PAEP"
"9509","PAF1","PAF1"
"9510","PAFAH1B2","PAFAH1B2"
"9511","PAFAH1B3","PAFAH1B3"
"9512","PAFAH2","PAFAH2"
"9513","PAG1","PAG1"
"9514","PAGE4","PAGE4"
"9515","PAH","PAH"
"9516","PAIP1","PAIP1"
"9517","PAIP2","PAIP2"
"9518","PAIP2B","PAIP2B"
"9519","PAK1","PAK1"
"9520","PAK1IP1","PAK1IP1"
"9521","PAK2","PAK2"
"9522","PAK3","PAK3"
"9523","PAK4","PAK4"
"9524","PAK5","PAK5"
"9525","PAK6","PAK6"
"9526","PALB2","PALB2"
"9527","PALD1","PALD1"
"9528","PALLD","PALLD"
"9529","PALM2AKAP2","PALM2AKAP2"
"9530","PALM3","PALM3"
"9531","PALMD","PALMD"
"9532","PAM","PAM"
"9533","PAM16","PAM16"
"9534","PAMR1","PAMR1"
"9535","PAN3","PAN3"
"9536","PANK1","PANK1"
"9537","PANK2","PANK2"
"9538","PANK3","PANK3"
"9539","PANK4","PANK4"
"9540","PANX3","PANX"
"9541","PANX1","PANX1"
"9542","PAOX","PAOX"
"9543","PAPLN","PAPLN"
"9544","PAPOLA","PAPOLA"
"9545","PAPOLG","PAPOLG"
"9546","PAPPA","PAPPA"
"9547","PAPPA2","PAPPA2"
"9548","PAPSS1","PAPSS1"
"9549","PAPSS2","PAPSS2"
"9550","PAQR3","PAQR3"
"9551","PAQR4","PAQR4"
"9552","PAQR5","PAQR5"
"9553","PAQR7","PAQR7"
"9554","PAQR8","PAQR8"
"9555","PAQR9","PAQR9"
