"","human_gene","pig_gene"
"9126","NUDT21","NUDT21"
"9127","NUDT22","NUDT22"
"9128","NUDT3","NUDT3"
"9129","NUDT5","NUDT5"
"9130","NUDT6","NUDT6"
"9131","NUDT7","NUDT7"
"9132","NUDT9","NUDT9"
"9133","NUF2","NUF2"
"9134","NUFIP1","NUFIP1"
"9135","NUFIP2","NUFIP2"
"9136","NUGGC","NUGGC"
"9137","NUMA1","NUMA1"
"9138","NUMB","NUMB"
"9139","NUMBL","NUMBL"
"9140","NUP107","NUP107"
"9141","NUP133","NUP133"
"9142","NUP153","NUP153"
"9143","NUP155","NUP155"
"9144","NUP160","NUP160"
"9145","NUP188","NUP188"
"9146","NUP205","NUP205"
"9147","NUP210","NUP210"
"9148","NUP210L","NUP210L"
"9149","NUP214","NUP214"
"9150","NUP35","NUP35"
"9151","NUP37","NUP37"
"9152","NUP42","NUP42"
"9153","NUP43","NUP43"
"9154","NUP50","NUP50"
"9155","NUP54","NUP54"
"9156","NUP58","NUP58"
"9157","NUP62","NUP62"
"9158","NUP62CL","NUP62CL"
"9159","NUP85","NUP85"
"9160","NUP88","NUP88"
"9161","NUP93","NUP93"
"9162","NUP98","NUP98"
"9163","NUPR1","NUPR1"
"9164","NUPR2","NUPR2"
"9165","NUS1","NUS1"
"9166","NUSAP1","NUSAP1"
"9167","NUTF2","NUTF2"
"9168","NUTM1","NUTM1"
"9169","NVL","NVL"
"9170","NWD1","NWD1"
"9171","NWD2","NWD2"
"9172","NXF1","NXF1"
"9173","NXN","NXN"
"9174","NXNL1","NXNL1"
"9175","NXNL2","NXNL2"
"9176","NXPE3","NXPE3"
"9177","NXPH1","NXPH1"
"9178","NXPH2","NXPH2"
"9179","NXPH3","NXPH3"
"9180","NXPH4","NXPH4"
"9181","NXT1","NXT1"
"9182","NXT2","NXT2"
"9183","NYAP1","NYAP1"
"9184","NYAP2","NYAP2"
"9185","NYNRIN","NYNRIN"
"9186","NYX","NYX"
"9187","OAF","OAF"
"9188","OARD1","OARD1"
"9189","OAS1","OAS1"
"9190","OAS2","OAS2"
"9191","OASL","OASL"
"9192","OAZ1","OAZ1"
"9193","OAZ2","OAZ2"
"9194","OAZ3","OAZ3"
"9195","OBI1","OBI1"
"9196","OBSCN","OBSCN"
"9197","OBSL1","OBSL1"
"9198","OC90","OC90"
"9199","OCA2","OCA2"
"9200","OCEL1","OCEL1"
"9201","OCIAD1","OCIAD1"
"9202","OCIAD2","OCIAD2"
"9203","OCLN","OCLN"
"9204","OCRL","OCRL"
"9205","OCSTAMP","OCSTAMP"
"9206","ODAD2","ODAD2"
"9207","ODAD3","ODAD3"
"9208","ODAD4","ODAD4"
"9209","ODAM","ODAM"
"9210","ODAPH","ODAPH"
"9211","ODC1","ODC1"
"9212","ODF1","ODF1"
"9213","ODF2","ODF2"
"9214","ODF2L","ODF2L"
"9215","ODR4","ODR4"
"9216","OGA","OGA"
"9217","OGDH","OGDH"
"9218","OGDHL","OGDHL"
"9219","OGFOD1","OGFOD1"
"9220","OGFOD2","OGFOD2"
"9221","OGFOD3","OGFOD3"
"9222","OGFRL1","OGFRL1"
"9223","OGN","OGN"
"9224","OGT","OGT"
"9225","OIP5","OIP5"
"9226","OIT3","OIT3"
"9227","OLA1","OLA1"
"9228","OR2H1","OLF42-1"
"9229","OR2H1","OLF42-3"
"9230","OLFM1","OLFM1"
"9231","OLFM2","OLFM2"
"9232","OLFM3","OLFM3"
"9233","OLFM4","OLFM4"
"9234","OLFML2A","OLFML2A"
"9235","OLFML2B","OLFML2B"
"9236","OLFML3","OLFML3"
"9237","OLIG1","OLIG1"
"9238","OLIG2","OLIG2"
"9239","OLIG3","OLIG3"
"9240","OLR1","OLR1"
"9241","OMA1","OMA1"
"9242","OMD","OMD"
"9243","OMG","OMG"
"9244","ONECUT1","ONECUT1"
"9245","ONECUT2","ONECUT2"
"9246","ONECUT3","ONECUT3"
"9247","OOEP","OOEP"
"9248","OOSP2","OOSP2"
"9249","OOSP3","OOSP3"
"9250","OPA1","OPA1"
"9251","OPA3","OPA3"
"9252","OPALIN","OPALIN"
"9253","OPCML","OPCML"
"9254","OPHN1","OPHN1"
"9255","OPLAH","OPLAH"
"9256","OPN1SW","OPN1SW"
"9257","OPN4","OPN4"
"9258","OPN5","OPN5"
"9259","OPRD1","OPRD1"
"9260","OPRK1","OPRK1"
"9261","OPRL1","OPRL1"
"9262","OPRM1","OPRM1"
"9263","OPTC","OPTC"
"9264","OPTN","OPTN"
"9265","OR10A4","OR10A4"
"9266","OR10D3","OR10D3"
"9267","OR10G3","OR10G3"
"9268","OR10G6","OR10G6"
"9269","OR10J1","OR10J1"
"9270","OR10J3","OR10J3"
"9271","OR10J4","OR10J4"
"9272","OR10J5","OR10J5"
"9273","OR10K2","OR10K2"
"9274","OR10P1","OR10P1"
"9275","OR10R2","OR10R2"
"9276","OR10T2","OR10T2"
"9277","OR10V1","OR10V1"
"9278","OR10Z1","OR10Z1"
"9279","OR11H4","OR11H4"
"9280","OR11H6","OR11H6"
"9281","OR11H7","OR11H7"
"9282","OR11L1","OR11L1"
"9283","OR12D3","OR12D3"
"9284","OR13A1","OR13A1"
"9285","OR13C3","OR13C3"
"9286","OR13C4","OR13C4"
"9287","OR13C8","OR13C8"
"9288","OR13G1","OR13G1"
"9289","OR13H1","OR13H1"
"9290","OR14K1","OR14K1"
"9291","OR1B1","OR1B1"
"9292","OR1D5","OR1D5"
"9293","OR1I1","OR1I1"
"9294","OR1K1","OR1K1"
"9295","OR2AT4","OR2AT4"
"9296","OR2B11","OR2B11"
"9297","OR2B6","OR2B6"
"9298","OR2C1","OR2C1"
"9299","OR2C3","OR2C3"
"9300","OR2D2","OR2D2"
"9301","OR2G2","OR2G2"
"9302","OR2G3","OR2G3"
"9303","OR2I1P","OR2I1P"
"9304","OR2K2","OR2K2"
"9305","OR2M4","OR2M4"
"9306","OR2S2","OR2S2"
"9307","OR2T1","OR2T1"
"9308","OR2T27","OR2T27"
"9309","OR2T6","OR2T6"
"9310","OR2W3","OR2W3"
"9311","OR2Z1","OR2Z1"
"9312","OR3A1","OR3A1"
"9313","OR3A2","OR3A2"
"9314","OR4B1","OR4B1"
"9315","OR4D1","OR4D1"
"9316","OR4D10","OR4D10"
"9317","OR4D11","OR4D11"
"9318","OR4D5","OR4D5"
"9319","OR4E1","OR4E1"
"9320","OR4E2","OR4E2"
"9321","OR4K13","OR4K13"
"9322","OR4K17","OR4K17"
"9323","OR4K2","OR4K2"
"9324","OR51A7","OR51A7"
"9325","OR51B5","OR51B5"
"9326","OR51C1P","OR51C1P"
"9327","OR51E1","OR51E1"
"9328","OR51E2","OR51E2"
"9329","OR51F1","OR51F1"
"9330","OR51F2","OR51F2"
"9331","OR51G1","OR51G1"
"9332","OR51G2","OR51G2"
"9333","OR51I1","OR51I1"
"9334","OR51L1","OR51L1"
"9335","OR51M1","OR51M1"
"9336","OR51Q1","OR51Q1"
"9337","OR51S1","OR51S1"
"9338","OR51T1","OR51T1"
"9339","OR51V1","OR51V1"
"9340","OR52B2","OR52B2"
"9341","OR52M1","OR52M1"
"9342","OR52R1","OR52R1"
"9343","OR52W1","OR52W1"
"9344","OR56B1","OR56B1"
"9345","OR5AP2","OR5AP2"
"9346","OR5AU1","OR5AU1"
"9347","OR5B21","OR5B21"
"9348","OR5B3","OR5B3"
"9349","OR5C1","OR5C1"
"9350","OR5D14","OR5D14"
"9351","OR5D18","OR5D18"
"9352","OR5K4","OR5K4"
"9353","OR6A2","OR6A2"
"9354","OR6C2","OR6C2"
"9355","OR6J1","OR6J1"
"9356","OR6K6","OR6K6"
"9357","OR6M1","OR6M1"
"9358","OR6N2","OR6N2"
"9359","OR6P1","OR6P1"
"9360","OR6S1","OR6S1"
"9361","OR6T1","OR6T1"
"9362","OR6V1","OR6V1"
"9363","OR6X1","OR6X1"
"9364","OR6Y1","OR6Y1"
"9365","OR7D2","OR7D2"
"9366","OR8B12","OR8B12"
"9367","OR8B4","OR8B4"
"9368","OR8B8","OR8B8"
"9369","OR8D1","OR8D1"
"9370","OR8D2","OR8D2"
"9371","OR8D4","OR8D4"
"9372","OR8K1","OR8K1"
"9373","OR8K5","OR8K5"
"9374","OR8S1","OR8S1"
"9375","OR9A1P","OR9A1P"
"9376","OR9A2","OR9A2"
"9377","OR9I1","OR9I1"
"9378","OR9Q1","OR9Q1"
"9379","OR9Q2","OR9Q2"
"9380","ORAI1","ORAI1"
"9381","ORAI2","ORAI2"
"9382","ORAI3","ORAI3"
"9383","ORC1","ORC1"
"9384","ORC2","ORC2"
"9385","ORC3","ORC3"
"9386","ORC4","ORC4"
"9387","ORC5","ORC5"
"9388","ORC6","ORC6"
"9389","ORMDL1","ORMDL1"
"9390","ORMDL2","ORMDL2"
"9391","ORMDL3","ORMDL3"
"9392","OS9","OS9"
"9393","OSBP","OSBP"
"9394","OSBP2","OSBP2"
"9395","OSBPL10","OSBPL10"
"9396","OSBPL11","OSBPL11"
"9397","OSBPL1A","OSBPL1A"
"9398","OSBPL2","OSBPL2"
"9399","OSBPL3","OSBPL3"
"9400","OSBPL5","OSBPL5"
"9401","OSBPL6","OSBPL6"
"9402","OSBPL7","OSBPL7"
"9403","OSBPL8","OSBPL8"
"9404","OSBPL9","OSBPL9"
"9405","OSCAR","OSCAR"
"9406","OSCP1","OSCP1"
"9407","OSER1","OSER1"
"9408","OSGEP","OSGEP"
"9409","OSGEPL1","OSGEPL1"
"9410","OSGIN1","OSGIN1"
"9411","OSGIN2","OSGIN2"
"9412","OSM","OSM"
"9413","OSMR","OSMR"
"9414","OSR1","OSR1"
"9415","OSR2","OSR2"
"9416","OST4","OST4"
"9417","OSTF1","OSTF1"
"9418","OSTM1","OSTM1"
"9419","OSTN","OSTN"
"9420","OTC","OTC"
"9421","OTOA","OTOA"
"9422","OTOF","OTOF"
"9423","OTOG","OTOG"
"9424","OTOGL","OTOGL"
"9425","OTOL1","OTOL1"
"9426","OTOP1","OTOP1"
"9427","OTOP2","OTOP2"
"9428","OTOP3","OTOP3"
"9429","OTOS","OTOS"
"9430","OTP","OTP"
"9431","OTUB1","OTUB1"
"9432","OTUB2","OTUB2"
"9433","OTUD1","OTUD1"
"9434","OTUD3","OTUD3"
"9435","OTUD4","OTUD4"
"9436","OTUD5","OTUD5"
"9437","OTUD6A","OTUD6A"
"9438","OTUD6B","OTUD6B"
"9439","OTUD7A","OTUD7A"
"9440","OTUD7B","OTUD7B"
"9441","OTULIN","OTULIN"
"9442","OTULINL","OTULINL"
"9443","OTX1","OTX1"
"9444","OTX2","OTX2"
"9445","OVCH2","OVCH2"
"9446","OVGP1","OVGP1"
"9447","OVOL1","OVOL1"
"9448","OVOL2","OVOL2"
"9449","OVOL3","OVOL3"
"9450","OXA1L","OXA1L"
"9451","OXCT1","OXCT1"
"9452","OXLD1","OXLD1"
"9453","OXNAD1","OXNAD1"
"9454","OXR1","OXR1"
"9455","OXSM","OXSM"
"9456","OXTR","OXTR"
"9457","P2RX1","P2RX1"
"9458","P2RX2","P2RX2"
"9459","P2RX3","P2RX3"
"9460","P2RX4","P2RX4"
"9461","P2RX5","P2RX5"
"9462","P2RX6","P2RX6"
"9463","P2RX7","P2RX7"
"9464","P2RY1","P2RY1"
"9465","P2RY10","P2RY10"
"9466","P2RY11","P2RY11"
"9467","P2RY12","P2RY12"
"9468","P2RY13","P2RY13"
"9469","P2RY14","P2RY14"
"9470","P2RY2","P2RY2"
"9471","P2RY4","P2RY4"
"9472","P2RY6","P2RY6"
"9473","P2RY8","P2RY8"
"9474","P3H1","P3H1"
"9475","P3H2","P3H2"
"9476","P3H3","P3H3"
"9477","P3H4","P3H4"
"9478","P3R3URF","P3R3URF"
"9479","P4HA1","P4HA1"
"9480","P4HA2","P4HA2"
"9481","P4HA3","P4HA3"
"9482","P4HB","P4HB"
"9483","P4HTM","P4HTM"
"9484","PAAF1","PAAF1"
"9485","PABIR1","PABIR1"
"9486","PABIR2","PABIR2"
"9487","PABPC1L","PABPC1L"
"9488","PABPC4","PABPC4"
"9489","PABPC4L","PABPC4L"
"9490","PABPC5","PABPC5"
"9491","PABPN1","PABPN1"
"9492","PABPN1L","PABPN1L"
"9493","PACC1","PACC1"
"9494","PACRG","PACRG"
"9495","PACRGL","PACRGL"
"9496","PACS1","PACS1"
"9497","PACS2","PACS2"
"9498","PACSIN1","PACSIN1"
"9499","PACSIN2","PACSIN2"
"9500","PACSIN3","PACSIN3"
"9501","PADI1","PADI1"
"9502","PADI2","PADI2"
"9503","PADI3","PADI3"
"9504","PADI4","PADI4"
"9505","PADI6","PADI6"
"9506","PAEP","PAEP"
"9507","PAF1","PAF1"
"9508","PAFAH1B1","PAFAH1B1"
"9509","PAFAH1B2","PAFAH1B2"
"9510","PAFAH1B3","PAFAH1B3"
"9511","PAFAH2","PAFAH2"
"9512","PAG1","PAG1"
"9513","PAGE3","PAGE2B"
"9514","PAGE4","PAGE4"
"9515","PAGR1","PAGR1"
"9516","PAH","PAH"
"9517","PAICS","PAICS"
"9518","PAIP1","PAIP1"
"9519","PAIP2","PAIP2"
"9520","PAIP2B","PAIP2B"
"9521","PAK1","PAK1"
"9522","PAK1IP1","PAK1IP1"
"9523","PAK2","PAK2"
"9524","PAK3","PAK3"
"9525","PAK4","PAK4"
"9526","PAK5","PAK5"
"9527","PAK6","PAK6"
"9528","PALB2","PALB2"
"9529","PALD1","PALD1"
"9530","PALLD","PALLD"
"9531","PALM","PALM"
"9532","PALM2AKAP2","PALM2AKAP2"
"9533","PALM3","PALM3"
"9534","PALMD","PALMD"
"9535","PALS1","PALS1"
"9536","PALS2","PALS2"
"9537","PAM","PAM"
"9538","PAMR1","PAMR1"
"9539","PAN2","PAN2"
"9540","PAN3","PAN3"
"9541","PANK1","PANK1"
"9542","PANK2","PANK2"
"9543","PANK3","PANK3"
"9544","PANK4","PANK4"
"9545","PANX1","PANX1"
"9546","PANX2","PANX2"
"9547","PANX3","PANX3"
"9548","PAOX","PAOX"
"9549","PAPLN","PAPLN"
"9550","PAPOLA","PAPOLA"
"9551","PAPOLG","PAPOLG"
"9552","PAPPA","PAPPA"
"9553","PAPPA2","PAPPA2"
"9554","PAPSS1","PAPSS1"
"9555","PAPSS2","PAPSS2"
"9556","PAQR3","PAQR3"
"9557","PAQR5","PAQR5"
"9558","PAQR6","PAQR6"
"9559","PAQR7","PAQR7"
"9560","PAQR8","PAQR8"
"9561","PAQR9","PAQR9"
"9562","PARD3","PARD3"
"9563","PARD3B","PARD3B"
"9564","PARD6A","PARD6A"
"9565","PARD6B","PARD6B"
"9566","PARD6G","PARD6G"
"9567","PARG","PARG"
"9568","PARK7","PARK7"
"9569","PARL","PARL"
"9570","PARM1","PARM1"
"9571","PARN","PARN"
"9572","PARP1","PARP1"
"9573","PARP11","PARP11"
"9574","PARP12","PARP12"
"9575","PARP14","PARP14"
"9576","PARP16","PARP16"
"9577","PARP2","PARP2"
"9578","PARP3","PARP3"
"9579","PARP6","PARP6"
"9580","PARP8","PARP8"
"9581","PARP9","PARP9"
"9582","PARPBP","PARPBP"
"9583","PARS2","PARS2"
"9584","PARVA","PARVA"
"9585","PARVB","PARVB"
"9586","PARVG","PARVG"
"9587","PASK","PASK"
"9588","PATE1","PATE1"
"9589","PATE2","PATE2"
"9590","PATE3","PATE3"
"9591","PATJ","PATJ"
"9592","PATL1","PATL1"
"9593","PATL2","PATL2"
"9594","PATZ1","PATZ1"
"9595","PAWR","PAWR"
"9596","PAX1","PAX1"
"9597","PAX2","PAX2"
"9598","PAX3","PAX3"
"9599","PAX4","PAX4"
"9600","PAX5","PAX5"
"9601","PAX6","PAX6"
"9602","PAX7","PAX7"
"9603","PAX9","PAX9"
"9604","PAXBP1","PAXBP1"
"9605","PAXIP1","PAXIP1"
"9606","PAXX","PAXX"
"9607","PBDC1","PBDC1"
"9608","PBK","PBK"
"9609","PBLD","PBLD"
"9610","PBRM1","PBRM1"
"9611","PBX2","PBX2"
"9612","PBX3","PBX3"
"9613","PBX4","PBX4"
"9614","PBXIP1","PBXIP1"
"9615","PC","PC"
"9616","PCARE","PCARE"
"9617","PCBD1","PCBD1"
"9618","PCBP1","PCBP1"
"9619","PCBP2","PCBP2"
"9620","PCBP3","PCBP3"
"9621","PCBP4","PCBP4"
"9622","PCCA","PCCA"
"9623","PCCB","PCCB"
"9624","PCDH1","PCDH1"
"9625","PCDH10","PCDH10"
"9626","PCDH12","PCDH12"
"9627","PCDH17","PCDH17"
"9628","PCDH18","PCDH18"
"9629","PCDH19","PCDH19"
"9630","PCDH20","PCDH20"
"9631","PCDH7","PCDH7"
"9632","PCDH8","PCDH8"
"9633","PCDH9","PCDH9"
"9634","PCDHA13","PCDHA13"
"9635","PCDHA3","PCDHA3"
"9636","PCDHAC2","PCDHAC2"
"9637","PCDHB1","PCDHB1"
"9638","PCDHB7","PCDHB7"
"9639","PCDHGA4","PCDHGA4"
"9640","PCDHGA6","PCDHGA6"
"9641","PCDHGB1","PCDHGB1"
"9642","PCED1A","PCED1A"
"9643","PCED1B","PCED1B"
"9644","PCF11","PCF11"
"9645","PCGF2","PCGF2"
"9646","PCGF3","PCGF3"
"9647","PCGF6","PCGF6"
"9648","PCID2","PCID2"
"9649","PCIF1","PCIF1"
"9650","PCK1","PCK1"
"9651","PCK2","PCK2"
"9652","PCLAF","PCLAF"
"9653","PCM1","PCM1"
"9654","PCMT1","PCMT1"
"9655","PCMTD1","PCMTD1"
"9656","PCMTD2","PCMTD2"
"9657","PCNA","PCNA"
"9658","PCNP","PCNP"
"9659","PCNX1","PCNX1"
"9660","PCNX3","PCNX3"
"9661","PCNX4","PCNX4"
"9662","PCOLCE","PCOLCE"
"9663","PCOLCE2","PCOLCE2"
"9664","PCP2","PCP2"
"9665","PCP4","PCP4"
"9666","PCP4L1","PCP4L1"
"9667","PCSK1","PCSK1"
"9668","PCSK1N","PCSK1N"
"9669","PCSK2","PCSK2"
"9670","PCSK4","PCSK4"
"9671","PCSK5","PCSK5"
"9672","PCSK6","PCSK6"
"9673","PCSK7","PCSK7"
"9674","PCSK9","PCSK9"
"9675","PCYOX1","PCYOX1"
"9676","PCYOX1L","PCYOX1L"
"9677","PCYT1A","PCYT1A"
"9678","PCYT1B","PCYT1B"
"9679","PCYT2","PCYT2"
"9680","PDAP1","PDAP1"
"9681","PDC","PDC"
"9682","PDCD1","PDCD1"
"9683","PDCD10","PDCD10"
"9684","PDCD11","PDCD11"
"9685","PDCD1LG2","PDCD1LG2"
"9686","PDCD2L","PDCD2L"
"9687","PDCD4","PDCD4"
"9688","PDCD5","PDCD5"
"9689","PDCD6","PDCD6"
"9690","PDCD7","PDCD7"
"9691","PDCL","PDCL"
"9692","PDCL2","PDCL2"
"9693","PDCL3","PDCL3"
"9694","PDE10A","PDE10A"
"9695","PDE11A","PDE11A"
"9696","PDE12","PDE12"
"9697","PDE1A","PDE1A"
"9698","PDE1B","PDE1B"
"9699","PDE1C","PDE1C"
"9700","PDE2A","PDE2A"
"9701","PDE3A","PDE3A"
"9702","PDE3B","PDE3B"
"9703","PDE4A","PDE4A"
"9704","PDE4B","PDE4B"
"9705","PDE4C","PDE4C"
"9706","PDE4D","PDE4D"
"9707","PDE4DIP","PDE4DIP"
"9708","PDE5A","PDE5A"
"9709","PDE6A","PDE6A"
"9710","PDE6B","PDE6B"
"9711","PDE6C","PDE6C"
"9712","PDE6D","PDE6D"
"9713","PDE6G","PDE6G"
"9714","PDE6H","PDE6H"
"9715","PDE7A","PDE7A"
"9716","PDE7B","PDE7B"
"9717","PDE8A","PDE8A"
"9718","PDE8B","PDE8B"
"9719","PDE9A","PDE9A"
"9720","PDF","PDF"
"9721","PDGFA","PDGFA"
"9722","PDGFB","PDGFB"
"9723","PDGFC","PDGFC"
"9724","PDGFD","PDGFD"
"9725","PDGFRA","PDGFRA"
"9726","PDGFRB","PDGFRB"
"9727","PDGFRL","PDGFRL"
"9728","PDHA1","PDHA1"
"9729","PDHB","PDHB"
"9730","PDHX","PDHX"
"9731","PDIA2","PDIA2"
"9732","PDIA3","PDIA3"
"9733","PDIA4","PDIA4"
"9734","PDIA5","PDIA5"
"9735","PDIA6","PDIA6"
"9736","PDIK1L","PDIK1L"
"9737","PDILT","PDILT"
"9738","PDK1","PDK1"
"9739","PDK2","PDK2"
"9740","PDK3","PDK3"
"9741","PDK4","PDK4"
"9742","PDLIM1","PDLIM1"
"9743","PDLIM2","PDLIM2"
"9744","PDLIM3","PDLIM3"
"9745","PDLIM4","PDLIM4"
"9746","PDLIM5","PDLIM5"
"9747","PDLIM7","PDLIM7"
"9748","PDP1","PDP1"
"9749","PDP2","PDP2"
"9750","PDPK1","PDPK1"
"9751","PDPN","PDPN"
"9752","PDPR","PDPR"
"9753","PDRG1","PDRG1"
"9754","PDS5A","PDS5A"
"9755","PDS5B","PDS5B"
"9756","PDSS1","PDSS1"
"9757","PDSS2","PDSS2"
"9758","PDX1","PDX1"
"9759","PDXDC1","PDXDC1"
"9760","PDXK","PDXK"
"9761","PDXP","PDXP"
"9762","PDYN","PDYN"
"9763","PDZD11","PDZD11"
"9764","PDZD4","PDZD4"
"9765","PDZD9","PDZD9"
"9766","PDZK1","PDZK1"
"9767","PDZRN3","PDZRN3"
"9768","PDZRN4","PDZRN4"
"9769","PEA15","PEA15"
"9770","PEAK1","PEAK1"
"9771","PEAK3","PEAK3"
"9772","PEAR1","PEAR1"
"9773","PEBP4","PEBP4"
"9774","PECAM1","PECAM1"
"9775","PECR","PECR"
"9776","PEDS1","PEDS1"
"9777","PEF1","PEF1"
"9778","PEG10","PEG10"
"9779","PEG3","PEG3"
"9780","PELI1","PELI1"
"9781","PELI2","PELI2"
"9782","PELI3","PELI3"
"9783","PELO","PELO"
"9784","PELP1","PELP1"
"9785","PENK","PENK"
"9786","PEPD","PEPD"
"9787","PER1","PER1"
"9788","PER2","PER2"
"9789","PERCC1","PERCC1"
"9790","PERP","PERP"
"9791","PES1","PES1"
"9792","PET100","PET100"
"9793","PET117","PET117"
"9794","PEX1","PEX1"
"9795","PEX11A","PEX11A"
"9796","PEX11B","PEX11B"
"9797","PEX11G","PEX11G"
"9798","PEX12","PEX12"
"9799","PEX14","PEX14"
"9800","PEX16","PEX16"
"9801","PEX19","PEX19"
"9802","PEX2","PEX2"
"9803","PEX26","PEX26"
"9804","PEX3","PEX3"
"9805","PEX5","PEX5"
"9806","PEX5L","PEX5L"
"9807","PEX6","PEX6"
"9808","PEX7","PEX7"
"9809","PFDN1","PFDN1"
"9810","PFDN2","PFDN2"
"9811","PFDN5","PFDN5"
"9812","PFDN6","PFDN6"
"9813","PFKFB1","PFKFB1"
"9814","PFKFB2","PFKFB2"
"9815","PFKFB3","PFKFB3"
"9816","PFKFB4","PFKFB4"
"9817","PFKL","PFKL"
"9818","PFKM","PFKM"
"9819","PFKP","PFKP"
"9820","PFN3","PFN3"
"9821","PFN4","PFN4"
"9822","CAMP","PG-2"
"9823","PGA5","PGA5"
"9824","PGAM1","PGAM1"
"9825","PGAM2","PGAM2"
"9826","PGAM5","PGAM5"
"9827","PGAP1","PGAP1"
"9828","PGAP2","PGAP2"
"9829","PGAP3","PGAP3"
"9830","PGAP4","PGAP4"
"9831","PGAP6","PGAP6"
"9832","PGBD1","PGBD1"
"9833","PGBD2","PGBD2"
"9834","PGBD5","PGBD5"
"9835","PGC","PGC"
"9836","PGD","PGD"
"9837","PGF","PGF"
"9838","PGGHG","PGGHG"
"9839","PGGT1B","PGGT1B"
"9840","PGK2","PGK2"
"9841","PGLS","PGLS"
"9842","PGLYRP1","PGLYRP1"
"9843","PGLYRP2","PGLYRP2"
"9844","PGLYRP3","PGLYRP3"
"9845","PGLYRP4","PGLYRP4"
"9846","PGM2","PGM2"
"9847","PGM2L1","PGM2L1"
"9848","PGM3","PGM3"
"9849","PGM5","PGM5"
"9850","PGP","PGP"
"9851","PGPEP1","PGPEP1"
"9852","PGR","PGR"
"9853","PGRMC1","PGRMC1"
"9854","PGRMC2","PGRMC2"
"9855","PGS1","PGS1"
"9856","PHACTR1","PHACTR1"
"9857","PHACTR2","PHACTR2"
"9858","PHACTR3","PHACTR3"
"9859","PHACTR4","PHACTR4"
"9860","PHAF1","PHAF1"
"9861","PHAX","PHAX"
"9862","PHB1","PHB1"
"9863","PHB2","PHB2"
"9864","PHC1","PHC1"
"9865","PHC2","PHC2"
"9866","PHC3","PHC3"
"9867","SCGB2A2","PHEROC"
"9868","PHETA1","PHETA1"
"9869","PHETA2","PHETA2"
"9870","PHEX","PHEX"
"9871","PHF1","PHF1"
"9872","PHF10","PHF10"
"9873","PHF11","PHF11"
"9874","PHF12","PHF12"
"9875","PHF13","PHF13"
"9876","PHF14","PHF14"
"9877","PHF19","PHF19"
"9878","PHF2","PHF2"
"9879","PHF20","PHF20"
"9880","PHF20L1","PHF20L1"
"9881","PHF21A","PHF21A"
"9882","PHF21B","PHF21B"
"9883","PHF23","PHF23"
"9884","PHF24","PHF24"
"9885","PHF3","PHF3"
"9886","PHF5A","PHF5A"
"9887","PHF6","PHF6"
"9888","PHF7","PHF7"
"9889","PHF8","PHF8"
"9890","PHGDH","PHGDH"
"9891","PHIP","PHIP"
"9892","PHKA1","PHKA1"
"9893","PHKA2","PHKA2"
"9894","PHKB","PHKB"
"9895","PHKG1","PHKG1"
"9896","PHKG2","PHKG2"
"9897","PHLDA1","PHLDA1"
"9898","PHLDA2","PHLDA2"
"9899","PHLDA3","PHLDA3"
"9900","PHLDB1","PHLDB1"
"9901","PHLDB2","PHLDB2"
"9902","PHLDB3","PHLDB3"
"9903","PHLPP1","PHLPP1"
"9904","PHLPP2","PHLPP2"
"9905","PHOSPHO2","PHOSPHO2"
"9906","PHOX2A","PHOX2A"
"9907","PHOX2B","PHOX2B"
"9908","PHRF1","PHRF1"
"9909","PHTF1","PHTF1"
"9910","PHTF2","PHTF2"
"9911","PHYH","PHYH"
"9912","PHYHD1","PHYHD1"
"9913","PHYHIP","PHYHIP"
"9914","PHYHIPL","PHYHIPL"
"9915","PHYKPL","PHYKPL"
"9916","PI15","PI15"
"9917","PI16","PI16"
"9918","PI4K2A","PI4K2A"
"9919","PI4K2B","PI4K2B"
"9920","PI4KA","PI4KA"
"9921","PI4KB","PI4KB"
"9922","PIANP","PIANP"
"9923","PIAS1","PIAS1"
"9924","PIAS2","PIAS2"
"9925","PIAS3","PIAS3"
"9926","PIAS4","PIAS4"
"9927","PIBF1","PIBF1"
"9928","PICALM","PICALM"
"9929","PICK1","PICK1"
"9930","PID1","PID1"
"9931","PIDD1","PIDD1"
"9932","PIERCE1","PIERCE1"
"9933","PIERCE2","PIERCE2"
"9934","PIEZO1","PIEZO1"
"9935","PIEZO2","PIEZO2"
"9936","PIF1","PIF1"
"9937","PIGA","PIGA"
"9938","PIGB","PIGB"
"9939","PIGBOS1","PIGBOS1"
"9940","PIGC","PIGC"
"9941","PIGF","PIGF"
"9942","PIGG","PIGG"
"9943","PIGH","PIGH"
"9944","PIGK","PIGK"
"9945","PIGL","PIGL"
"9946","PIGN","PIGN"
"9947","PIGO","PIGO"
"9948","PIGP","PIGP"
"9949","PIGQ","PIGQ"
"9950","PIGR","PIGR"
"9951","PIGS","PIGS"
"9952","PIGT","PIGT"
"9953","PIGU","PIGU"
"9954","PIGV","PIGV"
"9955","PIGW","PIGW"
"9956","PIGX","PIGX"
"9957","PIH1D1","PIH1D1"
"9958","PIH1D2","PIH1D2"
"9959","PIK3AP1","PIK3AP1"
"9960","PIK3C2A","PIK3C2A"
"9961","PIK3C2B","PIK3C2B"
"9962","PIK3C2G","PIK3C2G"
"9963","PIK3C3","PIK3C3"
"9964","PIK3CA","PIK3CA"
"9965","PIK3CB","PIK3CB"
"9966","PIK3CD","PIK3CD"
