"","human_gene","dog_gene"
"7738","MOCS1","MOCS1"
"7739","MOCS3","MOCS3"
"7740","MOG","MOG"
"7741","MOGAT1","MOGAT1"
"7742","MOGAT2","MOGAT2"
"7743","MOGAT3","MOGAT3"
"7744","MOGS","MOGS"
"7745","MOK","MOK"
"7746","MON1A","MON1A"
"7747","MON1B","MON1B"
"7748","MON2","MON2"
"7749","MORC1","MORC1"
"7750","MORC2","MORC2"
"7751","MORC3","MORC3"
"7752","MORC4","MORC4"
"7753","MORF4L1","MORF4L1"
"7754","MORF4L2","MORF4L2"
"7755","MORN1","MORN1"
"7756","MORN2","MORN2"
"7757","MORN3","MORN3"
"7758","MORN4","MORN4"
"7759","MORN5","MORN5"
"7760","MOS","MOS"
"7761","MOSMO","MOSMO"
"7762","MOSPD1","MOSPD1"
"7763","MOSPD2","MOSPD2"
"7764","MOSPD3","MOSPD3"
"7765","MOV10","MOV10"
"7766","MOV10L1","MOV10L1"
"7767","MOXD1","MOXD1"
"7768","MPC1","MPC1"
"7769","MPDU1","MPDU1"
"7770","MPDZ","MPDZ"
"7771","MPG","MPG"
"7772","MPHOSPH8","MPHOSPH8"
"7773","MPHOSPH9","MPHOSPH9"
"7774","MPI","MPI"
"7775","MPIG6B","MPIG6B"
"7776","MPL","MPL"
"7777","MPLKIP","MPLKIP"
"7778","MPND","MPND"
"7779","MPO","MPO"
"7780","MPP1","MPP1"
"7781","MPP2","MPP2"
"7782","MPP3","MPP3"
"7783","MPP4","MPP4"
"7784","PALS2","MPP6"
"7785","MPP7","MPP7"
"7786","MPPE1","MPPE1"
"7787","MPPED1","MPPED1"
"7788","MPPED2","MPPED2"
"7789","MPRIP","MPRIP"
"7790","MPST","MPST"
"7791","MPV17","MPV17"
"7792","MPV17L2","MPV17L2"
"7793","MPZ","MPZ"
"7794","MPZL1","MPZL1"
"7795","MPZL2","MPZL2"
"7796","MPZL3","MPZL3"
"7797","MRAP2","MRAP2"
"7798","MRAS","MRAS"
"7799","MRC1","MRC1"
"7800","MRC2","MRC2"
"7801","MRE11","MRE11"
"7802","MREG","MREG"
"7803","MRFAP1L2","MRFAP1L2"
"7804","MRGBP","MRGBP"
"7805","MRGPRD","MRGPRD"
"7806","MRGPRF","MRGPRF"
"7807","MRGPRG","MRGPRG"
"7808","MRGPRX2","MRGPRX"
"7809","MRI1","MRI1"
"7810","MRM1","MRM1"
"7811","MRM2","MRM2"
"7812","MRM3","MRM3"
"7813","MRO","MRO"
"7814","MROH1","MROH1"
"7815","MROH2A","MROH2A"
"7816","MROH2B","MROH2B"
"7817","MROH5","MROH5"
"7818","MROH6","MROH6"
"7819","MROH7","MROH7"
"7820","MROH8","MROH8"
"7821","MROH9","MROH9"
"7822","MRPL10","MRPL10"
"7823","MRPL11","MRPL11"
"7824","MRPL12","MRPL12"
"7825","MRPL13","MRPL13"
"7826","MRPL14","MRPL14"
"7827","MRPL15","MRPL15"
"7828","MRPL16","MRPL16"
"7829","MRPL18","MRPL18"
"7830","MRPL19","MRPL19"
"7831","MRPL2","MRPL2"
"7832","MRPL20","MRPL20"
"7833","MRPL22","MRPL22"
"7834","MRPL24","MRPL24"
"7835","MRPL27","MRPL27"
"7836","MRPL3","MRPL3"
"7837","MRPL30","MRPL30"
"7838","MRPL32","MRPL32"
"7839","SLC4A1AP","MRPL33"
"7840","MRPL35","MRPL35"
"7841","MRPL36","MRPL36"
"7842","MRPL37","MRPL37"
"7843","MRPL38","MRPL38"
"7844","MRPL39","MRPL39"
"7845","MRPL4","MRPL4"
"7846","MRPL41","MRPL41"
"7847","MRPL42","MRPL42"
"7848","MRPL43","MRPL43"
"7849","MRPL44","MRPL44"
"7850","MRPL46","MRPL46"
"7851","MRPL47","MRPL47"
"7852","MRPL48","MRPL48"
"7853","MRPL49","MRPL49"
"7854","MRPL50","MRPL50"
"7855","MRPL51","MRPL51"
"7856","MRPL52","MRPL52"
"7857","MRPL54","MRPL54"
"7858","MRPL55","MRPL55"
"7859","MRPL57","MRPL57"
"7860","MRPL58","MRPL58"
"7861","MRPS11","MRPS11"
"7862","MRPS12","MRPS12"
"7863","MRPS14","MRPS14"
"7864","MRPS15","MRPS15"
"7865","MRPS17","MRPS17"
"7866","MRPS18A","MRPS18A"
"7867","MRPS18B","MRPS18B"
"7868","MRPS18C","MRPS18C"
"7869","MRPS21","MRPS21"
"7870","MRPS22","MRPS22"
"7871","MRPS23","MRPS23"
"7872","MRPS25","MRPS25"
"7873","MRPS26","MRPS26"
"7874","MRPS27","MRPS27"
"7875","MRPS28","MRPS28"
"7876","MRPS30","MRPS30"
"7877","MRPS31","MRPS31"
"7878","MRPS33","MRPS33"
"7879","MRPS34","MRPS34"
"7880","MRPS35","MRPS35"
"7881","MRPS36","MRPS36"
"7882","MRPS5","MRPS5"
"7883","MRPS7","MRPS7"
"7884","MRPS9","MRPS9"
"7885","MRRF","MRRF"
"7886","MRS2","MRS2"
"7887","MRTFA","MRTFA"
"7888","MRTFB","MRTFB"
"7889","MRTO4","MRTO4"
"7890","MS4A1","MS4A1"
"7891","MS4A2","MS4A2"
"7892","MS4A5","MS4A5"
"7893","MS4A7","MS4A7"
"7894","MSANTD2","MSANTD2"
"7895","MSANTD4","MSANTD4"
"7896","MSC","MSC"
"7897","MSGN1","MSGN1"
"7898","MSH2","MSH2"
"7899","MSH3","MSH3"
"7900","MSH5","MSH5"
"7901","MSH6","MSH6"
"7902","MSI1","MSI1"
"7903","MSI2","MSI2"
"7904","MSL1","MSL1"
"7905","MSL2","MSL2"
"7906","MSL3","MSL3"
"7907","MSLNL","MSLNL"
"7908","MSMO1","MSMO1"
"7909","MSMP","MSMP"
"7910","MSN","MSN"
"7911","MSR1","MSR1"
"7912","MSRB1","MSRB1"
"7913","MSRB2","MSRB2"
"7914","MSS51","MSS51"
"7915","MST1","MST1"
"7916","MST1R","MST1R"
"7917","MSTN","MSTN"
"7918","MSTO1","MSTO1"
"7919","MSX1","MSX1"
"7920","MSX2","MSX2"
"7921","MT1X","MT1E"
"7922","MT3","MT3"
"7923","MT4","MT4"
"7924","MTA1","MTA1"
"7925","MTA2","MTA2"
"7926","MTAP","MTAP"
"7927","MTBP","MTBP"
"7928","MTCH1","MTCH1"
"7929","MTCL1","MTCL1"
"7930","MTCP1","MTCP1"
"7931","MTDH","MTDH"
"7932","MTERF1","MTERF1"
"7933","MTERF2","MTERF2"
"7934","MTF1","MTF1"
"7935","MTF2","MTF2"
"7936","MTFMT","MTFMT"
"7937","MTFP1","MTFP1"
"7938","MTFR1","MTFR1"
"7939","MTFR1L","MTFR1L"
"7940","MTFR2","MTFR2"
"7941","MTG1","MTG1"
"7942","MTG2","MTG2"
"7943","MTHFD1","MTHFD1"
"7944","MTHFD1L","MTHFD1L"
"7945","MTHFD2L","MTHFD2L"
"7946","MTHFR","MTHFR"
"7947","MTHFS","MTHFS"
"7948","MTIF2","MTIF2"
"7949","MTIF3","MTIF3"
"7950","MTLN","MTLN"
"7951","MTMR1","MTMR1"
"7952","MTMR10","MTMR10"
"7953","MTMR11","MTMR11"
"7954","MTMR14","MTMR14"
"7955","MTMR2","MTMR2"
"7956","MTMR3","MTMR3"
"7957","MTMR4","MTMR4"
"7958","MTMR6","MTMR6"
"7959","MTMR7","MTMR7"
"7960","MTMR9","MTMR9"
"7961","MTNR1A","MTNR1A"
"7962","MTNR1B","MTNR1B"
"7963","MTO1","MTO1"
"7964","MTOR","MTOR"
"7965","MTPAP","MTPAP"
"7966","MTPN","MTPN"
"7967","MTR","MTR"
"7968","MTRES1","MTRES1"
"7969","MTREX","MTREX"
"7970","MTRF1","MTRF1"
"7971","MTRF1L","MTRF1L"
"7972","MTRFR","MTRFR"
"7973","MTRR","MTRR"
"7974","MTSS1","MTSS1"
"7975","MTSS2","MTSS2"
"7976","MTTP","MTTP"
"7977","MTURN","MTURN"
"7978","MTUS1","MTUS1"
"7979","MTUS2","MTUS2"
"7980","MTX1","MTX1"
"7981","MTX2","MTX2"
"7982","MTX3","MTX3"
"7983","MUC1","MUC1"
"7984","MUC15","MUC15"
"7985","MUC2","MUC2"
"7986","MUL1","MUL1"
"7987","MUS81","MUS81"
"7988","MUSK","MUSK"
"7989","MUSTN1","MUSTN1"
"7990","MUTYH","MUTYH"
"7991","MVB12A","MVB12A"
"7992","MVB12B","MVB12B"
"7993","MVD","MVD"
"7994","MVK","MVK"
"7995","MVP","MVP"
"7996","MX2","MX1"
"7997","MXD3","MXD3"
"7998","MXD4","MXD4"
"7999","MXI1","MXI1"
"8000","MXRA5","MXRA5"
"8001","MXRA8","MXRA8"
"8002","MYADM","MYADM"
"8003","MYADML2","MYADML2"
"8004","MYB","MYB"
"8005","MYBBP1A","MYBBP1A"
"8006","MYBL1","MYBL1"
"8007","MYBL2","MYBL2"
"8008","MYBPC1","MYBPC1"
"8009","MYBPC2","MYBPC2"
"8010","MYBPC3","MYBPC3"
"8011","MYBPH","MYBPH"
"8012","MYBPHL","MYBPHL"
"8013","MYC","MYC"
"8014","MYCBP","MYCBP"
"8015","MYCBP2","MYCBP2"
"8016","MYCBPAP","MYCBPAP"
"8017","MYCL","MYCL"
"8018","MYCN","MYCN"
"8019","MYCT1","MYCT1"
"8020","MYD88","MYD88"
"8021","MYEF2","MYEF2"
"8022","MYF6","MYF6"
"8023","MYH1","MYH1"
"8024","MYH10","MYH10"
"8025","MYH11","MYH11"
"8026","MYH14","MYH14"
"8027","MYH15","MYH15"
"8028","MYH3","MYH3"
"8029","MYH7","MYH7"
"8030","MYH7B","MYH7B"
"8031","MYH8","MYH8"
"8032","MYH9","MYH9"
"8033","MYL1","MYL1"
"8034","MYL10","MYL10"
"8035","MYL12A","MYL12A"
"8036","MYL12B","MYL12B"
"8037","MYL2","MYL2"
"8038","MYL3","MYL3"
"8039","MYL4","MYL4"
"8040","MYL5","MYL5"
"8041","MYL6B","MYL6"
"8042","MYL7","MYL7"
"8043","MYL9","MYL9"
"8044","MYLIP","MYLIP"
"8045","MYLK","MYLK"
"8046","MYLK2","MYLK2"
"8047","MYLK3","MYLK3"
"8048","MYLK4","MYLK4"
"8049","MYL11","MYLPF"
"8050","MYMK","MYMK"
"8051","MYMX","MYMX"
"8052","MYNN","MYNN"
"8053","MYO10","MYO10"
"8054","MYO18A","MYO18A"
"8055","MYO18B","MYO18B"
"8056","MYO19","MYO19"
"8057","MYO1B","MYO1B"
"8058","MYO1C","MYO1C"
"8059","MYO1D","MYO1D"
"8060","MYO1E","MYO1E"
"8061","MYO1F","MYO1F"
"8062","MYO1G","MYO1G"
"8063","MYO1H","MYO1H"
"8064","MYO3A","MYO3A"
"8065","MYO3B","MYO3B"
"8066","MYO5A","MYO5A"
"8067","MYO5B","MYO5B"
"8068","MYO5C","MYO5C"
"8069","MYO6","MYO6"
"8070","MYO7A","MYO7A"
"8071","MYO7B","MYO7B"
"8072","MYO9A","MYO9A"
"8073","MYO9B","MYO9B"
"8074","MYOC","MYOC"
"8075","MYOCD","MYOCD"
"8076","MYOCOS","MYOCOS"
"8077","MYOD1","MYOD1"
"8078","MYOF","MYOF"
"8079","MYOG","MYOG"
"8080","MYOM1","MYOM1"
"8081","MYOM3","MYOM3"
"8082","MYORG","MYORG"
"8083","MYOT","MYOT"
"8084","MYOZ1","MYOZ1"
"8085","MYOZ2","MYOZ2"
"8086","MYOZ3","MYOZ3"
"8087","MYPN","MYPN"
"8088","MYRF","MYRF"
"8089","MYRFL","MYRFL"
"8090","MYRIP","MYRIP"
"8091","MYSM1","MYSM1"
"8092","MYT1","MYT1"
"8093","MYT1L","MYT1L"
"8094","MZT1","MZT1"
"8095","MZT2B","MZT2B"
"8096","RN7SL2","Metazoa_SRP"
"8097","N4BP1","N4BP1"
"8098","N4BP2","N4BP2"
"8099","N4BP2L1","N4BP2L1"
"8100","N4BP2L2","N4BP2L2"
"8101","N4BP3","N4BP3"
"8102","NAA11","NAA11"
"8103","NAA15","NAA15"
"8104","NAA16","NAA16"
"8105","NAA20","NAA20"
"8106","NAA25","NAA25"
"8107","NAA30","NAA30"
"8108","NAA35","NAA35"
"8109","NAA38","NAA38"
"8110","NAA50","NAA50"
"8111","NAA60","NAA60"
"8112","NAALAD2","NAALAD2"
"8113","NAALADL1","NAALADL1"
"8114","NAALADL2","NAALADL2"
"8115","NAB1","NAB1"
"8116","NAB2","NAB2"
"8117","NABP1","NABP1"
"8118","NABP2","NABP2"
"8119","NACA","NACA"
"8120","NACC1","NACC1"
"8121","NACC2","NACC2"
"8122","NADK","NADK"
"8123","NADK2","NADK2"
"8124","NADSYN1","NADSYN1"
"8125","NAE1","NAE1"
"8126","NAF1","NAF1"
"8127","NAGA","NAGA"
"8128","NAGK","NAGK"
"8129","NAGLU","NAGLU"
"8130","NAGPA","NAGPA"
"8131","NAGS","NAGS"
"8132","NAIF1","NAIF1"
"8133","NALCN","NALCN"
"8134","NALF1","NALF1"
"8135","NAMPT","NAMPT"
"8136","NANOS1","NANOS1"
"8137","NANOS2","NANOS2"
"8138","NANOS3","NANOS3"
"8139","NANP","NANP"
"8140","NANS","NANS"
"8141","NAP1L1","NAP1L1"
"8142","NAP1L4","NAP1L4"
"8143","NAP1L5","NAP1L5"
"8144","NAPA","NAPA"
"8145","NAPB","NAPB"
"8146","NAPEPLD","NAPEPLD"
"8147","NAPG","NAPG"
"8148","NAPRT","NAPRT"
"8149","NAPSA","NAPSA"
"8150","NARF","NARF"
"8151","NARS1","NARS1"
"8152","NARS2","NARS2"
"8153","NAT10","NAT10"
"8154","NAT14","NAT14"
"8155","NAT8L","NAT8L"
"8156","NAT9","NAT9"
"8157","NATD1","NATD1"
"8158","NAV1","NAV1"
"8159","NAV2","NAV2"
"8160","NAV3","NAV3"
"8161","NAXD","NAXD"
"8162","NAXE","NAXE"
"8163","NBAS","NBAS"
"8164","NBEAL1","NBEAL1"
"8165","NBEAL2","NBEAL2"
"8166","NBL1","NBL1"
"8167","NBN","NBN"
"8168","NCALD","NCALD"
"8169","NCAM1","NCAM1"
"8170","NCAM2","NCAM2"
"8171","NCAN","NCAN"
"8172","NCAPD2","NCAPD2"
"8173","NCAPD3","NCAPD3"
"8174","NCAPG","NCAPG"
"8175","NCAPG2","NCAPG2"
"8176","NCAPH","NCAPH"
"8177","NCAPH2","NCAPH2"
"8178","NCBP1","NCBP1"
"8179","NCBP2L","NCBP2L"
"8180","NCBP3","NCBP3"
"8181","NCCRP1","NCCRP1"
"8182","NCDN","NCDN"
"8183","NCEH1","NCEH1"
"8184","NCF1","NCF1"
"8185","NCF2","NCF2"
"8186","NCF4","NCF4"
"8187","NCK1","NCK1"
"8188","NCK2","NCK2"
"8189","NCKAP1","NCKAP1"
"8190","NCKAP1L","NCKAP1L"
"8191","NCKAP5","NCKAP5"
"8192","NCKAP5L","NCKAP5L"
"8193","NCKIPSD","NCKIPSD"
"8194","NCL","NCL"
"8195","NCLN","NCLN"
"8196","NCOA1","NCOA1"
"8197","NCOA2","NCOA2"
"8198","NCOA3","NCOA3"
"8199","NCOA5","NCOA5"
"8200","NCOA6","NCOA6"
"8201","NCOA7","NCOA7"
"8202","NCOR1","NCOR1"
"8203","NCOR2","NCOR2"
"8204","NCR1","NCR1"
"8205","NCR3","NCR3"
"8206","NCSTN","NCSTN"
"8207","NDC1","NDC1"
"8208","NDC80","NDC80"
"8209","NDE1","NDE1"
"8210","NDEL1","NDEL1"
"8211","NDFIP1","NDFIP1"
"8212","NDFIP2","NDFIP2"
"8213","NDN","NDN"
"8214","NDNF","NDNF"
"8215","NDOR1","NDOR1"
"8216","NDRG1","NDRG1"
"8217","NDRG2","NDRG2"
"8218","NDRG3","NDRG3"
"8219","NDRG4","NDRG4"
"8220","NDST1","NDST1"
"8221","NDST2","NDST2"
"8222","NDST3","NDST3"
"8223","NDST4","NDST4"
"8224","NDUFA1","NDUFA1"
"8225","NDUFA10","NDUFA10"
"8226","NDUFA11","NDUFA11"
"8227","NDUFA12","NDUFA12"
"8228","NDUFA13","NDUFA13"
"8229","NDUFA2","NDUFA2"
"8230","NDUFA4L2","NDUFA4L2"
"8231","NDUFA6","NDUFA6"
"8232","NDUFA7","NDUFA7"
"8233","NDUFA8","NDUFA8"
"8234","NDUFA9","NDUFA9"
"8235","NDUFAB1","NDUFAB1"
"8236","NDUFAF1","NDUFAF1"
"8237","NDUFAF2","NDUFAF2"
"8238","NDUFAF3","NDUFAF3"
"8239","NDUFAF5","NDUFAF5"
"8240","NDUFAF6","NDUFAF6"
"8241","NDUFAF7","NDUFAF7"
"8242","NDUFAF8","NDUFAF8"
"8243","NDUFB11","NDUFB11"
"8244","NDUFB2","NDUFB2"
"8245","NDUFB3","NDUFB3"
"8246","NDUFB4","NDUFB4"
"8247","NDUFB5","NDUFB5"
"8248","NDUFB6","NDUFB6"
"8249","NDUFB7","NDUFB7"
"8250","NDUFB8","NDUFB8"
"8251","NDUFB9","NDUFB9"
"8252","NDUFC2","NDUFC2"
"8253","NDUFS1","NDUFS1"
"8254","NDUFS2","NDUFS2"
"8255","NDUFS3","NDUFS3"
"8256","NDUFS5","NDUFS5"
"8257","NDUFS7","NDUFS7"
"8258","NDUFS8","NDUFS8"
"8259","NDUFV1","NDUFV1"
"8260","NDUFV2","NDUFV2"
"8261","NEB","NEB"
"8262","NEBL","NEBL"
"8263","NECAB1","NECAB1"
"8264","NECAB2","NECAB2"
"8265","NECAB3","NECAB3"
"8266","NECAP1","NECAP1"
"8267","SZRD1","NECAP2"
"8268","NECTIN1","NECTIN1"
"8269","NECTIN2","NECTIN2"
"8270","NECTIN3","NECTIN3"
"8271","NECTIN4","NECTIN4"
"8272","NEDD1","NEDD1"
"8273","NEDD4","NEDD4"
"8274","NEDD4L","NEDD4L"
"8275","NEDD8","NEDD8"
"8276","NEDD9","NEDD9"
"8277","NEFM","NEFH"
"8278","NEFL","NEFL"
"8279","NEGR1","NEGR1"
"8280","NEIL2","NEIL2"
"8281","NEIL3","NEIL3"
"8282","NEK1","NEK1"
"8283","NEK10","NEK10"
"8284","NEK11","NEK11"
"8285","NEK2","NEK2"
"8286","NEK4","NEK4"
"8287","NEK6","NEK6"
"8288","NEK7","NEK7"
"8289","NEK8","NEK8"
"8290","NEK9","NEK9"
"8291","NELFA","NELFA"
"8292","NELFCD","NELFCD"
"8293","NELFE","NELFE"
"8294","NELL1","NELL1"
"8295","NELL2","NELL2"
"8296","NEMF","NEMF"
"8297","NEMP1","NEMP1"
"8298","NEMP2","NEMP2"
"8299","NENF","NENF"
"8300","NEO1","NEO1"
"8301","NEPRO","NEPRO"
"8302","NES","NES"
"8303","NET1","NET1"
"8304","NETO1","NETO1"
"8305","NETO2","NETO2"
"8306","NEU1","NEU1"
"8307","NEU2","NEU2"
"8308","NEU3","NEU3"
"8309","NEU4","NEU4"
"8310","NEURL1","NEURL1"
"8311","NEURL1B","NEURL1B"
"8312","NEURL2","NEURL2"
"8313","NEURL3","NEURL3"
"8314","NEURL4","NEURL4"
"8315","NEUROD2","NEUROD2"
"8316","NEUROD4","NEUROD4"
"8317","NEUROD6","NEUROD6"
"8318","NEUROG1","NEUROG1"
"8319","NEUROG2","NEUROG2"
"8320","NEUROG3","NEUROG3"
"8321","NEXMIF","NEXMIF"
"8322","NEXN","NEXN"
"8323","NF2","NF2"
"8324","NFAM1","NFAM1"
"8325","NFASC","NFASC"
"8326","NFAT5","NFAT5"
"8327","NFATC1","NFATC1"
"8328","NFATC2","NFATC2"
"8329","NFATC2IP","NFATC2IP"
"8330","NFATC3","NFATC3"
"8331","NFATC4","NFATC4"
"8332","NFE2","NFE2"
"8333","NFE2L1","NFE2L1"
"8334","NFE2L2","NFE2L2"
"8335","NFE2L3","NFE2L3"
"8336","NFIA","NFIA"
"8337","NFIB","NFIB"
"8338","NFIC","NFIC"
"8339","NFILZ","NFILZ"
"8340","NFIX","NFIX"
"8341","NFKB1","NFKB1"
"8342","NFKB2","NFKB2"
"8343","NFKBIA","NFKBIA"
"8344","NFKBIB","NFKBIB"
"8345","NFKBID","NFKBID"
"8346","NFKBIE","NFKBIE"
"8347","NFKBIL1","NFKBIL1"
"8348","NFKBIZ","NFKBIZ"
"8349","NFRKB","NFRKB"
"8350","NFS1","NFS1"
"8351","NFU1","NFU1"
"8352","NFX1","NFX1"
"8353","NFXL1","NFXL1"
"8354","NFYA","NFYA"
"8355","NFYB","NFYB"
"8356","NFYC","NFYC"
"8357","NGB","NGB"
"8358","NGDN","NGDN"
"8359","NGEF","NGEF"
"8360","NGF","NGF"
"8361","NGFR","NGFR"
"8362","NGLY1","NGLY1"
"8363","NGRN","NGRN"
"8364","NHEJ1","NHEJ1"
"8365","NHERF1","NHERF1"
"8366","NHERF2","NHERF2"
"8367","NHERF4","NHERF4"
"8368","NHLH1","NHLH1"
"8369","NHLRC1","NHLRC1"
"8370","NHLRC2","NHLRC2"
"8371","NHLRC3","NHLRC3"
"8372","NHLRC4","NHLRC4"
"8373","NHP2","NHP2"
"8374","NHS","NHS"
"8375","NHSL1","NHSL1"
"8376","NHSL2","NHSL2"
"8377","NIBAN1","NIBAN1"
"8378","NIBAN2","NIBAN2"
"8379","NIBAN3","NIBAN3"
"8380","NID1","NID1"
"8381","NID2","NID2"
"8382","NIF3L1","NIF3L1"
"8383","NIFK","NIFK"
"8384","NIM1K","NIM1K"
"8385","NIN","NIN"
"8386","NINJ2","NINJ2"
"8387","NINL","NINL"
"8388","NIPA1","NIPA1"
"8389","NIPA2","NIPA2"
"8390","NIPAL1","NIPAL1"
"8391","NIPAL2","NIPAL2"
"8392","NIPAL3","NIPAL3"
"8393","NIPAL4","NIPAL4"
"8394","NIPBL","NIPBL"
"8395","NIPSNAP1","NIPSNAP1"
"8396","NIPSNAP2","NIPSNAP2"
"8397","NIPSNAP3A","NIPSNAP3A"
"8398","NISCH","NISCH"
"8399","NIT1","NIT1"
"8400","NIT2","NIT2"
"8401","NKAIN1","NKAIN1"
"8402","NKAIN2","NKAIN2"
"8403","NKAIN3","NKAIN3"
"8404","NKAIN4","NKAIN4"
"8405","NKAP","NKAP"
"8406","NKAPD1","NKAPD1"
"8407","NKD1","NKD1"
"8408","NKD2","NKD2"
"8409","NKG7","NKG7"
"8410","NKIRAS1","NKIRAS1"
"8411","NKIRAS2","NKIRAS2"
"8412","NKPD1","NKPD1"
"8413","NKRF","NKRF"
"8414","NKTR","NKTR"
"8415","NKX1-1","NKX1-1"
"8416","NKX1-2","NKX1-2"
"8417","NKX2-1","NKX2-1"
"8418","NKX2-2","NKX2-2"
"8419","NKX2-3","NKX2-3"
"8420","NKX2-4","NKX2-4"
"8421","NKX2-5","NKX2-5"
"8422","NKX2-6","NKX2-6"
"8423","NKX2-8","NKX2-8"
"8424","NKX3-1","NKX3-1"
"8425","NKX3-2","NKX3-2"
"8426","NKX6-1","NKX6-1"
"8427","NKX6-2","NKX6-2"
"8428","NKX6-3","NKX6-3"
"8429","NLGN1","NLGN1"
"8430","NLGN2","NLGN2"
"8431","NLGN3","NLGN3"
"8432","NLK","NLK"
"8433","NLN","NLN"
"8434","NLRC3","NLRC3"
"8435","NLRC5","NLRC5"
"8436","NLRP1","NLRP1"
"8437","NLRP10","NLRP10"
"8438","NLRP12","NLRP12"
"8439","NLRP14","NLRP14"
"8440","NLRP3","NLRP3"
"8441","NLRP5","NLRP5"
"8442","NLRP6","NLRP6"
"8443","NLRP8","NLRP8"
"8444","NLRP9","NLRP9"
"8445","NLRX1","NLRX1"
"8446","NMB","NMB"
"8447","NMBR","NMBR"
"8448","NMD3","NMD3"
"8449","NME1","NME1"
"8450","NME5","NME5"
"8451","NME6","NME6"
"8452","NME7","NME7"
"8453","NME9","NME9"
"8454","NMI","NMI"
"8455","NMNAT1","NMNAT1"
"8456","NMNAT2","NMNAT2"
"8457","NMNAT3","NMNAT3"
"8458","NMRAL1","NMRAL1"
"8459","NMRK1","NMRK1"
"8460","NMS","NMS"
"8461","NMT1","NMT1"
"8462","NMT2","NMT2"
"8463","NMUR1","NMUR1"
"8464","NMUR2","NMUR2"
"8465","NNAT","NNAT"
"8466","NNMT","NNMT"
"8467","NNT","NNT"
"8468","NOA1","NOA1"
"8469","NOB1","NOB1"
"8470","NOBOX","NOBOX"
"8471","NOC3L","NOC3L"
"8472","NOC4L","NOC4L"
"8473","NOCT","NOCT"
"8474","NOD1","NOD1"
"8475","NOD2","NOD2"
"8476","NODAL","NODAL"
"8477","NOG","NOG"
"8478","NOL10","NOL10"
"8479","NOL11","NOL11"
"8480","NOL12","NOL12"
"8481","NOL4","NOL4"
"8482","NOL4L","NOL4L"
"8483","NOL6","NOL6"
"8484","NOL8","NOL8"
"8485","NOL9","NOL9"
"8486","NOLC1","NOLC1"
"8487","NOM1","NOM1"
"8488","NONO","NONO"
"8489","NOP14","NOP14"
"8490","NOP16","NOP16"
"8491","NOP2","NOP2"
"8492","NOP53","NOP53"
"8493","NOP56","NOP56"
"8494","NOP58","NOP58"
"8495","NOP9","NOP9"
"8496","NOPCHAP1","NOPCHAP1"
"8497","NOS1","NOS1"
"8498","NOS2","NOS2"
"8499","NOSIP","NOSIP"
"8500","NOSTRIN","NOSTRIN"
"8501","NOTCH1","NOTCH1"
"8502","NOTCH2","NOTCH2"
"8503","NOTCH3","NOTCH3"
"8504","NOTO","NOTO"
"8505","NOTUM","NOTUM"
"8506","NOVA1","NOVA1"
"8507","NOVA2","NOVA2"
"8508","NOX1","NOX1"
"8509","NOX3","NOX3"
"8510","NOX4","NOX4"
"8511","NOX5","NOX5"
"8512","NOXA1","NOXA1"
"8513","NOXO1","NOXO1"
"8514","NOXRED1","NOXRED1"
"8515","NPAS2","NPAS2"
"8516","NPAS3","NPAS3"
"8517","NPAS4","NPAS4"
"8518","NPAT","NPAT"
"8519","NPB","NPB"
"8520","NPBWR1","NPBWR1"
"8521","ANKRD29","NPC1"
"8522","NPC1L1","NPC1L1"
"8523","NPC2","NPC2"
"8524","NPDC1","NPDC1"
"8525","NPEPL1","NPEPL1"
"8526","NPEPPS","NPEPPS"
"8527","NPFFR1","NPFFR1"
"8528","NPFFR2","NPFFR2"
"8529","NPHP1","NPHP1"
"8530","NPHP3","NPHP3"
"8531","NPHP4","NPHP4"
"8532","NPHS1","NPHS1"
"8533","NPHS2","NPHS2"
"8534","NPL","NPL"
"8535","NPLOC4","NPLOC4"
"8536","NPM1","NPM1"
"8537","NPM2","NPM2"
"8538","NPNT","NPNT"
"8539","NPPA","NPPA"
"8540","NPPC","NPPC"
"8541","NPR1","NPR1"
"8542","NPR2","NPR2"
"8543","NPR3","NPR3"
"8544","NPRL2","NPRL2"
"8545","NPRL3","NPRL3"
"8546","NPS","NPS"
"8547","NPSR1","NPSR1"
"8548","NPTN","NPTN"
"8549","NPTX1","NPTX1"
"8550","NPTX2","NPTX2"
"8551","NPTXR","NPTXR"
"8552","NPVF","NPVF"
"8553","NPY","NPY"
"8554","NPY1R","NPY1R"
"8555","NPY2R","NPY2R"
"8556","NPY4R","NPY4R"
"8557","NPY5R","NPY5R"
"8558","NQO1","NQO1"
"8559","NQO2","NQO2"
"8560","NR0B2","NR0B2"
"8561","NR1D1","NR1D1"
"8562","NR1D2","NR1D2"
"8563","NR1H2","NR1H2"
"8564","NR1H3","NR1H3"
"8565","NR1H4","NR1H4"
"8566","NR1I2","NR1I2"
"8567","NR1I3","NR1I3"
"8568","NR2C1","NR2C1"
"8569","NR2C2","NR2C2"
"8570","NR2C2AP","NR2C2AP"
"8571","NR2E1","NR2E1"
"8572","NR2E3","NR2E3"
"8573","NR2F1","NR2F1"
"8574","NR2F2","NR2F2"
"8575","NR2F6","NR2F6"
"8576","NR3C1","NR3C1"
"8577","NR3C2","NR3C2"
"8578","NR4A1","NR4A1"
"8579","NR4A2","NR4A2"
"8580","NR4A3","NR4A3"
