"","human_gene","fruit_fly_gene"
"1803","CNPPD1","CG40191"
"1804","FAR1","CG4020"
"1805","KHDRBS2","CG4021"
"1806","PIH1D2","CG4022"
"1807","ELOF1","CG40228"
"1808","DRAM1","CG4025"
"1809","ALKBH4","CG4036"
"1810","GAR1","CG4038"
"1811","TBCK","CG4041"
"1812","DMAC2","CG4042"
"1813","METTL1","CG4045"
"1814","DHRS11","CG40485"
"1815","DHRS11","CG40486"
"1816","RAD54L2","CG4049"
"1817","TMPRSS4","CG4053"
"1818","KLHDC4","CG4069"
"1819","VPS26C","CG4074"
"1820","MARCHF8","CG4080"
"1821","ABT1","CG40813"
"1822","MANBAL","CG4101"
"1823","ANKFY1","CG41099"
"1824","RBM25","CG4119"
"1825","IFI30","CG41378"
"1826","ABT1","CG41562"
"1827","ARMT1","CG4161"
"1828","P4HA3","CG4174"
"1829","SAT2","CG4210"
"1830","DCAF5","CG42233"
"1831","PROCA1","CG42237"
"1832","KIAA1143","CG42245"
"1833","NT5E","CG42249"
"1834","CPA2","CG42264"
"1835","SLC22A3","CG42269"
"1836","INPP4B","CG42271"
"1837","PRPF39","CG42272"
"1838","HAX1","CG4230"
"1839","TIMM13","CG42302"
"1840","SNUPN","CG42304"
"1841","SLC35F4","CG42322"
"1842","SBSPON","CG42339"
"1843","KCNK2","CG42340"
"1844","VMA21","CG42359"
"1845","ZC3H12A","CG42360"
"1846","MAK","CG42366"
"1847","INIP","CG42374"
"1848","CMC2","CG42375"
"1849","COA6","CG42376"
"1850","AREL1","CG4238"
"1851","CMC4","CG42381"
"1852","NSFL1C","CG42383"
"1853","TMEM38B","CG4239"
"1854","ANKRD18A","CG42391"
"1855","TMEM256","CG42395"
"1856","TMEM141","CG42488"
"1857","TMEM42","CG42495"
"1858","COX19","CG42496"
"1859","LITAF","CG4250"
"1860","SLC46A2","CG42514"
"1861","GTF3C6","CG42516"
"1862","NCBP2AS2","CG42518"
"1863","STOM","CG42540"
"1864","TMEM165","CG42542"
"1865","C7orf25","CG42553"
"1866","NRBF2","CG42554"
"1867","CRISP2","CG42564"
"1868","KCMF1","CG42585"
"1869","TPSB2","CG4259"
"1870","KCNK17","CG42594"
"1871","MCOLN3","CG42638"
"1872","SCAF8","CG4266"
"1873","NCKAP5L","CG42663"
"1874","PNLIPRP3","CG4267"
"1875","LDLRAP1","CG42673"
"1876","ZC2HC1B","CG42675"
"1877","GLIPR1L1","CG4270"
"1878","VASN","CG42709"
"1879","KLF14","CG42741"
"1880","NIF3L1","CG4278"
"1881","GLIPR1L1","CG42780"
"1882","FRMPD4","CG42788"
"1883","NUDT14","CG42813"
"1884","NUDT14","CG42814"
"1885","ZFP64","CG4282"
"1886","SLC2A4","CG42825"
"1887","SLC2A1","CG42826"
"1888","WBP4","CG4291"
"1889","ERGIC2","CG4293"
"1890","ATP11A","CG4301"
"1891","GGCT","CG4306"
"1892","KCNK18","CG43155"
"1893","TTC28","CG43163"
"1894","ZNF740","CG4318"
"1895","SVOP","CG4324"
"1896","CLPTM1L","CG4332"
"1897","DNAJC28","CG43322"
"1898","TGFBI","CG43333"
"1899","CCDC170","CG43338"
"1900","PLD3","CG43345"
"1901","NDUFAF2","CG43346"
"1902","TMLHE","CG4335"
"1903","ADCY5","CG43373"
"1904","TSR3","CG4338"
"1905","PES1","CG4364"
"1906","ARHGEF10L","CG43658"
"1907","ABCA6","CG43672"
"1908","ZFAND5","CG43675"
"1909","AGA","CG4372"
"1910","CRISP3","CG43775"
"1911","GLIPR1L1","CG43776"
"1912","CRISP3","CG43777"
"1913","TEX2","CG43783"
"1914","CES2","CG4382"
"1915","ESD","CG4390"
"1916","ANKS1A","CG4393"
"1917","OPA3","CG43998"
"1918","OPA3","CG43999"
"1919","ANKRD39","CG44001"
"1920","ZBTB40","CG44002"
"1921","FLAD1","CG4407"
"1922","CPA4","CG4408"
"1923","SLC22A3","CG44098"
"1924","NACA2","CG4415"
"1925","LIPT1","CG44243"
"1926","NPDC1","CG44247"
"1927","RNPC3","CG44249"
"1928","PDAP1","CG4438"
"1929","FAM76A","CG4452"
"1930","SLC22A7","CG4459"
"1931","SLC22A8","CG4462"
"1932","SLC22A3","CG4465"
"1933","KLK2","CG4477"
"1934","SINHCAF","CG44774"
"1935","ZDHHC6","CG4483"
"1936","NSUN7","CG44836"
"1937","DPEP1","CG44837"
"1938","OSTF1","CG44838"
"1939","PABIR1","CG4497"
"1940","UBE2QL1","CG4502"
"1941","TMEM47","CG45049"
"1942","ZFAND5","CG45050"
"1943","ATP1A3","CG45062"
"1944","ATP1A3","CG45063"
"1945","PROM2","CG45067"
"1946","TXNDC9","CG4511"
"1947","CRIPT","CG4537"
"1948","CKMT1B","CG4546"
"1949","UTP20","CG4554"
"1950","ABCC4","CG4562"
"1951","ACSBG1","CG4563"
"1952","SUV39H2","CG4565"
"1953","CPVL","CG4572"
"1954","PNLIP","CG4582"
"1955","ACOX2","CG4586"
"1956","ECI1","CG4592"
"1957","CCDC25","CG4593"
"1958","ECI1","CG4594"
"1959","TMEM169","CG4596"
"1960","ECI1","CG4598"
"1961","SLC2A5","CG4607"
"1962","MTO1","CG4610"
"1963","TPSB2","CG4613"
"1964","SP140L","CG4617"
"1965","ZCCHC8","CG4622"
"1966","TMEM186","CG4627"
"1967","TRABD","CG46280"
"1968","NIM1K","CG4629"
"1969","SLC22A3","CG4630"
"1970","ANPEP","CG46339"
"1971","TENT5C","CG46385"
"1972","YIPF1","CG4645"
"1973","CZIB","CG4646"
"1974","ABT1","CG46504"
"1975","ABT1","CG46505"
"1976","ABT1","CG46506"
"1977","ABT1","CG46507"
"1978","ABT1","CG46508"
"1979","ABT1","CG46509"
"1980","ABT1","CG46510"
"1981","ABT1","CG46511"
"1982","ABT1","CG46512"
"1983","ABT1","CG46513"
"1984","ABT1","CG46514"
"1985","ABT1","CG46515"
"1986","ABT1","CG46516"
"1987","ABT1","CG46517"
"1988","ABT1","CG46518"
"1989","ABT1","CG46519"
"1990","ABT1","CG46520"
"1991","ABT1","CG46521"
"1992","ABT1","CG46522"
"1993","TPSB2","CG4653"
"1994","THEM6","CG4660"
"1995","THEM6","CG4666"
"1996","CPM","CG4678"
"1997","PTCD3","CG4679"
"1998","TEX9","CG4681"
"1999","TMEM256","CG4686"
"2000","MICU1","CG4704"
"2001","ZFP64","CG4707"
"2002","ZGPAT","CG4709"
"2003","SLC25A26","CG4743"
"2004","OPLAH","CG4752"
"2005","CES1","CG4757"
"2006","MAB21L2","CG4766"
"2007","HAPSTR1","CG4768"
"2008","FAR1","CG4770"
"2009","LINGO3","CG4781"
"2010","TPSB2","CG4793"
"2011","RBM28","CG4806"
"2012","ABCG4","CG4822"
"2013","GGT5","CG4829"
"2014","ACSL4","CG4830"
"2015","PTGR3","CG4836"
"2016","HPGD","CG4842"
"2017","EFTUD2","CG4849"
"2018","RASGEF1B","CG4853"
"2019","NUBP2","CG4858"
"2020","IMP3","CG4866"
"2021","CRYM","CG4872"
"2022","MRPS27","CG4882"
"2023","MTRES1","CG4884"
"2024","RBM5","CG4887"
"2025","RBM5","CG4896"
"2026","PIGN","CG4907"
"2027","FBXO33","CG4911"
"2028","UNC93A","CG4928"
"2029","WDR83","CG4935"
"2030","COX18","CG4942"
"2031","SBK1","CG4945"
"2032","TRAPPC13","CG4953"
"2033","TACO1","CG4957"
"2034","REEP5","CG4960"
"2035","OTUB1","CG4968"
"2036","NCLN","CG4972"
"2037","GALM","CG4988"
"2038","SLC36A1","CG4991"
"2039","SLC25A29","CG4995"
"2040","DNAJB1","CG5001"
"2041","SLC26A11","CG5002"
"2042","FBXL2","CG5003"
"2043","METTL23","CG5013"
"2044","TVP23B","CG5021"
"2045","FRMD3","CG5022"
"2046","CALML5","CG5024"
"2047","MTMR9","CG5026"
"2048","BOP1","CG5033"
"2049","TTC13","CG5038"
"2050","DNAAF6","CG5048"
"2051","OSER1","CG5056"
"2052","FAR1","CG5065"
"2053","PPME1","CG5068"
"2054","MFSD14A","CG5078"
"2055","UBE3B","CG5087"
"2056","RAI1","CG5098"
"2057","TKTL1","CG5103"
"2058","SFT2D2","CG5104"
"2059","NUB1","CG5111"
"2060","AAMP","CG5114"
"2061","GTPBP6","CG5116"
"2062","CRAT","CG5122"
"2063","ATP23","CG5131"
"2064","MEAK7","CG5149"
"2065","PMEPA1","CG5151"
"2066","PNLIPRP2","CG5162"
"2067","TPD52","CG5174"
"2068","NABP1","CG5181"
"2069","METAP1D","CG5188"
"2070","ZDHHC6","CG5196"
"2071","DLST","CG5214"
"2072","MOXD1","CG5235"
"2073","ATP1B3","CG5250"
"2074","SLC25A21","CG5254"
"2075","TMEM104","CG5262"
"2076","CRAT","CG5265"
"2077","INTS15","CG5274"
"2078","CANT1","CG5276"
"2079","C22orf23","CG5280"
"2080","SLC35G1","CG5281"
"2081","TTC27","CG5290"
"2082","ADAT2","CG5292"
"2083","APTX","CG5316"
"2084","BBOX1","CG5321"
"2085","FAM136A","CG5323"
"2086","FAM136A","CG5327"
"2087","METTL9","CG5339"
"2088","PIGN","CG5342"
"2089","SLC8B1","CG5348"
"2090","PREP","CG5355"
"2091","CTSL","CG5367"
"2092","BPHL","CG5377"
"2093","ZFPL1","CG5382"
"2094","TPSB2","CG5390"
"2095","SLC26A11","CG5404"
"2096","OVCA2","CG5412"
"2097","HSBP1","CG5446"
"2098","GOLGA7","CG5447"
"2099","SERAC1","CG5455"
"2100","CDO1","CG5493"
"2101","OXLD1","CG5500"
"2102","DNAJA3","CG5504"
"2103","LMAN2","CG5510"
"2104","RWDD1","CG5515"
"2105","ZCCHC10","CG5516"
"2106","RALGAPA1","CG5521"
"2107","TMEM14C","CG5532"
"2108","SLC7A3","CG5535"
"2109","REEP4","CG5539"
"2110","WDR70","CG5543"
"2111","PDIA2","CG5554"
"2112","BRAP","CG5555"
"2113","PUDP","CG5556"
"2114","PUDP","CG5561"
"2115","PUDP","CG5565"
"2116","PGP","CG5567"
"2117","ACSBG2","CG5568"
"2118","NDUFAF3","CG5569"
"2119","PGP","CG5577"
"2120","SLC22A3","CG5592"
"2121","VAC14","CG5608"
"2122","WFDC5","CG5639"
"2123","ILF2","CG5641"
"2124","KRI1","CG5645"
"2125","PAOX","CG5653"
"2126","MTX2","CG5662"
"2127","PNLIPRP2","CG5665"
"2128","SERHL2","CG5704"
"2129","SERHL2","CG5707"
"2130","ARMC6","CG5721"
"2131","PDCD11","CG5728"
"2132","NAGA","CG5731"
"2133","ANKRD13C","CG5742"
"2134","DTYMK","CG5757"
"2135","TGFBI","CG5758"
"2136","AFG2A","CG5776"
"2137","CDC7","CG5790"
"2138","DDX10","CG5800"
"2139","SLC25A44","CG5805"
"2140","PPIL4","CG5808"
"2141","LINGO3","CG5819"
"2142","UBE2J2","CG5823"
"2143","PANK4","CG5828"
"2144","ANPEP","CG5849"
"2145","TMEM184C","CG5850"
"2146","CTSE","CG5860"
"2147","TMEM147","CG5861"
"2148","DDRGK1","CG5862"
"2149","CTSE","CG5863"
"2150","NRDE2","CG5877"
"2151","ZDHHC16","CG5880"
"2152","CFAP58","CG5882"
"2153","SSR3","CG5885"
"2154","TXLNG","CG5886"
"2155","KCNIP1","CG5890"
"2156","AMMECR1L","CG5902"
"2157","MPV17L2","CG5906"
"2158","FAM98A","CG5913"
"2159","SCOC","CG5934"
"2160","CHIC2","CG5938"
"2161","CYB5R3","CG5946"
"2162","FBXO9","CG5961"
"2163","VMA21","CG5969"
"2164","FLNB","CG5984"
"2165","SDE2","CG5986"
"2166","LETMD1","CG5989"
"2167","WDR91","CG6005"
"2168","HSDL1","CG6012"
"2169","CCDC124","CG6013"
"2170","CDC40","CG6015"
"2171","CNGA3","CG6026"
"2172","SMOX","CG6034"
"2173","ZFYVE28","CG6051"
"2174","ABCA3","CG6052"
"2175","CFAP58","CG6059"
"2176","NKAPL","CG6066"
"2177","ANPEP","CG6071"
"2178","HGH1","CG6073"
"2179","AKR1B10","CG6083"
"2180","MRPL58","CG6094"
"2181","ETFRF1","CG6115"
"2182","SLC26A11","CG6125"
"2183","CUTC","CG6136"
"2184","ALKBH6","CG6144"
"2185","AIG1","CG6149"
"2186","PITHD1","CG6153"
"2187","DPEP1","CG6154"
"2188","APLF","CG6171"
"2189","NOSIP","CG6179"
"2190","FAM234A","CG6184"
"2191","CABLES2","CG6191"
"2192","DRG2","CG6195"
"2193","ZNFX1","CG6204"
"2194","ATP13A1","CG6230"
"2195","SLC22A3","CG6231"
"2196","ZFP64","CG6254"
"2197","TREH","CG6262"
"2198","PNLIP","CG6271"
"2199","PNLIP","CG6277"
"2200","PNLIP","CG6283"
"2201","PHGDH","CG6287"
"2202","SLC23A1","CG6293"
"2203","PNLIP","CG6295"
"2204","PNLIP","CG6296"
"2205","GLTP","CG6299"
"2206","GPT2","CG6321"
"2207","DCAF15","CG6325"
"2208","UPP1","CG6330"
"2209","CTSV","CG6347"
"2210","SLC22A4","CG6356"
"2211","PPP1R2C","CG6380"
"2212","AMT","CG6415"
"2213","DDX42","CG6418"
"2214","WDR20","CG6420"
"2215","FAM13C","CG6424"
"2216","ASPG","CG6428"
"2217","ACSS3","CG6432"
"2218","RTF2","CG6443"
"2219","TPSB2","CG6462"
"2220","ACY1","CG6465"
"2221","PNLIPRP1","CG6472"
"2222","TMEM209","CG6479"
"2223","SLC2A8","CG6484"
"2224","PGA3","CG6508"
"2225","EDRF1","CG6511"
"2226","GLRX3","CG6523"
"2227","CDKAL1","CG6550"
"2228","STARD7","CG6565"
"2229","LYPLAL1","CG6567"
"2230","SLC19A2","CG6574"
"2231","PPP1R21","CG6607"
"2232","LSM5","CG6610"
"2233","TTC14","CG6621"
"2234","GLIPR1L1","CG6628"
"2235","IVD","CG6638"
"2236","LCA5L","CG6652"
"2237","GTF3A","CG6654"
"2238","DPY19L3","CG6659"
"2239","ALDH4A1","CG6661"
"2240","CCDC6","CG6664"
"2241","C1orf43","CG6665"
"2242","TSSC4","CG6674"
"2243","PNLIP","CG6675"
"2244","RCCD1","CG6678"
"2245","SART1","CG6686"
"2246","DNAJC9","CG6693"
"2247","CLASRP","CG6695"
"2248","MOV10L1","CG6701"
"2249","PIP4P1","CG6707"
"2250","RPF1","CG6712"
"2251","WDR12","CG6724"
"2252","ACY1","CG6726"
"2253","SMG8","CG6729"
"2254","ACY1","CG6733"
"2255","ACY1","CG6738"
"2256","LIPF","CG6753"
"2257","SANBR","CG6761"
"2258","ERLEC1","CG6766"
"2259","ZNF622","CG6769"
"2260","NUPR1","CG6770"
"2261","PIGN","CG6790"
"2262","ZNF497","CG6791"
"2263","CDK20","CG6800"
"2264","INPP5K","CG6805"
"2265","REXO4","CG6833"
"2266","EXOG","CG6839"
"2267","CIR1","CG6843"
"2268","DCST2","CG6845"
"2269","LIPI","CG6847"
"2270","CYB5A","CG6870"
"2271","CFL2","CG6873"
"2272","COTL1","CG6891"
"2273","SLC25A10","CG6893"
"2274","SLC2A6","CG6901"
"2275","HGSNAT","CG6903"
"2276","ELP4","CG6907"
"2277","MIOX","CG6910"
"2278","ARK2C","CG6923"
"2279","SLC26A11","CG6928"
"2280","TPGS2","CG6931"
"2281","DCTD","CG6951"
"2282","POLDIP3","CG6961"
"2283","SMPD4","CG6962"
"2284","DESI1","CG6972"
"2285","SLC17A5","CG6978"
"2286","ADISSP","CG6983"
"2287","ECHDC3","CG6984"
"2288","ABT1","CG6999"
"2289","NIP7","CG7006"
"2290","ERGIC3","CG7011"
"2291","PDHA1","CG7024"
"2292","CPA1","CG7025"
"2293","BRAT1","CG7044"
"2294","SUMF1","CG7049"
"2295","PEBP1","CG7054"
"2296","BPGM","CG7059"
"2297","TMEM199","CG7071"
"2298","PHAF1","CG7083"
"2299","CSNK1A1","CG7094"
"2300","GTF3C1","CG7099"
"2301","ZNF497","CG7101"
"2302","PPM1L","CG7115"
"2303","DNAJB4","CG7130"
"2304","SAXO2","CG7131"
"2305","RRP8","CG7137"
"2306","H6PD","CG7140"
"2307","SELENOI","CG7149"
"2308","RPS6KL1","CG7156"
"2309","COMMD2","CG7168"
"2310","HSPA14","CG7182"
"2311","CCDC174","CG7183"
"2312","ITPRIP","CG7194"
"2313","TAPT1","CG7218"
"2314","UBE2W","CG7220"
"2315","DESI2","CG7222"
"2316","SCARB1","CG7227"
"2317","FAM151B","CG7231"
"2318","MSANTD1","CG7239"
"2319","UTP6","CG7246"
"2320","CCDC34","CG7251"
"2321","SLC7A3","CG7255"
"2322","RIBC2","CG7264"
"2323","SLC50A1","CG7272"
"2324","DCAF13","CG7275"
"2325","KIAA2013","CG7289"
"2326","GALNT13","CG7304"
"2327","DCXR","CG7322"
"2328","KHK","CG7328"
"2329","LIPA","CG7329"
"2330","MINDY3","CG7332"
"2331","SLC22A4","CG7333"
"2332","KHK","CG7335"
"2333","SLC22A1","CG7342"
"2334","PLB1","CG7365"
"2335","PNLIPRP3","CG7367"
"2336","RASGEF1B","CG7369"
"2337","ING1","CG7379"
"2338","TIMM21","CG7382"
"2339","DNAJC19","CG7394"
"2340","ARSB","CG7402"
"2341","ARSB","CG7408"
"2342","SERGEF","CG7420"
"2343","DLD","CG7430"
"2344","BARD1","CG7457"
"2345","SLC22A1","CG7458"
"2346","PAOX","CG7460"
"2347","ACADVL","CG7461"
"2348","EIF4A3","CG7483"
"2349","SELENOF","CG7484"
"2350","ERAL1","CG7488"
"2351","PTGER3","CG7497"
"2352","TMEM70","CG7506"
"2353","LRG1","CG7509"
"2354","SLC25A11","CG7514"
"2355","FAM193B","CG7518"
"2356","PBDC1","CG7519"
"2357","TMEM192","CG7523"
"2358","PAQR3","CG7530"
"2359","METTL16","CG7544"
"2360","BAG6","CG7546"
"2361","ADO","CG7550"
"2362","KHK","CG7551"
"2363","DNAJC1","CG7556"
"2364","MTHFR","CG7560"
"2365","LUC7L","CG7564"
"2366","KIAA0319","CG7565"
"2367","ZMPSTE24","CG7573"
"2368","GALNTL5","CG7579"
"2369","TMEM86A","CG7582"
"2370","FAM91A1","CG7600"
"2371","DHRS7B","CG7601"
"2372","WDR26","CG7611"
"2373","ABCC4","CG7627"
"2374","SERHL2","CG7632"
"2375","NOP10","CG7637"
"2376","SAMM50","CG7639"
"2377","HPCAL1","CG7646"
"2378","PDCL","CG7650"
"2379","ANPEP","CG7653"
"2380","NRM","CG7655"
"2381","PRKCSH","CG7685"
"2382","RNF181","CG7694"
"2383","TPBG","CG7702"
"2384","TGDS","CG7724"
"2385","BMS1","CG7728"
"2386","PAOX","CG7737"
"2387","ITFG1","CG7739"
"2388","CWF19L1","CG7741"
"2389","TBC1D19","CG7742"
"2390","PPIL2","CG7747"
"2391","PHKA2","CG7766"
"2392","PPIF","CG7768"
"2393","MTFP1","CG7772"
"2394","SPRYD7","CG7785"
"2395","HLF","CG7786"
"2396","BPNT1","CG7789"
"2397","MIPEP","CG7791"
"2398","LYZ","CG7798"
"2399","CCDC97","CG7810"
"2400","PRSS53","CG7829"
"2401","CEBPZ","CG7839"
"2402","SRD5A3","CG7840"
"2403","ME2","CG7848"
"2404","TRUB2","CG7849"
"2405","OTUD6B","CG7857"
"2406","ASRGL1","CG7860"
"2407","DNAJC25","CG7872"
"2408","SLC17A2","CG7881"
"2409","SLC2A1","CG7882"
"2410","CEP78","CG7886"
"2411","SLC36A2","CG7888"
"2412","EEF2KMT","CG7889"
"2413","FAAH","CG7900"
"2414","FAAH","CG7910"
"2415","SLC26A11","CG7912"
"2416","CYB5RL","CG7914"
"2417","BAG2","CG7945"
"2418","CHCHD4","CG7950"
"2419","SELENBP1","CG7966"
"2420","PXMP2","CG7970"
"2421","C9orf78","CG7974"
"2422","HEXD","CG7985"
"2423","SRRD","CG7988"
"2424","PGAP2","CG7990"
"2425","NAGA","CG7997"
"2426","DCAF8","CG8001"
"2427","ANKMY2","CG8003"
"2428","MTX2","CG8004"
"2429","SLC46A2","CG8008"
"2430","SLC25A32","CG8026"
"2431","MEMO1","CG8031"
"2432","PAOX","CG8032"
"2433","TKTL1","CG8036"
"2434","IBA57","CG8043"
"2435","SLC46A2","CG8046"
"2436","SLC16A8","CG8051"
"2437","IBTK","CG8060"
"2438","WDR3","CG8064"
"2439","NDUFAF5","CG8067"
"2440","GLIPR1L1","CG8072"
"2441","CTU1","CG8078"
"2442","AGGF1","CG8079"
"2443","NADK2","CG8080"
"2444","ZNF497","CG8089"
"2445","LIPA","CG8093"
"2446","DALRD3","CG8097"
"2447","TMEM43","CG8111"
"2448","SOAT1","CG8112"
"2449","NUDT6","CG8128"
"2450","NIT2","CG8132"
"2451","F8A3","CG8134"
"2452","LMBRD2","CG8135"
"2453","CFAP299","CG8138"
"2454","RFC4","CG8142"
"2455","GPANK1","CG8152"
"2456","TBC1D25","CG8155"
"2457","ZNF341","CG8159"
"2458","TPSB2","CG8172"
"2459","PBK","CG8173"
"2460","FCHO1","CG8176"
"2461","FAM185A","CG8187"
"2462","UBE2S","CG8188"
"2463","SLC35F5","CG8195"
"2464","BCKDHA","CG8199"
"2465","VPS35L","CG8202"
"2466","ZNHIT3","CG8204"
"2467","DNLZ","CG8206"
"2468","GMPPA","CG8207"
"2469","UBXN1","CG8209"
"2470","TNPO1","CG8219"
"2471","NASP","CG8223"
"2472","DYM","CG8230"
"2473","FAM8A1","CG8237"
"2474","SMAP2","CG8243"
"2475","TMEM53","CG8245"
"2476","SLC2A1","CG8249"
"2477","FBXL2","CG8272"
"2478","PRSS53","CG8299"
"2479","FAM177B","CG8300"
"2480","FAR2","CG8303"
"2481","FAR1","CG8306"
"2482","LDLRAP1","CG8312"
"2483","ZDHHC3","CG8314"
"2484","TMEM208","CG8320"
"2485","SLC25A34","CG8323"
"2486","CCDC137","CG8326"
"2487","TMEM222","CG8372"
"2488","ARMH3","CG8379"
"2489","ZFP64","CG8388"
"2490","FRRS1","CG8399"
"2491","TMEM259","CG8405"
"2492","DNAL4","CG8407"
"2493","NOL9","CG8414"
"2494","YJU2","CG8435"
"2495","PRKRIP1","CG8441"
"2496","CHID1","CG8460"
"2497","RRP36","CG8461"
"2498","SLC16A8","CG8468"
"2499","PHKB","CG8475"
"2500","GLIPR1L1","CG8483"
"2501","LALBA","CG8492"
"2502","DIRAS2","CG8500"
"2503","LRPAP1","CG8507"
"2504","PTPA","CG8509"
"2505","TXN2","CG8517"
"2506","AFG1L","CG8520"
"2507","ASPG","CG8526"
"2508","DNAJC11","CG8531"
"2509","CPA2","CG8539"
"2510","NOP2","CG8545"
"2511","CPA2","CG8560"
"2512","CPB1","CG8562"
"2513","CPA1","CG8563"
"2514","SRPK3","CG8565"
"2515","ZMYND11","CG8569"
"2516","LRRFIP1","CG8578"
"2517","TPSB2","CG8586"
"2518","DDX31","CG8611"
"2519","SPATA20","CG8613"
"2520","SCD5","CG8630"
"2521","ZC3H15","CG8635"
"2522","ALDH1L1","CG8665"
"2523","B3GALT4","CG8668"
"2524","EEIG2","CG8671"
"2525","B3GALT4","CG8673"
"2526","C9orf85","CG8675"
"2527","ANKRD30BL","CG8679"
"2528","PXK","CG8726"
"2529","PMPCA","CG8728"
"2530","TPSB2","CG8738"
"2531","DHRS11","CG8757"
"2532","SDR39U1","CG8768"
"2533","ENPEP","CG8773"
"2534","ENPEP","CG8774"
"2535","SKIC3","CG8777"
"2536","ECHDC2","CG8778"
"2537","DNAL1","CG8800"
"2538","ACBD4","CG8814"
"2539","GPATCH1","CG8833"
"2540","ACSBG2","CG8834"
"2541","SLC2A1","CG8837"
"2542","FAAH2","CG8839"
"2543","HID1","CG8841"
"2544","ECPAS","CG8858"
"2545","SEC61G","CG8860"
"2546","ITPA","CG8891"
"2547","EPS8L2","CG8907"
"2548","ABCA3","CG8908"
"2549","YTHDC2","CG8915"
"2550","FTSJ3","CG8939"
"2551","ZNF497","CG8944"
"2552","GTF3C3","CG8950"
"2553","CNBD2","CG8958"
"2554","PAIP1","CG8963"
"2555","TXN2","CG8993"
"2556","FBXL20","CG9003"
"2557","NOM1","CG9004"
"2558","RNF151","CG9014"
"2559","RPRD1B","CG9018"
"2560","STK11IP","CG9044"
"2561","WDR48","CG9062"
"2562","TRAPPC2L","CG9067"
"2563","BCAR3","CG9098"
"2564","RRP7A","CG9107"
"2565","B3GLCT","CG9109"
"2566","MBLAC1","CG9117"
"2567","C11orf54","CG9119"
"2568","ASB18","CG9121"
"2569","NECAP2","CG9132"
"2570","RCC2","CG9135"
"2571","DDX24","CG9143"
"2572","DHRS11","CG9150"
"2573","EEF1AKMT1","CG9154"
"2574","WSCD2","CG9164"
"2575","MALSU1","CG9166"
"2576","B4GAT1","CG9171"
"2577","PREB","CG9175"
"2578","OSBPL9","CG9205"
"2579","CWF19L2","CG9213"
"2580","TSSK4","CG9222"
"2581","FAM162A","CG9231"
"2582","IMMP1L","CG9240"
"2583","NOC2L","CG9246"
"2584","SLC17A5","CG9254"
"2585","MLEC","CG9257"
"2586","ABCC4","CG9270"
"2587","NTHL1","CG9272"
"2588","DCTN1","CG9279"
"2589","ABCF2","CG9281"
"2590","BCCIP","CG9286"
"2591","CES1","CG9287"
"2592","ABITRAM","CG9288"
"2593","CES2","CG9289"
"2594","TPSB2","CG9294"
"2595","SRL","CG9297"
"2596","NOL11","CG9300"
"2597","PDIA5","CG9302"
"2598","GPR180","CG9304"
"2599","DNAI1","CG9313"
"2600","CAT","CG9314"
"2601","FBXL19","CG9316"
"2602","FAM107A","CG9328"
"2603","ABCF3","CG9330"
"2604","GRHPR","CG9331"
"2605","LSM6","CG9344"
"2606","U2SURP","CG9346"
"2607","BLZF1","CG9356"
"2608","DHRS11","CG9360"
"2609","TPSB2","CG9372"
"2610","TRMT44","CG9386"
"2611","MTX3","CG9393"
"2612","GPCPD1","CG9394"
"2613","MPC2","CG9396"
"2614","MPC2","CG9399"
"2615","GLIPR1L1","CG9400"
"2616","EFCAB2","CG9406"
"2617","COQ10B","CG9410"
"2618","ERMP1","CG9416"
"2619","AKR1B15","CG9436"
"2620","SLC15A3","CG9444"
"2621","ACP3","CG9449"
"2622","ACP3","CG9451"
"2623","ACP3","CG9452"
"2624","SHKBP1","CG9467"
"2625","BLVRB","CG9471"
"2626","AGL","CG9485"
"2627","TMEM115","CG9536"
"2628","AK4","CG9541"
"2629","GCDH","CG9547"
"2630","CHST1","CG9550"
"2631","TIPRL","CG9578"
"2632","SLC25A21","CG9582"
"2633","CCDC43","CG9586"
"2634","PSMD9","CG9588"
"2635","FAM114A2","CG9590"
"2636","TRMT6","CG9596"
"2637","KRBOX1","CG9609"
"2638","DDX55","CG9630"
"2639","CUEDC2","CG9636"
"2640","EEF1AKMT2","CG9643"
"2641","KIAA0930","CG9646"
"2642","ZNF219","CG9650"
"2643","OSTC","CG9662"
"2644","ABCG4","CG9663"
"2645","ISY1","CG9667"
"2646","PROC","CG9672"
"2647","TMPRSS4","CG9673"
"2648","TPSB2","CG9676"
"2649","P4HA3","CG9698"
"2650","GBA3","CG9701"
"2651","SLC26A11","CG9702"
"2652","CARHSP1","CG9705"
"2653","SLC33A1","CG9706"
"2654","SLC26A11","CG9717"
"2655","RFX5","CG9727"
"2656","TPSB2","CG9733"
"2657","TPSB2","CG9737"
"2658","QNG1","CG9752"
"2659","ZNF318","CG9776"
"2660","INPP5K","CG9784"
"2661","WDR36","CG9799"
"2662","LIPT2","CG9804"
"2663","ANPEP","CG9806"
"2664","PI15","CG9822"
"2665","SLC17A5","CG9825"
"2666","SLC17A5","CG9826"
"2667","PRADC1","CG9849"
"2668","GET4","CG9853"
"2669","MARCHF5","CG9855"
"2670","PRRX1","CG9876"
"2671","GLYCTK","CG9886"
"2672","ZNF277","CG9890"
"2673","SLC10A3","CG9903"
"2674","IWS1","CG9915"
"2675","HSPE1","CG9920"
"2676","HIGD1C","CG9921"
"2677","HYPK","CG9922"
