"","human_gene","zebarfish_gene"
"10233","OAZ3","oaz1b"
"10234","OAZ2","oaz2a"
"10235","OAZ2","oaz2b"
"10236","OBSCN","obscnb"
"10237","OBSL1","obsl1a"
"10238","OBSL1","obsl1b"
"10239","OC90","oc90"
"10240","OCA2","oca2"
"10241","OCIAD2","ociad2"
"10242","OCLN","oclna"
"10243","OCLN","oclnb"
"10244","OCRL","ocrl"
"10245","OCSTAMP","ocstamp"
"10246","ODC1","odc1"
"10247","ODF2","odf2a"
"10248","ODF2","odf2b"
"10249","CIMAP1B","odf3b"
"10250","CIMAP1D","odf3l2a"
"10251","CIMAP1D","odf3l2b"
"10252","ODR4","odr4"
"10253","OFD1","ofd1"
"10254","OGA","oga"
"10255","OGDH","ogdhb"
"10256","OGDHL","ogdhl"
"10257","OGFOD1","ogfod1"
"10258","OGFOD2","ogfod2"
"10259","OGFR","ogfr"
"10260","OGFRL1","ogfrl1"
"10261","OGFR","ogfrl2"
"10262","OGG1","ogg1"
"10263","OGN","ogna"
"10264","OGN","ognb"
"10265","OGT","ogt.1"
"10266","OIP5","oip5"
"10267","OIT3","oit3"
"10268","OLA1","ola1"
"10269","OLAH","olah"
"10270","OLFM1","olfm1a"
"10271","OLFM1","olfm1b"
"10272","OLFM2","olfm2a"
"10273","OLFM2","olfm2b"
"10274","OLFM3","olfm3b"
"10275","OLFML2A","olfml2a"
"10276","OLFML2B","olfml2ba"
"10277","OLFML2B","olfml2bb"
"10278","OLFML3","olfml3a"
"10279","OLFML3","olfml3b"
"10280","OLIG1","olig1"
"10281","OLIG2","olig2"
"10282","OLIG3","olig3"
"10283","OMA1","oma1"
"10284","OMD","omd"
"10285","OMG","omga"
"10286","OMG","omgb"
"10287","OMP","ompa"
"10288","OMP","ompb"
"10289","ONECUT1","onecut1"
"10290","ONECUT2","onecut2"
"10291","ONECUT3","onecut3a"
"10292","ONECUT3","onecut3b"
"10293","OPA1","opa1"
"10294","OPA3","opa3"
"10295","NTM","opcml"
"10296","OPHN1","ophn1"
"10297","OPLAH","oplah"
"10298","OPN1MW2","opn1lw1"
"10299","OPN1MW2","opn1lw2"
"10300","OPN1SW","opn1sw1"
"10301","OPN3","opn3"
"10302","OPN4","opn4a"
"10303","OPN4","opn4b"
"10304","OPN5","opn5"
"10305","OPRD1","oprd1a"
"10306","OPRD1","oprd1b"
"10307","OPRK1","oprk1"
"10308","OPRL1","oprl1"
"10309","OPRM1","oprm1"
"10310","OPTN","optn"
"10311","VN1R5","ora1"
"10312","ORAI1","orai1a"
"10313","ORAI1","orai1b"
"10314","ORAI2","orai2"
"10315","ORC1","orc1"
"10316","ORC2","orc2"
"10317","ORC3","orc3"
"10318","ORC4","orc4"
"10319","ORC5","orc5"
"10320","ORC6","orc6"
"10321","ORMDL1","ormdl1"
"10322","ORMDL2","ormdl2"
"10323","ORMDL3","ormdl3"
"10324","OS9","os9"
"10325","OSBP","osbp"
"10326","OSBPL10","osbpl10b"
"10327","OSBPL11","osbpl11"
"10328","OSBPL1A","osbpl1a"
"10329","OSBPL2","osbpl2a"
"10330","OSBPL2","osbpl2b"
"10331","OSBPL3","osbpl3a"
"10332","OSBPL3","osbpl3b"
"10333","OSBPL5","osbpl5"
"10334","OSBPL6","osbpl6"
"10335","OSBPL7","osbpl7"
"10336","OSBPL9","osbpl9"
"10337","LSM10","oscp1a"
"10338","OSER1","oser1"
"10339","OSGEP","osgep"
"10340","OSGEPL1","osgepl1"
"10341","OSGIN2","osgin2"
"10342","LIFR","osmr"
"10343","OSR1","osr1"
"10344","OSR2","osr2"
"10345","OST4","ost4"
"10346","OSTC","ostc"
"10347","OSTF1","ostf1"
"10348","OSTM1","ostm1"
"10349","OSTN","ostn"
"10350","OTC","otc"
"10351","OTOF","otofa"
"10352","OTOF","otofb"
"10353","OTOG","otog"
"10354","OTOGL","otogl"
"10355","OTOL1","otol1a"
"10356","OTOL1","otol1b"
"10357","OTOP2","otop2"
"10358","OTOS","otos"
"10359","OTP","otpa"
"10360","OTP","otpb"
"10361","OTUB1","otub1a"
"10362","OTUB1","otub1b"
"10363","OTUD1","otud1"
"10364","OTUD3","otud3"
"10365","OTUD6A","otud4"
"10366","OTUD5","otud5a"
"10367","OTUD5","otud5b"
"10368","OTUD6B","otud6b"
"10369","OTUD7B","otud7b"
"10370","OTULIN","otulina"
"10371","OTULIN","otulinb"
"10372","OTX1","otx1"
"10373","OTX2","otx2b"
"10374","CRX","otx5"
"10375","OVCA2","ovca2"
"10376","OVCH2","ovch2"
"10377","ZNF770","ovol1a"
"10378","ZNF770","ovol1b"
"10379","OXA1L","oxa1l"
"10380","OXCT1","oxct1a"
"10381","OXCT1","oxct1b"
"10382","OXGR1","oxgr1a.1"
"10383","OXGR1","oxgr1a.2"
"10384","OXGR1","oxgr1a.3"
"10385","OXGR1","oxgr1b"
"10386","OXNAD1","oxnad1"
"10387","OXR1","oxr1b"
"10388","OXSM","oxsm"
"10389","AVP","oxt"
"10390","OXTR","oxtr"
"10391","OXTR","oxtrl"
"10392","P2RX1","p2rx1"
"10393","P2RX2","p2rx2"
"10394","P2RX3","p2rx3a"
"10395","P2RX3","p2rx3b"
"10396","P2RX4","p2rx4a"
"10397","P2RX4","p2rx4b"
"10398","P2RX5","p2rx5"
"10399","P2RX7","p2rx7"
"10400","P2RX5","p2rx8"
"10401","P2RY1","p2ry1"
"10402","P2RY10","p2ry10"
"10403","P2RY11","p2ry11"
"10404","P2RY12","p2ry12"
"10405","P2RY13","p2ry13"
"10406","P2RY2","p2ry2.1"
"10407","P2RY2","p2ry2.2"
"10408","P2RY2","p2ry2.3"
"10409","P2RY8","p2ry8"
"10410","P3H1","p3h1"
"10411","P3H2","p3h2"
"10412","P3H3","p3h3"
"10413","P3H4","p3h4"
"10414","P4HA1","p4ha1b"
"10415","P4HA2","p4ha2"
"10416","P4HA3","p4ha3"
"10417","P4HB","p4hb"
"10418","P4HTM","p4htm"
"10419","PA2G4","pa2g4a"
"10420","PABPC1L2A","pabpc1a"
"10421","PABPC1L2A","pabpc1b"
"10422","PABPC1L","pabpc1l"
"10423","PABPC4","pabpc4"
"10424","PABPN1","pabpn1"
"10425","PACC1","pacc1"
"10426","PACRG","pacrg"
"10427","PACS1","pacs1a"
"10428","PACS2","pacs2"
"10429","PACSIN1","pacsin1a"
"10430","PACSIN1","pacsin1b"
"10431","PACSIN2","pacsin2"
"10432","PACSIN3","pacsin3"
"10433","PADI4","padi2"
"10434","PAF1","paf1"
"10435","PAFAH1B1","pafah1b1a"
"10436","PAFAH1B1","pafah1b1b"
"10437","PAFAH1B2","pafah1b2"
"10438","PAFAH1B3","pafah1b3"
"10439","PAG1","pag1"
"10440","PAGR1","pagr1"
"10441","PAH","pah"
"10442","PAICS","paics"
"10443","PAIP1","paip1"
"10444","PAIP2B","paip2b"
"10445","PAK1","pak1"
"10446","PAK1IP1","pak1ip1"
"10447","PAK2","pak2a"
"10448","PAK2","pak2b"
"10449","PAK4","pak4"
"10450","PAK6","pak6a"
"10451","PAK6","pak6b"
"10452","PAK5","pak7"
"10453","PALB2","palb2"
"10454","PALD1","pald1a"
"10455","PALD1","pald1b"
"10456","PALLD","palld"
"10457","PALM","palm1a"
"10458","PALM","palm1b"
"10459","PALM3","palm3"
"10460","PALMD","palmda"
"10461","PALMD","palmdb"
"10462","PAM","pam"
"10463","PAM16","pam16"
"10464","PAMR1","pamr1"
"10465","PAN2","pan2"
"10466","PAN3","pan3"
"10467","CENPM","pane1"
"10468","PANK1","pank1a"
"10469","PANK1","pank1b"
"10470","PANK2","pank2"
"10471","PANK4","pank4"
"10472","PANX1","panx1a"
"10473","PANX1","panx1b"
"10474","PANX2","panx2"
"10475","PANX3","panx3"
"10476","PAPLN","paplna"
"10477","PAPLN","paplnb"
"10478","PAPOLA","papola"
"10479","PAPOLG","papolg"
"10480","PAPPA2","pappa2"
"10481","PAPPA","pappaa"
"10482","PAPPA","pappab"
"10483","PAPSS1","papss1"
"10484","PAPSS2","papss2a"
"10485","PAPSS2","papss2b"
"10486","PAQR3","paqr3a"
"10487","PAQR3","paqr3b"
"10488","PAQR4","paqr4a"
"10489","PAQR4","paqr4b"
"10490","PAQR5","paqr5a"
"10491","PAQR5","paqr5b"
"10492","PAQR6","paqr6"
"10493","PAQR7","paqr7b"
"10494","PAQR8","paqr8"
"10495","PARD3","pard3ab"
"10496","PARD3B","pard3ba"
"10497","PARD3B","pard3bb"
"10498","PARD6A","pard6a"
"10499","PARD6B","pard6b"
"10500","PARD6G","pard6ga"
"10501","PARD6G","pard6gb"
"10502","PARG","parga"
"10503","PARK7","park7"
"10504","PARL","parla"
"10505","PARN","parn"
"10506","PARP1","parp1"
"10507","PARP11","parp11"
"10508","PARP12","parp12a"
"10509","PARP15","parp12b"
"10510","PARP16","parp16"
"10511","PARP2","parp2"
"10512","PARP3","parp3"
"10513","PARP4","parp4"
"10514","PARP6","parp6a"
"10515","PARP6","parp6b"
"10516","PARP8","parp8"
"10517","PARP9","parp9"
"10518","PARPBP","parpbp"
"10519","PARS2","pars2"
"10520","PARVA","parvaa"
"10521","PARVA","parvab"
"10522","PARVB","parvb"
"10523","PARVG","parvg"
"10524","PASK","pask"
"10525","PATJ","patj"
"10526","PATL1","patl1"
"10527","PATL2","patl2"
"10528","PATZ1","patz1"
"10529","PAWR","pawr"
"10530","PAX1","pax1a"
"10531","PAX1","pax1b"
"10532","PAX2","pax2a"
"10533","PAX2","pax2b"
"10534","PAX3","pax3a"
"10535","PAX3","pax3b"
"10536","PAX5","pax5"
"10537","PAX6","pax6a"
"10538","PAX6","pax6b"
"10539","PAX7","pax7a"
"10540","PAX7","pax7b"
"10541","PAX8","pax8"
"10542","PAX9","pax9"
"10543","PAXBP1","paxbp1"
"10544","PAXIP1","paxip1"
"10545","PAXX","paxx"
"10546","PBDC1","pbdc1"
"10547","PBK","pbk"
"10548","PBLD","pbld"
"10549","PBLD","pbld2"
"10550","PBRM1","pbrm1"
"10551","PBX4","pbx2"
"10552","PBX3","pbx3b"
"10553","TGIF2LY","pbx4"
"10554","PCARE","pcare2"
"10555","PCBD1","pcbd1"
"10556","PCBP2","pcbp2"
"10557","PCBP4","pcbp4"
"10558","PCCA","pcca"
"10559","PCCB","pccb"
"10560","PCDH10","pcdh10a"
"10561","PCDH10","pcdh10b"
"10562","PCDH11X","pcdh11"
"10563","PCDH12","pcdh12"
"10564","PCDH15","pcdh15a"
"10565","PCDH15","pcdh15b"
"10566","PCDH17","pcdh17"
"10567","PCDH18","pcdh18a"
"10568","PCDH18","pcdh18b"
"10569","PCDH19","pcdh19"
"10570","PCDH1","pcdh1a"
"10571","PCDH1","pcdh1b"
"10572","PCDH20","pcdh20"
"10573","PCDHAC2","pcdh2ab9"
"10574","PCDHAC2","pcdh2ac"
"10575","PCDH7","pcdh7b"
"10576","PCDH9","pcdh9"
"10577","PCF11","pcf11"
"10578","PCGF1","pcgf1"
"10579","PCGF5","pcgf5b"
"10580","PCGF6","pcgf6"
"10581","PCID2","pcid2"
"10582","PCIF1","pcif1"
"10583","PCK1","pck1"
"10584","PCK2","pck2"
"10585","PCLAF","pclaf"
"10586","PCLO","pcloa"
"10587","PCLO","pclob"
"10588","PCM1","pcm1"
"10589","PCMT1","pcmt"
"10590","PCMTD1","pcmtd1"
"10591","PCMTD2","pcmtd2a"
"10592","PCNA","pcna"
"10593","PCNP","pcnp"
"10594","PCNT","pcnt"
"10595","PCNX1","pcnx1"
"10596","PCNX2","pcnx2"
"10597","PCNX3","pcnx3"
"10598","PCNX4","pcnx4"
"10599","PCOLCE2","pcolce2a"
"10600","PCOLCE2","pcolce2b"
"10601","PCOLCE","pcolcea"
"10602","PCOLCE","pcolceb"
"10603","PCP4","pcp4a"
"10604","PCSK1","pcsk1"
"10605","PCSK2","pcsk2"
"10606","PCSK5","pcsk5a"
"10607","PCSK5","pcsk5b"
"10608","PCSK6","pcsk6"
"10609","PCSK7","pcsk7"
"10610","PCSK9","pcsk9"
"10611","PCTP","pctp"
"10612","PC","pcxa"
"10613","PC","pcxb"
"10614","PCYOX1","pcyox1"
"10615","PCYOX1L","pcyox1l"
"10616","PCYT1A","pcyt1aa"
"10617","PCYT1A","pcyt1ab"
"10618","PCYT1B","pcyt1ba"
"10619","PCYT1B","pcyt1bb"
"10620","PCYT2","pcyt2"
"10621","PDAP1","pdap1b"
"10622","PDC","pdca"
"10623","PDC","pdcb"
"10624","PDCD10","pdcd10a"
"10625","PDCD10","pdcd10b"
"10626","PDCD11","pdcd11"
"10627","PDCD2","pdcd2"
"10628","PDCD2L","pdcd2l"
"10629","PDCD4","pdcd4b"
"10630","PDCD5","pdcd5"
"10631","PDCD6","pdcd6"
"10632","PDCD7","pdcd7"
"10633","PDCL","pdcl"
"10634","PDE10A","pde10a"
"10635","PDE4C","pde11al"
"10636","PDE12","pde12"
"10637","PDE1A","pde1a"
"10638","PDE3A","pde3a"
"10639","PDE3B","pde3b"
"10640","PDE4A","pde4a"
"10641","PDE4B","pde4ba"
"10642","PDE4B","pde4bb"
"10643","PDE4D","pde4d"
"10644","PDE5A","pde5ab"
"10645","PDE6B","pde6a"
"10646","PDE6B","pde6b"
"10647","PDE6C","pde6c"
"10648","PDE6D","pde6d"
"10649","PDE6G","pde6ha"
"10650","PDE7A","pde7a"
"10651","PDE8A","pde8a"
"10652","PDE8B","pde8b"
"10653","PDE9A","pde9a"
"10654","PDE9A","pde9al"
"10655","PDF","pdf"
"10656","PDGFA","pdgfaa"
"10657","PDGFA","pdgfab"
"10658","PDGFB","pdgfba"
"10659","PDGFB","pdgfbb"
"10660","PDGFC","pdgfc"
"10661","PDGFD","pdgfd"
"10662","PDGFRA","pdgfra"
"10663","PDGFRB","pdgfrb"
"10664","PDGFRL","pdgfrl"
"10665","PDHA1","pdha1a"
"10666","PDHA1","pdha1b"
"10667","PDHB","pdhb"
"10668","PDHX","pdhx"
"10669","PDIA2","pdia2"
"10670","PDIA3","pdia3"
"10671","PDIA4","pdia4"
"10672","PDIA5","pdia5"
"10673","PDIA6","pdia6"
"10674","PDILT","pdia8"
"10675","PDIK1L","pdik1l"
"10676","PDK1","pdk1"
"10677","PDK2","pdk2a"
"10678","PDK2","pdk2b"
"10679","PDK3","pdk3a"
"10680","PDK3","pdk3b"
"10681","PDK4","pdk4"
"10682","PDLIM1","pdlim1"
"10683","PDLIM2","pdlim2"
"10684","PDLIM3","pdlim3a"
"10685","PDLIM3","pdlim3b"
"10686","PDLIM4","pdlim4"
"10687","PDLIM5","pdlim5a"
"10688","PDLIM5","pdlim5b"
"10689","PDLIM7","pdlim7"
"10690","PDP1","pdp1"
"10691","PDP2","pdp2"
"10692","PDPK1","pdpk1a"
"10693","PDPK1","pdpk1b"
"10694","PDRG1","pdrg1"
"10695","PDS5A","pds5a"
"10696","PDS5B","pds5b"
"10697","PDSS1","pdss1"
"10698","PDSS2","pdss2"
"10699","PDXDC1","pdxdc1"
"10700","PDXK","pdxka"
"10701","PDXK","pdxkb"
"10702","PDXP","pdxp"
"10703","PDYN","pdyn"
"10704","PDZD11","pdzd11"
"10705","PDZD2","pdzd2"
"10706","NHERF4","pdzd3a"
"10707","NHERF4","pdzd3b"
"10708","PDZD7","pdzd7a"
"10709","PDZD8","pdzd8"
"10710","PDZK1","pdzk1"
"10711","PDZK1IP1","pdzk1ip1"
"10712","PDZRN3","pdzrn3b"
"10713","PDZRN4","pdzrn4"
"10714","PEA15","pea15"
"10715","PEAK1","peak1"
"10716","MEGF11","pear1"
"10717","PECAM1","pecam1"
"10718","PECR","pecr"
"10719","PEF1","pef1"
"10720","PELI1","peli1a"
"10721","PELI1","peli1b"
"10722","PELI2","peli2"
"10723","PELI3","peli3"
"10724","PELO","pelo"
"10725","PEMT","pemt"
"10726","PENK","penka"
"10727","PENK","penkb"
"10728","PEPD","pepd"
"10729","PER1","per1a"
"10730","PER1","per1b"
"10731","PER2","per2"
"10732","PER3","per3"
"10733","PERP","perp"
"10734","PES1","pes"
"10735","PET100","pet100"
"10736","PEX1","pex1"
"10737","PEX10","pex10"
"10738","PEX11A","pex11a"
"10739","PEX11B","pex11b"
"10740","PEX11G","pex11g"
"10741","PEX12","pex12"
"10742","PEX13","pex13"
"10743","PEX14","pex14"
"10744","PEX16","pex16"
"10745","PEX19","pex19"
"10746","PEX2","pex2"
"10747","PEX26","pex26"
"10748","PEX5","pex5"
"10749","PEX5L","pex5la"
"10750","PEX5L","pex5lb"
"10751","PEX6","pex6"
"10752","PEX7","pex7"
"10753","PFAS","pfas"
"10754","PFDN1","pfdn1"
"10755","PFDN2","pfdn2"
"10756","PFDN4","pfdn4"
"10757","PFDN5","pfdn5"
"10758","PFDN6","pfdn6"
"10759","PFKFB1","pfkfb1"
"10760","PFKFB2","pfkfb2a"
"10761","PFKFB2","pfkfb2b"
"10762","PFKFB3","pfkfb3"
"10763","PFKFB4","pfkfb4a"
"10764","PFKFB4","pfkfb4b"
"10765","PFKL","pfkla"
"10766","PFKL","pfklb"
"10767","PFKM","pfkma"
"10768","PFKM","pfkmb"
"10769","PFKP","pfkpa"
"10770","PFKP","pfkpb"
"10771","PFN3","pfn1"
"10772","PFN2","pfn2"
"10773","PFN2","pfn2l"
"10774","PGAM4","pgam1a"
"10775","PGAM4","pgam1b"
"10776","PGAM2","pgam2"
"10777","PGAM5","pgam5"
"10778","C2orf66","pgap1"
"10779","PGAP2","pgap2"
"10780","PGAP3","pgap3"
"10781","PGAP4","pgap4"
"10782","PGAP6","pgap6"
"10783","PGBD5","pgbd5"
"10784","PGD","pgd"
"10785","PGF","pgfb"
"10786","PGGHG","pgghg"
"10787","PGGT1B","pggt1b"
"10788","PGK1","pgk1"
"10789","PGLS","pgls"
"10790","PGLYRP2","pglyrp2"
"10791","PGLYRP1","pglyrp5"
"10792","PGLYRP2","pglyrp6"
"10793","PGM2","pgm2"
"10794","PGM2L1","pgm2l1"
"10795","PGM3","pgm3"
"10796","PGM5","pgm5"
"10797","PGP","pgp"
"10798","PGPEP1","pgpep1"
"10799","PGPEP1L","pgpep1l"
"10800","PGR","pgr"
"10801","PGRMC1","pgrmc1"
"10802","PGRMC2","pgrmc2"
"10803","PGS1","pgs1"
"10804","PHACTR1","phactr1"
"10805","PHACTR2","phactr2"
"10806","PHACTR3","phactr3a"
"10807","PHACTR3","phactr3b"
"10808","PHACTR4","phactr4a"
"10809","PHACTR4","phactr4b"
"10810","PHAX","phax"
"10811","PHB1","phb"
"10812","PHB2","phb2a"
"10813","PHB2","phb2b"
"10814","SCML1","phc1"
"10815","PHC3","phc2a"
"10816","PHC3","phc2b"
"10817","SAMD1","phc3"
"10818","PHEX","phex"
"10819","PHF1","phf1"
"10820","PHF10","phf10"
"10821","PHF12","phf12a"
"10822","PHF13","phf13"
"10823","PHF14","phf14"
"10824","PHF19","phf19"
"10825","PHF2","phf2"
"10826","PHF20","phf20a"
"10827","PHF20","phf20b"
"10828","PHF20L1","phf20l1"
"10829","PHF21A","phf21aa"
"10830","PHF21A","phf21ab"
"10831","PHF23","phf23a"
"10832","PHF23","phf23b"
"10833","PHF24","phf24"
"10834","PHF3","phf3"
"10835","PHF5A","phf5a"
"10836","PHF6","phf6"
"10837","PHF8","phf8"
"10838","PHGDH","phgdh"
"10839","PHIP","phip"
"10840","PHKA1","phka1b"
"10841","PHKA2","phka2"
"10842","PHKB","phkb"
"10843","PHKG1","phkg1a"
"10844","PHKG1","phkg1b"
"10845","PHKG2","phkg2"
"10846","PHLDA1","phlda1"
"10847","PHLDA2","phlda2"
"10848","PHLDA3","phlda3"
"10849","PHLDB1","phldb1b"
"10850","PHLDB2","phldb2a"
"10851","PHLDB2","phldb2b"
"10852","PHLPP1","phlpp1"
"10853","PHOSPHO1","phospho1"
"10854","PHOSPHO2","phospho2"
"10855","PHOX2A","phox2a"
"10856","PHOX2B","phox2bb"
"10857","PHPT1","phpt1"
"10858","PHTF1","phtf1"
"10859","PHTF2","phtf2"
"10860","PHYH","phyh"
"10861","PHYHD1","phyhd1"
"10862","PHYHIP","phyhip"
"10863","PHYHIPL","phyhipla"
"10864","PHYHIPL","phyhiplb"
"10865","PHYKPL","phykpl"
"10866","PI15","pi15a"
"10867","PI15","pi15b"
"10868","PI4K2A","pi4k2a"
"10869","PI4K2B","pi4k2b"
"10870","PI4KA","pi4kaa"
"10871","PI4KA","pi4kab"
"10872","PI4KB","pi4kb"
"10873","PIAS1","pias1a"
"10874","PIAS1","pias1b"
"10875","PIAS2","pias2"
"10876","PIAS4","pias4a"
"10877","PIAS4","pias4b"
"10878","PIBF1","pibf1"
"10879","PICALM","picalma"
"10880","PICALM","picalmb"
"10881","PICK1","pick1"
"10882","PID1","pid1"
"10883","PIEZO1","piezo1"
"10884","PIEZO2","piezo2a.2"
"10885","PIF1","pif1"
"10886","PIGA","piga"
"10887","PIGB","pigb"
"10888","PIGC","pigc"
"10889","PIGF","pigf"
"10890","PIGH","pigh"
"10891","PIGK","pigk"
"10892","PIGL","pigl"
"10893","PIGM","pigm"
"10894","PIGN","pign"
"10895","PIGO","pigo"
"10896","PIGP","pigp"
"10897","PIGQ","pigq"
"10898","FCAMR","pigr"
"10899","FCAMR","pigrl2.3"
"10900","FCAMR","pigrl3.5"
"10901","FCAMR","pigrl4.2"
"10902","PIGS","pigs"
"10903","PIGT","pigt"
"10904","PIGU","pigu"
"10905","PIGV","pigv"
"10906","PIGW","pigw"
"10907","PIGX","pigx"
"10908","PIH1D1","pih1d1"
"10909","PIH1D2","pih1d2"
"10910","DNAAF6","pih1d3"
"10911","PIK3AP1","pik3ap1"
"10912","PIK3C2A","pik3c2a"
"10913","PIK3C2B","pik3c2b"
"10914","PIK3C2G","pik3c2g"
"10915","PIK3C3","pik3c3"
"10916","PIK3CA","pik3ca"
"10917","PIK3CB","pik3cb"
"10918","PIK3CD","pik3cd"
"10919","PIK3CG","pik3cg"
"10920","PIK3IP1","pik3ip1"
"10921","PIK3R1","pik3r1"
"10922","PIK3R2","pik3r2"
"10923","PIK3R3","pik3r3a"
"10924","PIK3R3","pik3r3b"
"10925","PIK3R4","pik3r4"
"10926","PIK3R5","pik3r5"
"10927","PIK3R6","pik3r6b"
"10928","PIKFYVE","pikfyve"
"10929","PIM1","pim1"
"10930","PIM3","pim3"
"10931","PIN1","pin1"
"10932","PIN4","pin4"
"10933","PINK1","pink1"
"10934","PINX1","pinx1"
"10935","PIP4K2A","pip4k2aa"
"10936","PIP4K2A","pip4k2ab"
"10937","PIP4K2C","pip4k2ca"
"10938","PIP4K2C","pip4k2cb"
"10939","PIP4P1","pip4p1a"
"10940","PIP4P1","pip4p1b"
"10941","PIP4P2","pip4p2"
"10942","PIP5K1A","pip5k1ab"
"10943","PIP5K1B","pip5k1ba"
"10944","PIP5K1B","pip5k1bb"
"10945","PIP5K1C","pip5k1ca"
"10946","PIP5K1C","pip5k1cb"
"10947","PIP5KL1","pip5kl1"
"10948","PIPOX","pipox"
"10949","PIR","pir"
"10950","PISD","pisd"
"10951","PITHD1","pithd1"
"10952","PITPNA","pitpnaa"
"10953","PITPNA","pitpnab"
"10954","PITPNB","pitpnb"
"10955","PITPNM3","pitpnm3"
"10956","PITRM1","pitrm1"
"10957","PITX1","pitx2"
"10958","PIWIL1","piwil1"
"10959","PIWIL2","piwil2"
"10960","PJA1","pja2"
"10961","GSDMB","pjvk"
"10962","PKD1","pkd1a"
"10963","PKD1L3","pkd1b"
"10964","PKD1L3","pkd1l2a"
"10965","PKD1L3","pkd1l2b"
"10966","PKD2","pkd2"
"10967","PKD2L1","pkd2l1"
"10968","PKDCC","pkdcca"
"10969","PKHD1L1","pkhd1l1"
"10970","PKIB","pkib"
"10971","PKIG","pkig"
"10972","PKLR","pklr"
"10973","PKM","pkma"
"10974","PKM","pkmb"
"10975","PKMYT1","pkmyt1"
"10976","PKN1","pkn1a"
"10977","PKN1","pkn1b"
"10978","PKN2","pkn2"
"10979","PKN3","pkn3"
"10980","PKNOX1","pknox1.1"
"10981","PKNOX1","pknox1.2"
"10982","PKNOX2","pknox2"
"10983","PKP1","pkp1a"
"10984","PKP1","pkp1b"
"10985","PKP2","pkp2"
"10986","PKP3","pkp3a"
"10987","PKP3","pkp3b"
"10988","PKP4","pkp4"
"10989","POPDC2","pla1a"
"10990","PLA2G12A","pla2g12a"
"10991","PLA2G12B","pla2g12b"
"10992","PLA2G15","pla2g15"
"10993","PROCA1","pla2g3"
"10994","PLA2G4A","pla2g4aa"
"10995","PLA2G4A","pla2g4ab"
"10996","PLA2G4D","pla2g4f.1"
"10997","PLA2G4D","pla2g4f.2"
"10998","PLA2G6","pla2g6"
"10999","PLA2G7","pla2g7"
"11000","PLA2R1","pla2r1"
"11001","PLAA","plaa"
"11002","PLAAT1","plaat1"
"11003","PLAC8","plac8.1"
"11004","PLAC8","plac8.2"
"11005","PLAC8L1","plac8l1"
"11006","PLAG1","plag1"
"11007","ZNF770","plagl2"
"11008","ZNF770","plagx"
"11009","PLAT","plat"
"11010","PLAU","plaub"
"11011","PLBD1","plbd1"
"11012","PLCB3","plcb3"
"11013","PLCD1","plcd1a"
"11014","PLCD1","plcd1b"
"11015","PLCD3","plcd3a"
"11016","PLCD3","plcd3b"
"11017","PLCD4","plcd4a"
"11018","PLCD4","plcd4b"
"11019","PLCE1","plce1"
"11020","PLCG1","plcg1"
"11021","PLCG2","plcg2"
"11022","PLCH1","plch1"
"11023","PLCH2","plch2a"
"11024","PLCH2","plch2b"
"11025","PLCL1","plcl1"
"11026","PLCL2","plcl2"
"11027","PLCXD2","plcxd2"
"11028","PLCXD3","plcxd3"
"11029","PLD1","pld1a"
"11030","PLD1","pld1b"
"11031","PLD2","pld2"
"11032","PLD3","pld3"
"11033","PLD6","pld6"
"11034","EPPK1","pleca"
"11035","EPPK1","plecb"
"11036","PLEK","plek"
"11037","PLEK2","plek2"
"11038","PLEKHA1","plekha1a"
"11039","PLEKHA1","plekha1b"
"11040","PLEKHA3","plekha3"
"11041","PLEKHA5","plekha5"
"11042","PLEKHA6","plekha6"
"11043","PLEKHA7","plekha7b"
"11044","PLEKHA8","plekha8"
"11045","PLEKHB2","plekhb2"
"11046","PLEKHD1","plekhd1"
"11047","ZFYVE16","plekhf1"
"11048","PLEKHF2","plekhf2"
"11049","PLEKHG4","plekhg4"
"11050","PLEKHG5","plekhg5a"
"11051","PLEKHG5","plekhg5b"
"11052","PLEKHG6","plekhg6"
"11053","PLEKHG7","plekhg7"
"11054","PLEKHH1","plekhh1"
"11055","PLEKHH2","plekhh2"
"11056","PLEKHJ1","plekhj1"
"11057","PLEKHM1","plekhm1"
"11058","PLEKHM2","plekhm2"
"11059","PLEKHM3","plekhm3"
"11060","PLEKHO1","plekho1a"
"11061","PLEKHO1","plekho1b"
"11062","PLEKHO2","plekho2"
"11063","PLEKHS1","plekhs1"
"11064","PLGLB2","plg"
"11065","PLGRKT","plgrkt"
"11066","PLIN1","plin1"
"11067","PLIN2","plin2"
"11068","PLK2","plk2a"
"11069","PLK2","plk2b"
"11070","PLK3","plk3"
"11071","PLK4","plk4"
"11072","PLLP","pllp"
"11073","PLOD1","plod1a"
"11074","PLOD2","plod2"
"11075","PLOD3","plod3"
"11076","PLP1","plp1a"
"11077","PLP1","plp1b"
"11078","PLP2","plp2"
"11079","PLPBP","plpbp"
"11080","PLPP1","plpp1a"
"11081","PLPP2","plpp2a"
"11082","PLPP2","plpp2b"
"11083","PLPP3","plpp3"
"11084","PLPP4","plpp4"
"11085","PLPP5","plpp5"
"11086","PLPP6","plpp6"
"11087","PLPP7","plpp7a"
"11088","PLPPR1","plppr1"
"11089","PLPPR2","plppr2a"
"11090","PLPPR2","plppr2b"
"11091","PLPPR3","plppr3a"
"11092","PLPPR3","plppr3b"
