"","human_gene","horse_gene"
"9580","PARP2","PARP2"
"9581","PARP3","PARP3"
"9582","PARP4","PARP4"
"9583","PARP6","PARP6"
"9584","PARP8","PARP8"
"9585","PARP9","PARP9"
"9586","PARPBP","PARPBP"
"9587","PARS2","PARS2"
"9588","PARVA","PARVA"
"9589","PARVB","PARVB"
"9590","PASK","PASK"
"9591","PATE1","PATE1"
"9592","PATE2","PATE2"
"9593","PATE3","PATE3"
"9594","PATJ","PATJ"
"9595","PATL1","PATL1"
"9596","PATZ1","PATZ1"
"9597","PAWR","PAWR"
"9598","PAX1","PAX1"
"9599","PAX2","PAX2"
"9600","PAX3","PAX3"
"9601","PAX4","PAX4"
"9602","PAX5","PAX5"
"9603","PAX6","PAX6"
"9604","PAX7","PAX7"
"9605","PAX8","PAX8"
"9606","PAX9","PAX9"
"9607","PAXBP1","PAXBP1"
"9608","PAXIP1","PAXIP1"
"9609","PBDC1","PBDC1"
"9610","PBK","PBK"
"9611","PBLD","PBLD"
"9612","PBRM1","PBRM1"
"9613","PBX1","PBX1"
"9614","PBX2","PBX2"
"9615","PBX3","PBX3"
"9616","PBXIP1","PBXIP1"
"9617","PC","PC"
"9618","PCARE","PCARE"
"9619","PCBD1","PCBD1"
"9620","CATSPER3","PCBD2"
"9621","PCBP1","PCBP1"
"9622","PCBP3","PCBP3"
"9623","PCCA","PCCA"
"9624","PCCB","PCCB"
"9625","PCDH1","PCDH1"
"9626","PCDH10","PCDH10"
"9627","PCDH12","PCDH12"
"9628","PCDH15","PCDH15"
"9629","PCDH17","PCDH17"
"9630","PCDH18","PCDH18"
"9631","PCDH19","PCDH19"
"9632","PCDH20","PCDH20"
"9633","PCDH7","PCDH7"
"9634","PCDH8","PCDH8"
"9635","PCDH9","PCDH9"
"9636","PCDHB1","PCDHB1"
"9637","PCDHB14","PCDHB14"
"9638","PCDHB2","PCDHB2"
"9639","PCDHGA7","PCDHGA7"
"9640","PCDHGC5","PCDHGC5"
"9641","PCED1A","PCED1A"
"9642","PCED1B","PCED1B"
"9643","PCF11","PCF11"
"9644","PCGF1","PCGF1"
"9645","PCGF2","PCGF2"
"9646","PCGF6","PCGF6"
"9647","PCID2","PCID2"
"9648","PCIF1","PCIF1"
"9649","PCK1","PCK1"
"9650","PCK2","PCK2"
"9651","PCLO","PCLO"
"9652","PCM1","PCM1"
"9653","PCMT1","PCMT1"
"9654","PCMTD1","PCMTD1"
"9655","PCMTD2","PCMTD2"
"9656","PCNA","PCNA"
"9657","PCNP","PCNP"
"9658","PCNT","PCNT"
"9659","PCNX1","PCNX1"
"9660","PCNX2","PCNX2"
"9661","PCNX3","PCNX3"
"9662","PCNX4","PCNX4"
"9663","PCOLCE","PCOLCE"
"9664","PCOLCE2","PCOLCE2"
"9665","PCP2","PCP2"
"9666","PCP4","PCP4"
"9667","PCP4L1","PCP4L1"
"9668","PCSK1","PCSK1"
"9669","PCSK1N","PCSK1N"
"9670","PCSK2","PCSK2"
"9671","PCSK4","PCSK4"
"9672","PCSK5","PCSK5"
"9673","PCSK6","PCSK6"
"9674","PCSK7","PCSK7"
"9675","PCSK9","PCSK9"
"9676","PCTP","PCTP"
"9677","PCYOX1","PCYOX1"
"9678","PCYOX1L","PCYOX1L"
"9679","PCYT1A","PCYT1A"
"9680","PCYT1B","PCYT1B"
"9681","PCYT2","PCYT2"
"9682","PDAP1","PDAP1"
"9683","PDC","PDC"
"9684","PDCD1","PDCD1"
"9685","PDCD10","PDCD10"
"9686","PDCD11","PDCD11"
"9687","PDCD1LG2","PDCD1LG2"
"9688","PDCD2","PDCD2"
"9689","PDCD2L","PDCD2L"
"9690","PDCD4","PDCD4"
"9691","PDCD5","PDCD5"
"9692","PDCD6","PDCD6"
"9693","PDCD7","PDCD7"
"9694","PDCL","PDCL"
"9695","PDCL2","PDCL2"
"9696","PDCL3","PDCL3"
"9697","PDE10A","PDE10A"
"9698","PDE11A","PDE11A"
"9699","PDE12","PDE12"
"9700","PDE1A","PDE1A"
"9701","PDE1B","PDE1B"
"9702","PDE1C","PDE1C"
"9703","PDE2A","PDE2A"
"9704","PDE3A","PDE3A"
"9705","PDE3B","PDE3B"
"9706","PDE4A","PDE4A"
"9707","PDE4B","PDE4B"
"9708","PDE4C","PDE4C"
"9709","PDE4D","PDE4D"
"9710","PDE4DIP","PDE4DIP"
"9711","PDE5A","PDE5A"
"9712","PDE6A","PDE6A"
"9713","PDE6B","PDE6B"
"9714","PDE6C","PDE6C"
"9715","PDE6D","PDE6D"
"9716","PDE6G","PDE6G"
"9717","PDE6H","PDE6H"
"9718","PDE7A","PDE7A"
"9719","PDE7B","PDE7B"
"9720","PDE8A","PDE8A"
"9721","PDE8B","PDE8B"
"9722","PDE9A","PDE9A"
"9723","PDF","PDF"
"9724","PDGFA","PDGFA"
"9725","PDGFB","PDGFB"
"9726","PDGFC","PDGFC"
"9727","PDGFD","PDGFD"
"9728","PDGFRA","PDGFRA"
"9729","PDGFRB","PDGFRB"
"9730","PDGFRL","PDGFRL"
"9731","PDHA1","PDHA1"
"9732","PDHA2","PDHA2"
"9733","PDHB","PDHB"
"9734","PDHX","PDHX"
"9735","PDIA2","PDIA2"
"9736","PDIA3","PDIA3"
"9737","ZNF786","PDIA4"
"9738","PDIA5","PDIA5"
"9739","PDIA6","PDIA6"
"9740","PDIK1L","PDIK1L"
"9741","PDK1","PDK1"
"9742","PDK2","PDK2"
"9743","PDK3","PDK3"
"9744","PDK4","PDK4"
"9745","PDLIM1","PDLIM1"
"9746","PDLIM2","PDLIM2"
"9747","PDLIM3","PDLIM3"
"9748","PDLIM4","PDLIM4"
"9749","PDLIM5","PDLIM5"
"9750","PDP1","PDP1"
"9751","PDP2","PDP2"
"9752","PDPK1","PDPK1"
"9753","PDPN","PDPN"
"9754","PDPR","PDPR"
"9755","PDRG1","PDRG1"
"9756","PDS5A","PDS5A"
"9757","PDS5B","PDS5B"
"9758","PDSS1","PDSS1"
"9759","PDSS2","PDSS2"
"9760","PDX1","PDX1"
"9761","PDXDC1","PDXDC1"
"9762","PDXK","PDXK"
"9763","PDXP","PDXP"
"9764","PDYN","PDYN"
"9765","PDZD11","PDZD11"
"9766","PDZD2","PDZD2"
"9767","PDZD4","PDZD4"
"9768","PDZD7","PDZD7"
"9769","PDZD8","PDZD8"
"9770","PDZD9","PDZD9"
"9771","PDZK1","PDZK1"
"9772","PDZRN3","PDZRN3"
"9773","PDZRN4","PDZRN4"
"9774","PEA15","PEA15"
"9775","PEAK1","PEAK1"
"9776","PEAK3","PEAK3"
"9777","PEAR1","PEAR1"
"9778","PEBP1","PEBP1"
"9779","PEBP4","PEBP4"
"9780","PECAM1","PECAM1"
"9781","PECR","PECR"
"9782","PEDS1","PEDS1"
"9783","PEF1","PEF1"
"9784","PEG10","PEG10"
"9785","PEG3","PEG3"
"9786","PELI1","PELI1"
"9787","PELI2","PELI2"
"9788","PELI3","PELI3"
"9789","PELP1","PELP1"
"9790","PEMT","PEMT"
"9791","PENK","PENK"
"9792","PEPD","PEPD"
"9793","PER1","PER1"
"9794","PER2","PER2"
"9795","PER3","PER3"
"9796","PERCC1","PERCC1"
"9797","PERP","PERP"
"9798","PES1","PES1"
"9799","PET100","PET100"
"9800","PET117","PET117"
"9801","PEX1","PEX1"
"9802","PEX10","PEX10"
"9803","PEX11A","PEX11A"
"9804","PEX11B","PEX11B"
"9805","PEX11G","PEX11G"
"9806","PEX12","PEX12"
"9807","PEX14","PEX14"
"9808","PEX16","PEX16"
"9809","PEX19","PEX19"
"9810","PEX2","PEX2"
"9811","PEX26","PEX26"
"9812","PEX3","PEX3"
"9813","PEX5","PEX5"
"9814","PEX5L","PEX5L"
"9815","PEX6","PEX6"
"9816","PEX7","PEX7"
"9817","PFAS","PFAS"
"9818","PFDN4","PFDN4"
"9819","PFDN5","PFDN5"
"9820","PFDN6","PFDN6"
"9821","PFKFB1","PFKFB1"
"9822","PFKFB2","PFKFB2"
"9823","PFKFB3","PFKFB3"
"9824","PFKFB4","PFKFB4"
"9825","PFKL","PFKL"
"9826","PFKM","PFKM"
"9827","PFKP","PFKP"
"9828","PFN2","PFN2"
"9829","PFN4","PFN4"
"9830","PGAM1","PGAM1"
"9831","PGAM2","PGAM2"
"9832","PGAM5","PGAM5"
"9833","PGAP1","PGAP1"
"9834","PGAP2","PGAP2"
"9835","PGAP3","PGAP3"
"9836","PGAP4","PGAP4"
"9837","PGAP6","PGAP6"
"9838","PGBD1","PGBD1"
"9839","PGBD2","PGBD2"
"9840","PGBD5","PGBD5"
"9841","PGD","PGD"
"9842","PGF","PGF"
"9843","PGGHG","PGGHG"
"9844","PGGT1B","PGGT1B"
"9845","PGK1","PGK1"
"9846","PGK2","PGK2"
"9847","PGLS","PGLS"
"9848","PGLYRP3","PGLYRP3"
"9849","PGLYRP4","PGLYRP4"
"9850","PGM1","PGM1"
"9851","PGM2","PGM2"
"9852","PGM2L1","PGM2L1"
"9853","PGM3","PGM3"
"9854","PGM5","PGM5"
"9855","PGP","PGP"
"9856","PGPEP1","PGPEP1"
"9857","PGPEP1L","PGPEP1L"
"9858","PGR","PGR"
"9859","PGRMC1","PGRMC1"
"9860","PGRMC2","PGRMC2"
"9861","PGS1","PGS1"
"9862","PHACTR1","PHACTR1"
"9863","PHACTR2","PHACTR2"
"9864","PHACTR3","PHACTR3"
"9865","PHACTR4","PHACTR4"
"9866","PHAF1","PHAF1"
"9867","PHAX","PHAX"
"9868","PHB1","PHB1"
"9869","PHB2","PHB2"
"9870","PHC1","PHC1"
"9871","PHC2","PHC2"
"9872","PHC3","PHC3"
"9873","PHETA1","PHETA1"
"9874","PHETA2","PHETA2"
"9875","PHEX","PHEX"
"9876","PHF1","PHF1"
"9877","PHF10","PHF10"
"9878","PHF11","PHF11"
"9879","PHF12","PHF12"
"9880","PHF13","PHF13"
"9881","PHF14","PHF14"
"9882","PHF19","PHF19"
"9883","PHF2","PHF2"
"9884","PHF20","PHF20"
"9885","PHF20L1","PHF20L1"
"9886","PHF21A","PHF21A"
"9887","PHF21B","PHF21B"
"9888","PHF23","PHF23"
"9889","PHF24","PHF24"
"9890","PHF3","PHF3"
"9891","PHF5A","PHF5A"
"9892","PHF6","PHF6"
"9893","PHF7","PHF7"
"9894","PHF8","PHF8"
"9895","PHGDH","PHGDH"
"9896","PHIP","PHIP"
"9897","PHKA1","PHKA1"
"9898","PHKA2","PHKA2"
"9899","PHKB","PHKB"
"9900","PHKG1","PHKG1"
"9901","PHKG2","PHKG2"
"9902","PHLDA2","PHLDA2"
"9903","PHLDA3","PHLDA3"
"9904","PHLDB1","PHLDB1"
"9905","PHLDB2","PHLDB2"
"9906","PHLDB3","PHLDB3"
"9907","PHLPP1","PHLPP1"
"9908","PHLPP2","PHLPP2"
"9909","PHOSPHO1","PHOSPHO1"
"9910","PHOSPHO2","PHOSPHO2"
"9911","PHOX2A","PHOX2A"
"9912","PHOX2B","PHOX2B"
"9913","PHRF1","PHRF1"
"9914","PHTF1","PHTF1"
"9915","PHTF2","PHTF2"
"9916","PHYHIP","PHYHIP"
"9917","PHYHIPL","PHYHIPL"
"9918","PHYKPL","PHYKPL"
"9919","PI15","PI15"
"9920","PI16","PI16"
"9921","PI3","PI3"
"9922","PI4K2A","PI4K2A"
"9923","PI4K2B","PI4K2B"
"9924","PI4KA","PI4KA"
"9925","PI4KB","PI4KB"
"9926","PIANP","PIANP"
"9927","PIAS1","PIAS1"
"9928","PIAS2","PIAS2"
"9929","PIAS3","PIAS3"
"9930","PIAS4","PIAS4"
"9931","PIBF1","PIBF1"
"9932","PICALM","PICALM"
"9933","PICK1","PICK1"
"9934","PID1","PID1"
"9935","PIDD1","PIDD1"
"9936","PIEZO1","PIEZO1"
"9937","PIEZO2","PIEZO2"
"9938","PIF1","PIF1"
"9939","PIGA","PIGA"
"9940","PIGB","PIGB"
"9941","PIGC","PIGC"
"9942","PIGF","PIGF"
"9943","PIGG","PIGG"
"9944","PIGH","PIGH"
"9945","PIGK","PIGK"
"9946","PIGL","PIGL"
"9947","PIGM","PIGM"
"9948","PIGN","PIGN"
"9949","PIGO","PIGO"
"9950","PIGP","PIGP"
"9951","PIGQ","PIGQ"
"9952","PIGR","PIGR"
"9953","PIGT","PIGT"
"9954","PIGU","PIGU"
"9955","PIGV","PIGV"
"9956","PIGW","PIGW"
"9957","PIGX","PIGX"
"9958","PIH1D1","PIH1D1"
"9959","PIH1D2","PIH1D2"
"9960","PIK3AP1","PIK3AP1"
"9961","PIK3C2A","PIK3C2A"
"9962","PIK3C2B","PIK3C2B"
"9963","PIK3C3","PIK3C3"
"9964","PIK3CA","PIK3CA"
"9965","PIK3CB","PIK3CB"
"9966","PIK3CD","PIK3CD"
"9967","PIK3CG","PIK3CG"
"9968","PIK3IP1","PIK3IP1"
"9969","PIK3R1","PIK3R1"
"9970","PIK3R2","PIK3R2"
"9971","PIK3R3","PIK3R3"
"9972","PIK3R4","PIK3R4"
"9973","PIK3R5","PIK3R5"
"9974","PIK3R6","PIK3R6"
"9975","PIKFYVE","PIKFYVE"
"9976","PIM1","PIM1"
"9977","PIM2","PIM2"
"9978","PIM3","PIM3"
"9979","PIMREG","PIMREG"
"9980","PIN4","PIN4"
"9981","PINK1","PINK1"
"9982","XKR6","PINX1"
"9983","PIP","PIP"
"9984","PIP4K2A","PIP4K2A"
"9985","PIP4K2B","PIP4K2B"
"9986","PIP4K2C","PIP4K2C"
"9987","PIP4P1","PIP4P1"
"9988","PIP4P2","PIP4P2"
"9989","PIP5K1A","PIP5K1A"
"9990","PIP5K1B","PIP5K1B"
"9991","PIP5K1C","PIP5K1C"
"9992","PIP5KL1","PIP5KL1"
"9993","PIPOX","PIPOX"
"9994","PIR","PIR"
"9995","PIRT","PIRT"
"9996","PISD","PISD"
"9997","PITHD1","PITHD1"
"9998","PITPNA","PITPNA"
"9999","PITPNB","PITPNB"
"10000","PITPNC1","PITPNC1"
"10001","PITPNM1","PITPNM1"
"10002","PITPNM2","PITPNM2"
"10003","PITPNM3","PITPNM3"
"10004","PITRM1","PITRM1"
"10005","PITX1","PITX1"
"10006","PITX2","PITX2"
"10007","PITX3","PITX3"
"10008","PIWIL1","PIWIL1"
"10009","PIWIL2","PIWIL2"
"10010","PIWIL3","PIWIL3"
"10011","PIWIL4","PIWIL4"
"10012","PJA1","PJA1"
"10013","PJA2","PJA2"
"10014","PJVK","PJVK"
"10015","PKD1","PKD1"
"10016","PKD1L1","PKD1L1"
"10017","PKD1L3","PKD1L3"
"10018","PKD2","PKD2"
"10019","PKD2L1","PKD2L1"
"10020","PKD2L2","PKD2L2"
"10021","PKDCC","PKDCC"
"10022","PKDREJ","PKDREJ"
"10023","PKHD1","PKHD1"
"10024","PKHD1L1","PKHD1L1"
"10025","PKIA","PKIA"
"10026","PKIB","PKIB"
"10027","PKLR","PKLR"
"10028","PKM","PKM"
"10029","PKMYT1","PKMYT1"
"10030","PKN1","PKN1"
"10031","PKN2","PKN2"
"10032","PKN3","PKN3"
"10033","PKNOX1","PKNOX1"
"10034","PKNOX2","PKNOX2"
"10035","PKP1","PKP1"
"10036","PKP2","PKP2"
"10037","PKP3","PKP3"
"10038","PKP4","PKP4"
"10039","PLA1A","PLA1A"
"10040","PLA2G10","PLA2G10"
"10041","PLA2G12B","PLA2G12B"
"10042","PLA2G1B","PLA2G1B"
"10043","PLA2G2A","PLA2G2A"
"10044","PLA2G2C","PLA2G2C"
"10045","PLA2G2D","PLA2G2D"
"10046","PLA2G2E","PLA2G2E"
"10047","PLA2G2F","PLA2G2F"
"10048","PLA2G3","PLA2G3"
"10049","PLA2G4A","PLA2G4A"
"10050","PLA2G4B","PLA2G4B"
"10051","PLA2G4D","PLA2G4D"
"10052","PLA2G4E","PLA2G4E"
"10053","PLA2G4F","PLA2G4F"
"10054","PLA2G5","PLA2G5"
"10055","PLA2G6","PLA2G6"
"10056","PLA2G7","PLA2G7"
"10057","PLA2R1","PLA2R1"
"10058","PLAA","PLAA"
"10059","PLAAT1","PLAAT1"
"10060","PLAAT3","PLAAT3"
"10061","PLAAT5","PLAAT5"
"10062","PLAC1","PLAC1"
"10063","PLAC8","PLAC8B"
"10064","PLAC8L1","PLAC8L1"
"10065","PLAG1","PLAG1"
"10066","PLAGL1","PLAGL1"
"10067","PLAGL2","PLAGL2"
"10068","PLAT","PLAT"
"10069","PLAU","PLAU"
"10070","PLAUR","PLAUR"
"10071","PLB1","PLB1"
"10072","PLBD1","PLBD1"
"10073","PLBD2","PLBD2"
"10074","PLCB1","PLCB1"
"10075","PLCB2","PLCB2"
"10076","PLCB3","PLCB3"
"10077","PLCB4","PLCB4"
"10078","PLCD1","PLCD1"
"10079","PLCD3","PLCD3"
"10080","PLCD4","PLCD4"
"10081","PLCE1","PLCE1"
"10082","PLCG1","PLCG1"
"10083","PLCG2","PLCG2"
"10084","PLCH1","PLCH1"
"10085","PLCH2","PLCH2"
"10086","PLCL1","PLCL1"
"10087","PLCL2","PLCL2"
"10088","PLCXD1","PLCXD1"
"10089","PLCXD3","PLCXD3"
"10090","PLCZ1","PLCZ1"
"10091","PLD1","PLD1"
"10092","PLD2","PLD2"
"10093","PLD3","PLD3"
"10094","PLD4","PLD4"
"10095","PLD5","PLD5"
"10096","PLEC","PLEC"
"10097","PLEK","PLEK"
"10098","PLEK2","PLEK2"
"10099","PLEKHA1","PLEKHA1"
"10100","PLEKHA2","PLEKHA2"
"10101","PLEKHA3","PLEKHA3"
"10102","PLEKHA4","PLEKHA4"
"10103","PLEKHA5","PLEKHA5"
"10104","PLEKHA6","PLEKHA6"
"10105","PLEKHA7","PLEKHA7"
"10106","PLEKHA8","PLEKHA8"
"10107","PLEKHB1","PLEKHB1"
"10108","PLEKHB2","PLEKHB2"
"10109","PLEKHD1","PLEKHD1"
"10110","PLEKHF1","PLEKHF1"
"10111","PLEKHF2","PLEKHF2"
"10112","PLEKHG1","PLEKHG1"
"10113","PLEKHG2","PLEKHG2"
"10114","PLEKHG3","PLEKHG3"
"10115","PLEKHG4","PLEKHG4"
"10116","PLEKHG4B","PLEKHG4B"
"10117","PLEKHG5","PLEKHG5"
"10118","PLEKHG6","PLEKHG6"
"10119","PLEKHG7","PLEKHG7"
"10120","PLEKHH1","PLEKHH1"
"10121","PLEKHH2","PLEKHH2"
"10122","PLEKHH3","PLEKHH3"
"10123","PLEKHM1","PLEKHM1"
"10124","PLEKHM2","PLEKHM2"
"10125","PLEKHM3","PLEKHM3"
"10126","PLEKHN1","PLEKHN1"
"10127","PLEKHO1","PLEKHO1"
"10128","PLEKHO2","PLEKHO2"
"10129","PLEKHS1","PLEKHS1"
"10130","PLET1","PLET1"
"10131","PLG","PLG"
"10132","PLGRKT","PLGRKT"
"10133","PLIN1","PLIN1"
"10134","PLIN2","PLIN2"
"10135","PLIN3","PLIN3"
"10136","PLIN4","PLIN4"
"10137","PLIN5","PLIN5"
"10138","PLK1","PLK1"
"10139","PLK2","PLK2"
"10140","PLK3","PLK3"
"10141","PLK4","PLK4"
"10142","PLLP","PLLP"
"10143","PLN","PLN"
"10144","PLOD1","PLOD1"
"10145","PLOD2","PLOD2"
"10146","PLOD3","PLOD3"
"10147","PLP1","PLP1"
"10148","PLPBP","PLPBP"
"10149","PLPP1","PLPP1"
"10150","PLPP2","PLPP2"
"10151","PLPP3","PLPP3"
"10152","PLPP4","PLPP4"
"10153","PLPP5","PLPP5"
"10154","PLPP6","PLPP6"
"10155","PLPPR1","PLPPR1"
"10156","PLPPR2","PLPPR2"
"10157","PLPPR3","PLPPR3"
"10158","PLPPR4","PLPPR4"
"10159","PLPPR5","PLPPR5"
"10160","PLRG1","PLRG1"
"10161","PLS1","PLS1"
"10162","PLS3","PLS3"
"10163","PLSCR1","PLSCR1"
"10164","PLSCR3","PLSCR3"
"10165","PLSCR4","PLSCR4"
"10166","PLSCR5","PLSCR5"
"10167","PLTP","PLTP"
"10168","PLVAP","PLVAP"
"10169","PLXDC1","PLXDC1"
"10170","PLXDC2","PLXDC2"
"10171","PLXNA1","PLXNA1"
"10172","PLXNA2","PLXNA2"
"10173","PLXNA3","PLXNA3"
"10174","PLXNA4","PLXNA4"
"10175","PLXNB1","PLXNB1"
"10176","PLXNB2","PLXNB2"
"10177","PLXNB3","PLXNB3"
"10178","PLXNC1","PLXNC1"
"10179","PLXND1","PLXND1"
"10180","PM20D1","PM20D1"
"10181","PM20D2","PM20D2"
"10182","PMCH","PMCH"
"10183","PMEL","PMEL"
"10184","PMEPA1","PMEPA1"
"10185","PMFBP1","PMFBP1"
"10186","PMIS2","PMIS2"
"10187","PML","PML"
"10188","PMM1","PMM1"
"10189","PMM2","PMM2"
"10190","PMP2","PMP2"
"10191","PMP22","PMP22"
"10192","PMPCA","PMPCA"
"10193","PMPCB","PMPCB"
"10194","PMS1","PMS1"
"10195","PMS2","PMS2"
"10196","PMVK","PMVK"
"10197","PNCK","PNCK"
"10198","PNISR","PNISR"
"10199","PNKD","PNKD"
"10200","PNKP","PNKP"
"10201","PNLDC1","PNLDC1"
"10202","PNLIP","PNLIP"
"10203","PNLIPRP1","PNLIPRP1"
"10204","PNLIPRP2","PNLIPRP2"
"10205","PNLIPRP3","PNLIPRP3"
"10206","PNMA1","PNMA1"
"10207","PNMA2","PNMA2"
"10208","PNMA3","PNMA3"
"10209","PNMA5","PNMA5"
"10210","PNMA8A","PNMA8A"
"10211","PNMA8C","PNMA8C"
"10212","PNMT","PNMT"
"10213","PNN","PNN"
"10214","PNO1","PNO1"
"10215","PNOC","PNOC"
"10216","PNPLA1","PNPLA1"
"10217","PNPLA2","PNPLA2"
"10218","PNPLA3","PNPLA3"
"10219","PNPLA4","PNPLA4"
"10220","PNPLA5","PNPLA5"
"10221","PNPLA6","PNPLA6"
"10222","PNPLA7","PNPLA7"
"10223","PNPLA8","PNPLA8"
"10224","PNPO","PNPO"
"10225","PNPT1","PNPT1"
"10226","PNRC1","PNRC1"
"10227","PNRC2","PNRC2"
"10228","POC1A","POC1A"
"10229","GALNT4","POC1B"
"10230","POC5","POC5"
"10231","PODN","PODN"
"10232","PODNL1","PODNL1"
"10233","PODXL2","PODXL2"
"10234","POF1B","POF1B"
"10235","POFUT1","POFUT1"
"10236","POFUT2","POFUT2"
"10237","POGK","POGK"
"10238","POGLUT1","POGLUT1"
"10239","POGLUT2","POGLUT2"
"10240","POGZ","POGZ"
"10241","POLA1","POLA1"
"10242","POLA2","POLA2"
"10243","POLB","POLB"
"10244","POLD1","POLD1"
"10245","POLD2","POLD2"
"10246","POLDIP2","POLDIP2"
"10247","POLDIP3","POLDIP3"
"10248","POLE","POLE"
"10249","DNAAF2","POLE2"
"10250","POLE4","POLE4"
"10251","POLG","POLG"
"10252","POLH","POLH"
"10253","POLI","POLI"
"10254","POLK","POLK"
"10255","POLL","POLL"
"10256","POLM","POLM"
"10257","POLN","POLN"
"10258","POLQ","POLQ"
"10259","POLR1A","POLR1A"
"10260","POLR1B","POLR1B"
"10261","POLR1C","POLR1C"
"10262","POLR1E","POLR1E"
"10263","POLR1F","POLR1F"
"10264","POLR1G","POLR1G"
"10265","POLR1H","POLR1H"
"10266","POLR2A","POLR2A"
"10267","POLR2B","POLR2B"
"10268","POLR2C","POLR2C"
"10269","POLR2D","POLR2D"
"10270","POLR2E","POLR2E"
"10271","POLR2F","POLR2F"
"10272","POLR2G","POLR2G"
"10273","POLR2H","POLR2H"
"10274","POLR2I","POLR2I"
"10275","POLR3A","POLR3A"
"10276","POLR3B","POLR3B"
"10277","POLR3C","POLR3C"
"10278","POLR3E","POLR3E"
"10279","POLR3F","POLR3F"
"10280","POLR3GL","POLR3GL"
"10281","POLR3H","POLR3H"
"10282","POLR3K","POLR3K"
"10283","POLRMT","POLRMT"
"10284","POMC","POMC"
"10285","POMGNT1","POMGNT1"
"10286","POMGNT2","POMGNT2"
"10287","POMK","POMK"
"10288","POMP","POMP"
"10289","POMT1","POMT1"
"10290","POMT2","POMT2"
"10291","PON1","PON1"
"10292","PON2","PON2"
"10293","PON3","PON3"
"10294","POP1","POP1"
"10295","POP4","POP4"
"10296","POP5","POP5"
"10297","POP7","POP7"
"10298","POPDC2","POPDC2"
"10299","POPDC3","POPDC3"
"10300","POR","POR"
"10301","PORCN","PORCN"
"10302","POSTN","POSTN"
"10303","POT1","POT1"
"10304","POU1F1","POU1F1"
"10305","POU2AF1","POU2AF1"
"10306","POU2AF2","POU2AF2"
"10307","POU2AF3","POU2AF3"
"10308","POU2F1","POU2F1"
"10309","POU2F2","POU2F2"
"10310","POU2F3","POU2F3"
"10311","POU3F1","POU3F1"
"10312","POU3F3","POU3F3"
"10313","POU3F4","POU3F4"
"10314","POU4F1","POU4F1"
"10315","POU4F2","POU4F2"
"10316","POU4F3","POU4F3"
"10317","POU6F1","POU6F1"
"10318","POU6F2","POU6F2"
"10319","PP2D1","PP2D1"
"10320","PPA1","PPA1"
"10321","PPA2","PPA2"
"10322","PPAN","PPAN"
"10323","PPARA","PPARA"
"10324","PPARD","PPARD"
"10325","PPARG","PPARG"
"10326","PPARGC1A","PPARGC1A"
"10327","PPARGC1B","PPARGC1B"
"10328","PPAT","PPAT"
"10329","PPBP","PPBP"
"10330","PPCDC","PPCDC"
"10331","PPDPFL","PPDPFL"
"10332","PPEF1","PPEF1"
"10333","PPEF2","PPEF2"
"10334","PPFIA1","PPFIA1"
"10335","PPFIA2","PPFIA2"
"10336","PPFIA3","PPFIA3"
"10337","PPFIA4","PPFIA4"
"10338","PPFIBP1","PPFIBP1"
"10339","PPFIBP2","PPFIBP2"
"10340","PPHLN1","PPHLN1"
"10341","PPIB","PPIB"
"10342","PPIC","PPIC"
"10343","PPID","PPID"
"10344","PPIF","PPIF"
"10345","PPIG","PPIG"
"10346","PPIH","PPIH"
"10347","PPIL1","PPIL1"
"10348","PPIL2","PPIL2"
"10349","PPIL3","PPIL3"
"10350","PPIL4","PPIL4"
"10351","PPIL6","PPIL6"
"10352","PPIP5K1","PPIP5K1"
"10353","PPIP5K2","PPIP5K2"
"10354","PPL","PPL"
"10355","PPM1A","PPM1A"
"10356","PPM1B","PPM1B"
"10357","PPM1D","PPM1D"
"10358","PPM1E","PPM1E"
"10359","PPM1F","PPM1F"
"10360","PPM1G","PPM1G"
"10361","PPM1H","PPM1H"
"10362","PPM1J","PPM1J"
"10363","PPM1K","PPM1K"
"10364","PPM1L","PPM1L"
"10365","PPM1M","PPM1M"
"10366","PPM1N","PPM1N"
"10367","PPME1","PPME1"
"10368","PPP1CA","PPP1CA"
"10369","PPP1CB","PPP1CB"
"10370","PPP1CC","PPP1CC"
"10371","PPP1R10","PPP1R10"
"10372","PPP1R12A","PPP1R12A"
"10373","PPP1R12B","PPP1R12B"
"10374","PPP1R12C","PPP1R12C"
"10375","PPP1R13B","PPP1R13B"
"10376","PPP1R13L","PPP1R13L"
"10377","PPP1R14A","PPP1R14A"
"10378","PPP1R14B","PPP1R14B"
"10379","PPP1R14D","PPP1R14D"
"10380","PPP1R15A","PPP1R15A"
"10381","PPP1R16A","PPP1R16A"
"10382","PPP1R16B","PPP1R16B"
"10383","PPP1R17","PPP1R17"
"10384","PPP1R18","PPP1R18"
"10385","PPP1R1A","PPP1R1A"
"10386","PPP1R1B","PPP1R1B"
"10387","PPP1R1C","PPP1R1C"
"10388","PPP1R21","PPP1R21"
"10389","PPP1R26","PPP1R26"
"10390","PPP1R27","PPP1R27"
"10391","PPP1R36","PPP1R36"
"10392","PPP1R37","PPP1R37"
"10393","PPP1R3A","PPP1R3A"
"10394","PPP1R3B","PPP1R3B"
"10395","PPP1R3C","PPP1R3C"
"10396","PPP1R3D","PPP1R3D"
"10397","PPP1R3F","PPP1R3F"
"10398","PPP1R42","PPP1R42"
"10399","ANO7","PPP1R7"
