"","human_gene","macaque_gene"
"9794","OR2S2","OR2S2"
"9795","OR2T1","OR2T1"
"9796","OR2T10","OR2T10"
"9797","OR2T27","OR2T27"
"9798","OR2T6","OR2T6"
"9799","OR2W1","OR2W1"
"9800","OR2W3","OR2W3"
"9801","OR2Y1","OR2Y1"
"9802","OR3A1","OR3A1"
"9803","OR3A2","OR3A2"
"9804","OR4A47","OR4A47"
"9805","OR4A5","OR4A5"
"9806","OR4D1","OR4D1"
"9807","OR4D10","OR4D10"
"9808","OR4D11","OR4D11"
"9809","OR4D2","OR4D2"
"9810","OR4D5","OR4D5"
"9811","OR4D6","OR4D6"
"9812","OR4D9","OR4D9"
"9813","OR4E1","OR4E1"
"9814","OR4E2","OR4E2"
"9815","OR4F15","OR4F15"
"9816","OR4F6","OR4F6"
"9817","OR4K1","OR4K1"
"9818","OR4K13","OR4K13"
"9819","OR4K15","OR4K15"
"9820","OR4K17","OR4K17"
"9821","OR4K2","OR4K2"
"9822","OR4K5","OR4K5"
"9823","OR4M1","OR4M1"
"9824","OR4N2","OR4N2"
"9825","OR4N4","OR4N4"
"9826","OR4N5","OR4N5"
"9827","OR4Q2","OR4Q2"
"9828","OR4Q3","OR4Q3"
"9829","OR4S2","OR4S2"
"9830","OR4X2","OR4X2"
"9831","OR51A4","OR51A4"
"9832","OR51B5","OR51B5"
"9833","OR51E1","OR51E1"
"9834","OR51E2","OR51E2"
"9835","OR51F1","OR51F1"
"9836","OR51G2","OR51G2"
"9837","OR51M1","OR51M1"
"9838","OR51S1","OR51S1"
"9839","OR51V1","OR51V1"
"9840","OR52A1","OR52A1"
"9841","OR52A5","OR52A5"
"9842","OR52B2","OR52B2"
"9843","OR52B6","OR52B6"
"9844","OR52E4","OR52E4"
"9845","OR52K1","OR52K1"
"9846","OR52L1","OR52L1"
"9847","OR52M1","OR52M1"
"9848","OR52N2","OR52N2"
"9849","OR52N4","OR52N4"
"9850","OR52N5","OR52N5"
"9851","OR52W1","OR52W1"
"9852","OR56A1","OR56A1"
"9853","OR5A1","OR5A1"
"9854","OR5AN1","OR5AN1"
"9855","OR5AP2","OR5AP2"
"9856","OR5AR1","OR5AR1"
"9857","OR5B12","OR5B12"
"9858","OR5B2","OR5B2"
"9859","OR5B21","OR5B21"
"9860","OR5BS1P","OR5BS1P"
"9861","OR5C1","OR5C1"
"9862","OR5D13","OR5D13"
"9863","OR5D14","OR5D14"
"9864","OR5D3P","OR5D3P"
"9865","OR5F1","OR5F1"
"9866","OR5H14","OR5H14"
"9867","OR5H2","OR5H2"
"9868","OR5I1","OR5I1"
"9869","OR5K1","OR5K1"
"9870","OR5K2","OR5K2"
"9871","OR5L1","OR5L1"
"9872","OR5M3","OR5M3"
"9873","OR5M9","OR5M9"
"9874","OR5V1","OR5V1"
"9875","OR5W2","OR5W2"
"9876","OR6B1","OR6B1"
"9877","OR6B2","OR6B2"
"9878","OR6B3","OR6B3"
"9879","OR6C1","OR6C1"
"9880","OR6C2","OR6C2"
"9881","OR6C4","OR6C4"
"9882","OR6C74","OR6C74"
"9883","OR6C75","OR6C75"
"9884","OR6F1","OR6F1"
"9885","OR6K2","OR6K2"
"9886","OR6K3","OR6K3"
"9887","OR6K6","OR6K6"
"9888","OR6M1","OR6M1"
"9889","OR6N1","OR6N1"
"9890","OR6N2","OR6N2"
"9891","OR6P1","OR6P1"
"9892","OR6Q1","OR6Q1"
"9893","OR6V1","OR6V1"
"9894","OR6X1","OR6X1"
"9895","OR6Y1","OR6Y1"
"9896","OR7A10","OR7A10"
"9897","OR7A17","OR7A17"
"9898","OR7C1","OR7C1"
"9899","OR7C2","OR7C2"
"9900","OR7D2","OR7D2"
"9901","OR7D4","OR7D4"
"9902","OR7E24","OR7E24"
"9903","OR8A1","OR8A1"
"9904","OR8B4","OR8B4"
"9905","OR8B8","OR8B8"
"9906","OR8D1","OR8D1"
"9907","OR8D4","OR8D4"
"9908","OR8G5","OR8G5"
"9909","OR8H3","OR8H3"
"9910","OR8I2","OR8I2"
"9911","OR8J1","OR8J1"
"9912","OR8J3","OR8J3"
"9913","OR8K1","OR8K1"
"9914","OR8S1","OR8S1"
"9915","OR8U1","OR8U1"
"9916","OR9A4","OR9A4"
"9917","OR9G1","OR9G1"
"9918","OR9G4","OR9G4"
"9919","OR9H1P","OR9H1P"
"9920","OR9I1","OR9I1"
"9921","OR9Q1","OR9Q1"
"9922","OR9Q2","OR9Q2"
"9923","ORAI1","ORAI1"
"9924","ORAI2","ORAI2"
"9925","ORAI3","ORAI3"
"9926","ORC1","ORC1"
"9927","ORC2","ORC2"
"9928","ORC3","ORC3"
"9929","ORC4","ORC4"
"9930","ORC5","ORC5"
"9931","ORC6","ORC6"
"9932","ORM1","ORM1"
"9933","ORMDL1","ORMDL1"
"9934","ORMDL2","ORMDL2"
"9935","ORMDL3","ORMDL3"
"9936","OS9","OS9"
"9937","OSBP","OSBP"
"9938","OSBP2","OSBP2"
"9939","OSBPL10","OSBPL10"
"9940","OSBPL11","OSBPL11"
"9941","OSBPL1A","OSBPL1A"
"9942","OSBPL2","OSBPL2"
"9943","OSBPL3","OSBPL3"
"9944","OSBPL5","OSBPL5"
"9945","OSBPL6","OSBPL6"
"9946","OSBPL7","OSBPL7"
"9947","OSBPL8","OSBPL8"
"9948","OSBPL9","OSBPL9"
"9949","OSCAR","OSCAR"
"9950","OSCP1","OSCP1"
"9951","OSER1","OSER1"
"9952","OSGEP","OSGEP"
"9953","OSGEPL1","OSGEPL1"
"9954","OSGIN1","OSGIN1"
"9955","OSGIN2","OSGIN2"
"9956","OSM","OSM"
"9957","OSMR","OSMR"
"9958","OSR1","OSR1"
"9959","OSR2","OSR2"
"9960","OST4","OST4"
"9961","OSTF1","OSTF1"
"9962","OSTM1","OSTM1"
"9963","OSTN","OSTN"
"9964","OTC","OTC"
"9965","OTOA","OTOA"
"9966","OTOF","OTOF"
"9967","OTOG","OTOG"
"9968","OTOGL","OTOGL"
"9969","OTOL1","OTOL1"
"9970","OTOP1","OTOP1"
"9971","OTOP2","OTOP2"
"9972","OTOP3","OTOP3"
"9973","OTOR","OTOR"
"9974","OTOS","OTOS"
"9975","OTP","OTP"
"9976","OTUB2","OTUB2"
"9977","OTUD1","OTUD1"
"9978","OTUD3","OTUD3"
"9979","OTUD4","OTUD4"
"9980","OTUD5","OTUD5"
"9981","OTUD6A","OTUD6A"
"9982","OTUD6B","OTUD6B"
"9983","OTUD7A","OTUD7A"
"9984","OTUD7B","OTUD7B"
"9985","OTULIN","OTULIN"
"9986","OTULINL","OTULINL"
"9987","OTX1","OTX1"
"9988","OTX2","OTX2"
"9989","OVCH1","OVCH1"
"9990","OVCH2","OVCH2"
"9991","OVGP1","OVGP1"
"9992","OVOL1","OVOL1"
"9993","OVOL2","OVOL2"
"9994","OVOL3","OVOL3"
"9995","OXA1L","OXA1L"
"9996","OXCT1","OXCT1"
"9997","OXER1","OXER1"
"9998","OXGR1","OXGR1"
"9999","OXLD1","OXLD1"
"10000","OXNAD1","OXNAD1"
"10001","OXR1","OXR1"
"10002","OXSM","OXSM"
"10003","OXSR1","OXSR1"
"10004","OXT","OXT"
"10005","OXTR","OXTR"
"10006","P2RX1","P2RX1"
"10007","P2RX2","P2RX2"
"10008","P2RX3","P2RX3"
"10009","P2RX4","P2RX4"
"10010","P2RX5","P2RX5"
"10011","P2RX6","P2RX6"
"10012","P2RX7","P2RX7"
"10013","P2RY1","P2RY1"
"10014","P2RY10","P2RY10"
"10015","P2RY12","P2RY12"
"10016","P2RY13","P2RY13"
"10017","P2RY14","P2RY14"
"10018","P2RY2","P2RY2"
"10019","P2RY4","P2RY4"
"10020","P2RY6","P2RY6"
"10021","P2RY8","P2RY8"
"10022","P3H1","P3H1"
"10023","P3H2","P3H2"
"10024","P3H3","P3H3"
"10025","P3H4","P3H4"
"10026","P4HA1","P4HA1"
"10027","P4HA2","P4HA2"
"10028","P4HA3","P4HA3"
"10029","P4HB","P4HB"
"10030","P4HTM","P4HTM"
"10031","PAAF1","PAAF1"
"10032","PABIR2","PABIR2"
"10033","PABIR3","PABIR3"
"10034","PABPC1","PABPC1"
"10035","PABPC1L","PABPC1L"
"10036","PABPC3","PABPC3"
"10037","PABPC4","PABPC4"
"10038","PABPC4L","PABPC4L"
"10039","PABPN1L","PABPN1L"
"10040","PACC1","PACC1"
"10041","PACRG","PACRG"
"10042","PACRGL","PACRGL"
"10043","PACS1","PACS1"
"10044","PACS2","PACS2"
"10045","PACSIN1","PACSIN1"
"10046","PACSIN3","PACSIN3"
"10047","PADI1","PADI1"
"10048","PADI2","PADI2"
"10049","PADI3","PADI3"
"10050","PADI4","PADI4"
"10051","PADI6","PADI6"
"10052","PAEP","PAEP"
"10053","PAF1","PAF1"
"10054","PAFAH1B1","PAFAH1B1"
"10055","PAFAH1B2","PAFAH1B2"
"10056","PAFAH1B3","PAFAH1B3"
"10057","PAFAH2","PAFAH2"
"10058","PAG1","PAG1"
"10059","PAGE1","PAGE1"
"10060","PAGE3","PAGE3"
"10061","PAGE4","PAGE4"
"10062","PAGR1","PAGR1"
"10063","PAH","PAH"
"10064","PAICS","PAICS"
"10065","PAIP1","PAIP1"
"10066","PAIP2","PAIP2"
"10067","PAIP2B","PAIP2B"
"10068","PAK1","PAK1"
"10069","PAK1IP1","PAK1IP1"
"10070","PAK2","PAK2"
"10071","PAK3","PAK3"
"10072","PAK4","PAK4"
"10073","PAK5","PAK5"
"10074","PAK6","PAK6"
"10075","PALB2","PALB2"
"10076","PALD1","PALD1"
"10077","PALLD","PALLD"
"10078","PALM","PALM"
"10079","PALM2AKAP2","PALM2AKAP2"
"10080","PALM3","PALM3"
"10081","PALMD","PALMD"
"10082","PALS1","PALS1"
"10083","PALS2","PALS2"
"10084","PAM","PAM"
"10085","PAMR1","PAMR1"
"10086","PAN2","PAN2"
"10087","PAN3","PAN3"
"10088","PANK1","PANK1"
"10089","PANK2","PANK2"
"10090","PANK3","PANK3"
"10091","PANK4","PANK4"
"10092","PANX1","PANX1"
"10093","PANX2","PANX2"
"10094","PANX3","PANX3"
"10095","PAOX","PAOX"
"10096","PAPLN","PAPLN"
"10097","PAPOLA","PAPOLA"
"10098","PAPOLG","PAPOLG"
"10099","PAPPA","PAPPA"
"10100","PAPPA2","PAPPA2"
"10101","PAPSS1","PAPSS1"
"10102","PAPSS2","PAPSS2"
"10103","PAQR3","PAQR3"
"10104","PAQR4","PAQR4"
"10105","PAQR5","PAQR5"
"10106","PAQR6","PAQR6"
"10107","PAQR7","PAQR7"
"10108","PAQR8","PAQR8"
"10109","PAQR9","PAQR9"
"10110","PARD3","PARD3"
"10111","PARD3B","PARD3B"
"10112","PARD6A","PARD6A"
"10113","PARD6B","PARD6B"
"10114","PARD6G","PARD6G"
"10115","PARG","PARG"
"10116","PARK7","PARK7"
"10117","PARL","PARL"
"10118","PARM1","PARM1"
"10119","PARN","PARN"
"10120","PARP1","PARP1"
"10121","PARP11","PARP11"
"10122","PARP12","PARP12"
"10123","PARP14","PARP14"
"10124","PARP15","PARP15"
"10125","PARP16","PARP16"
"10126","PARP2","PARP2"
"10127","PARP3","PARP3"
"10128","PARP6","PARP6"
"10129","PARP8","PARP8"
"10130","PARP9","PARP9"
"10131","PARPBP","PARPBP"
"10132","PARS2","PARS2"
"10133","PARVA","PARVA"
"10134","PARVB","PARVB"
"10135","PARVG","PARVG"
"10136","PASD1","PASD1"
"10137","PASK","PASK"
"10138","PATE1","PATE1"
"10139","PATE2","PATE2"
"10140","PATE3","PATE3"
"10141","PATE4","PATE4"
"10142","PATJ","PATJ"
"10143","PATL1","PATL1"
"10144","PATL2","PATL2"
"10145","PATZ1","PATZ1"
"10146","PAWR","PAWR"
"10147","PAX1","PAX1"
"10148","PAX2","PAX2"
"10149","PAX3","PAX3"
"10150","PAX4","PAX4"
"10151","PAX5","PAX5"
"10152","PAX6","PAX6"
"10153","PAX7","PAX7"
"10154","PAX8","PAX8"
"10155","PAX9","PAX9"
"10156","PAXBP1","PAXBP1"
"10157","PAXIP1","PAXIP1"
"10158","PAXX","PAXX"
"10159","PBDC1","PBDC1"
"10160","PBK","PBK"
"10161","PBLD","PBLD"
"10162","PBRM1","PBRM1"
"10163","PBX1","PBX1"
"10164","PBX2","PBX2"
"10165","PBX3","PBX3"
"10166","PBX4","PBX4"
"10167","PBXIP1","PBXIP1"
"10168","PC","PC"
"10169","PCARE","PCARE"
"10170","PCBD1","PCBD1"
"10171","PCBD2","PCBD2"
"10172","PCBP1","PCBP1"
"10173","PCBP3","PCBP3"
"10174","PCBP4","PCBP4"
"10175","PCCA","PCCA"
"10176","PCCB","PCCB"
"10177","PCDH1","PCDH1"
"10178","PCDH10","PCDH10"
"10179","PCDH12","PCDH12"
"10180","PCDH15","PCDH15"
"10181","PCDH17","PCDH17"
"10182","PCDH18","PCDH18"
"10183","PCDH19","PCDH19"
"10184","PCDH20","PCDH20"
"10185","PCDH7","PCDH7"
"10186","PCDH8","PCDH8"
"10187","PCDH9","PCDH9"
"10188","PCDHAC2","PCDHAC2"
"10189","PCDHB1","PCDHB1"
"10190","PCDHB10","PCDHB10"
"10191","PCDHB13","PCDHB13"
"10192","PCDHB15","PCDHB15"
"10193","PCDHB2","PCDHB2"
"10194","PCDHB3","PCDHB3"
"10195","PCDHB4","PCDHB4"
"10196","PCDHB5","PCDHB5"
"10197","PCDHB6","PCDHB6"
"10198","PCDHB7","PCDHB7"
"10199","PCDHB8","PCDHB8"
"10200","PCDHGB5","PCDHGB5"
"10201","PCED1A","PCED1A"
"10202","PCED1B","PCED1B"
"10203","PCF11","PCF11"
"10204","PCGF1","PCGF1"
"10205","PCGF2","PCGF2"
"10206","PCGF3","PCGF3"
"10207","PCGF5","PCGF5"
"10208","PCGF6","PCGF6"
"10209","PCID2","PCID2"
"10210","PCIF1","PCIF1"
"10211","PCK1","PCK1"
"10212","PCK2","PCK2"
"10213","PCLAF","PCLAF"
"10214","PCLO","PCLO"
"10215","PCM1","PCM1"
"10216","PCMT1","PCMT1"
"10217","PCMTD1","PCMTD1"
"10218","PCMTD2","PCMTD2"
"10219","PCNA","PCNA"
"10220","PCNP","PCNP"
"10221","PCNT","PCNT"
"10222","PCNX1","PCNX1"
"10223","PCNX2","PCNX2"
"10224","PCNX3","PCNX3"
"10225","PCNX4","PCNX4"
"10226","PCOLCE","PCOLCE"
"10227","PCOLCE2","PCOLCE2"
"10228","PCP2","PCP2"
"10229","PCP4","PCP4"
"10230","PCSK1","PCSK1"
"10231","PCSK1N","PCSK1N"
"10232","PCSK2","PCSK2"
"10233","PCSK4","PCSK4"
"10234","PCSK5","PCSK5"
"10235","PCSK6","PCSK6"
"10236","PCSK7","PCSK7"
"10237","PCSK9","PCSK9"
"10238","PCTP","PCTP"
"10239","PCYOX1","PCYOX1"
"10240","PCYOX1L","PCYOX1L"
"10241","PCYT1A","PCYT1A"
"10242","PCYT1B","PCYT1B"
"10243","PCYT2","PCYT2"
"10244","PDC","PDC"
"10245","PDCD1","PDCD1"
"10246","PDCD10","PDCD10"
"10247","PDCD11","PDCD11"
"10248","PDCD1LG2","PDCD1LG2"
"10249","PDCD2","PDCD2"
"10250","PDCD2L","PDCD2L"
"10251","PDCD4","PDCD4"
"10252","PDCD5","PDCD5"
"10253","PDCD6IP","PDCD6IP"
"10254","PDCD7","PDCD7"
"10255","PDCL","PDCL"
"10256","PDCL2","PDCL2"
"10257","PDE10A","PDE10A"
"10258","PDE11A","PDE11A"
"10259","PDE12","PDE12"
"10260","PDE1A","PDE1A"
"10261","PDE1B","PDE1B"
"10262","PDE1C","PDE1C"
"10263","PDE3A","PDE3A"
"10264","PDE3B","PDE3B"
"10265","PDE4A","PDE4A"
"10266","PDE4B","PDE4B"
"10267","PDE4C","PDE4C"
"10268","PDE4D","PDE4D"
"10269","PDE5A","PDE5A"
"10270","PDE6A","PDE6A"
"10271","PDE6B","PDE6B"
"10272","PDE6C","PDE6C"
"10273","PDE6D","PDE6D"
"10274","PDE6G","PDE6G"
"10275","PDE7A","PDE7A"
"10276","PDE7B","PDE7B"
"10277","PDE8A","PDE8A"
"10278","PDE9A","PDE9A"
"10279","PDF","PDF"
"10280","PDGFA","PDGFA"
"10281","PDGFB","PDGFB"
"10282","PDGFC","PDGFC"
"10283","PDGFD","PDGFD"
"10284","PDGFRA","PDGFRA"
"10285","PDGFRB","PDGFRB"
"10286","PDGFRL","PDGFRL"
"10287","PDHA1","PDHA1"
"10288","PDHA2","PDHA2"
"10289","PDHB","PDHB"
"10290","PDHX","PDHX"
"10291","PDIA2","PDIA2"
"10292","PDIA3","PDIA3"
"10293","PDIA4","PDIA4"
"10294","PDIA5","PDIA5"
"10295","PDIA6","PDIA6"
"10296","PDIK1L","PDIK1L"
"10297","PDILT","PDILT"
"10298","PDK1","PDK1"
"10299","PDK2","PDK2"
"10300","PDK3","PDK3"
"10301","PDK4","PDK4"
"10302","PDLIM1","PDLIM1"
"10303","PDLIM2","PDLIM2"
"10304","PDLIM3","PDLIM3"
"10305","PDLIM4","PDLIM4"
"10306","PDLIM5","PDLIM5"
"10307","PDLIM7","PDLIM7"
"10308","PDP1","PDP1"
"10309","PDP2","PDP2"
"10310","PDPK1","PDPK1"
"10311","PDPN","PDPN"
"10312","PDPR","PDPR"
"10313","PDRG1","PDRG1"
"10314","PDS5A","PDS5A"
"10315","PDS5B","PDS5B"
"10316","PDSS1","PDSS1"
"10317","PDSS2","PDSS2"
"10318","PDX1","PDX1"
"10319","PDXDC1","PDXDC1"
"10320","PDXK","PDXK"
"10321","PDYN","PDYN"
"10322","PDZD11","PDZD11"
"10323","PDZD2","PDZD2"
"10324","PDZD4","PDZD4"
"10325","PDZD7","PDZD7"
"10326","PDZD8","PDZD8"
"10327","PDZD9","PDZD9"
"10328","PDZK1","PDZK1"
"10329","TAL1","PDZK1IP1"
"10330","PDZRN3","PDZRN3"
"10331","PDZRN4","PDZRN4"
"10332","PEA15","PEA15"
"10333","PEAK1","PEAK1"
"10334","PEAK3","PEAK3"
"10335","PEAR1","PEAR1"
"10336","PEBP4","PEBP4"
"10337","PECAM1","PECAM1"
"10338","PECR","PECR"
"10339","PEG3","PEG3"
"10340","PELI1","PELI1"
"10341","PELI2","PELI2"
"10342","PELI3","PELI3"
"10343","PELO","PELO"
"10344","PELP1","PELP1"
"10345","PEMT","PEMT"
"10346","PENK","PENK"
"10347","PEPD","PEPD"
"10348","PER1","PER1"
"10349","PER2","PER2"
"10350","PER3","PER3"
"10351","PERM1","PERM1"
"10352","PERP","PERP"
"10353","PES1","PES1"
"10354","PET100","PET100"
"10355","PEX1","PEX1"
"10356","PEX10","PEX10"
"10357","PEX11A","PEX11A"
"10358","PEX11B","PEX11B"
"10359","PEX11G","PEX11G"
"10360","PEX12","PEX12"
"10361","PEX13","PEX13"
"10362","PEX14","PEX14"
"10363","PEX16","PEX16"
"10364","PEX2","PEX2"
"10365","PEX26","PEX26"
"10366","PEX3","PEX3"
"10367","PEX5","PEX5"
"10368","PEX5L","PEX5L"
"10369","PEX6","PEX6"
"10370","PEX7","PEX7"
"10371","PF4","PF4"
"10372","PF4V1","PF4V1"
"10373","PFAS","PFAS"
"10374","PFDN1","PFDN1"
"10375","PFDN2","PFDN2"
"10376","PFDN4","PFDN4"
"10377","PFDN5","PFDN5"
"10378","PFDN6","PFDN6"
"10379","PFKFB1","PFKFB1"
"10380","PFKFB2","PFKFB2"
"10381","PFKFB3","PFKFB3"
"10382","PFKFB4","PFKFB4"
"10383","PFKL","PFKL"
"10384","PFKM","PFKM"
"10385","PFN1","PFN1"
"10386","PFN3","PFN3"
"10387","PFN4","PFN4"
"10388","PGA4","PGA4"
"10389","PGAM1","PGAM1"
"10390","PGAM2","PGAM2"
"10391","PGAM4","PGAM4"
"10392","PGAM5","PGAM5"
"10393","PGAP1","PGAP1"
"10394","PGAP2","PGAP2"
"10395","PGAP3","PGAP3"
"10396","PGAP4","PGAP4"
"10397","PGAP6","PGAP6"
"10398","PGBD1","PGBD1"
"10399","PGBD2","PGBD2"
"10400","PGBD4","PGBD4"
"10401","PGBD5","PGBD5"
"10402","PGC","PGC"
"10403","PGD","PGD"
"10404","PGF","PGF"
"10405","PGGHG","PGGHG"
"10406","PGGT1B","PGGT1B"
"10407","PGK1","PGK1"
"10408","PGK2","PGK2"
"10409","PGLS","PGLS"
"10410","PGLYRP1","PGLYRP1"
"10411","PGLYRP2","PGLYRP2"
"10412","PGLYRP3","PGLYRP3"
"10413","PGLYRP4","PGLYRP4"
"10414","PGM1","PGM1"
"10415","PGM2","PGM2"
"10416","PGM2L1","PGM2L1"
"10417","PGM3","PGM3"
"10418","PGM5","PGM5"
"10419","PGP","PGP"
"10420","PGPEP1","PGPEP1"
"10421","PGPEP1L","PGPEP1L"
"10422","PGR","PGR"
"10423","PGRMC1","PGRMC1"
"10424","PGRMC2","PGRMC2"
"10425","PGS1","PGS1"
"10426","PHACTR1","PHACTR1"
"10427","PHACTR2","PHACTR2"
"10428","PHACTR3","PHACTR3"
"10429","PHACTR4","PHACTR4"
"10430","PHAF1","PHAF1"
"10431","PHAX","PHAX"
"10432","PHB1","PHB1"
"10433","PHB2","PHB2"
"10434","PHC1","PHC1"
"10435","PHC2","PHC2"
"10436","PHC3","PHC3"
"10437","PHETA2","PHETA2"
"10438","PHEX","PHEX"
"10439","PHF1","PHF1"
"10440","PHF10","PHF10"
"10441","PHF11","PHF11"
"10442","PHF12","PHF12"
"10443","PHF13","PHF13"
"10444","PHF14","PHF14"
"10445","PHF19","PHF19"
"10446","PHF2","PHF2"
"10447","PHF20","PHF20"
"10448","PHF20L1","PHF20L1"
"10449","PHF21A","PHF21A"
"10450","PHF21B","PHF21B"
"10451","PHF23","PHF23"
"10452","PHF24","PHF24"
"10453","PHF3","PHF3"
"10454","PHF5A","PHF5A"
"10455","PHF6","PHF6"
"10456","PHF7","PHF7"
"10457","PHF8","PHF8"
"10458","PHGDH","PHGDH"
"10459","PHGR1","PHGR1"
"10460","PHIP","PHIP"
"10461","PHKA1","PHKA1"
"10462","PHKA2","PHKA2"
"10463","PHKB","PHKB"
"10464","PHKG1","PHKG1"
"10465","PHKG2","PHKG2"
"10466","PHLDA1","PHLDA1"
"10467","PHLDA2","PHLDA2"
"10468","PHLDA3","PHLDA3"
"10469","PHLDB1","PHLDB1"
"10470","PHLDB2","PHLDB2"
"10471","PHLDB3","PHLDB3"
"10472","PHLPP1","PHLPP1"
"10473","PHLPP2","PHLPP2"
"10474","PHOSPHO1","PHOSPHO1"
"10475","PHOSPHO2","PHOSPHO2"
"10476","PHOX2A","PHOX2A"
"10477","PHOX2B","PHOX2B"
"10478","PHPT1","PHPT1"
"10479","PHRF1","PHRF1"
"10480","PHTF1","PHTF1"
"10481","PHTF2","PHTF2"
"10482","PHYH","PHYH"
"10483","PHYHD1","PHYHD1"
"10484","PHYHIP","PHYHIP"
"10485","PHYHIPL","PHYHIPL"
"10486","PHYKPL","PHYKPL"
"10487","PI15","PI15"
"10488","PI16","PI16"
"10489","PI3","PI3"
"10490","PI4K2A","PI4K2A"
"10491","PI4K2B","PI4K2B"
"10492","PI4KA","PI4KA"
"10493","PI4KB","PI4KB"
"10494","PIANP","PIANP"
"10495","PIAS1","PIAS1"
"10496","PIAS2","PIAS2"
"10497","PIAS4","PIAS4"
"10498","PIBF1","PIBF1"
"10499","PICALM","PICALM"
"10500","PICK1","PICK1"
"10501","PID1","PID1"
"10502","PIDD1","PIDD1"
"10503","PIERCE1","PIERCE1"
"10504","PIERCE2","PIERCE2"
"10505","PIEZO1","PIEZO1"
"10506","PIEZO2","PIEZO2"
"10507","PIF1","PIF1"
"10508","PIGA","PIGA"
"10509","PIGB","PIGB"
"10510","PIGC","PIGC"
"10511","PIGF","PIGF"
"10512","PIGG","PIGG"
"10513","PIGH","PIGH"
"10514","PIGK","PIGK"
"10515","PIGL","PIGL"
"10516","PIGM","PIGM"
"10517","PIGN","PIGN"
"10518","PIGO","PIGO"
"10519","PIGP","PIGP"
"10520","PIGQ","PIGQ"
"10521","PIGR","PIGR"
"10522","PIGS","PIGS"
"10523","PIGT","PIGT"
"10524","PIGU","PIGU"
"10525","PIGV","PIGV"
"10526","PIGW","PIGW"
"10527","PIGX","PIGX"
"10528","PYURF","PIGY"
"10529","PIGZ","PIGZ"
"10530","PIH1D1","PIH1D1"
"10531","PIH1D2","PIH1D2"
"10532","PIK3AP1","PIK3AP1"
"10533","PIK3C2A","PIK3C2A"
"10534","PIK3C2B","PIK3C2B"
"10535","PIK3C2G","PIK3C2G"
"10536","PIK3C3","PIK3C3"
"10537","PIK3CA","PIK3CA"
"10538","PIK3CB","PIK3CB"
"10539","PIK3CD","PIK3CD"
"10540","PIK3CG","PIK3CG"
"10541","PIK3IP1","PIK3IP1"
"10542","PIK3R1","PIK3R1"
"10543","PIK3R2","PIK3R2"
"10544","PIK3R3","PIK3R3"
"10545","PIK3R4","PIK3R4"
"10546","PIK3R5","PIK3R5"
"10547","PIK3R6","PIK3R6"
"10548","PIKFYVE","PIKFYVE"
"10549","PILRA","PILRA"
"10550","PIM1","PIM1"
"10551","PIM2","PIM2"
"10552","PIM3","PIM3"
"10553","PIMREG","PIMREG"
"10554","PIN1","PIN1"
"10555","PIN4","PIN4"
"10556","PINK1","PINK1"
"10557","PINLYP","PINLYP"
"10558","PINX1","PINX1"
"10559","PIP","PIP"
"10560","PIP4K2A","PIP4K2A"
"10561","PIP4K2B","PIP4K2B"
"10562","PIP4K2C","PIP4K2C"
"10563","PIP4P1","PIP4P1"
"10564","PIP4P2","PIP4P2"
"10565","PIP5K1A","PIP5K1A"
"10566","PIP5K1B","PIP5K1B"
"10567","PIP5K1C","PIP5K1C"
"10568","PIP5KL1","PIP5KL1"
"10569","PIPOX","PIPOX"
"10570","PIR","PIR"
"10571","PIRT","PIRT"
"10572","PISD","PISD"
"10573","PITHD1","PITHD1"
"10574","PITPNA","PITPNA"
"10575","PITPNB","PITPNB"
"10576","PITPNM1","PITPNM1"
"10577","PITPNM2","PITPNM2"
"10578","PITPNM3","PITPNM3"
"10579","PITRM1","PITRM1"
"10580","PITX1","PITX1"
"10581","PITX2","PITX2"
"10582","PITX3","PITX3"
"10583","PIWIL1","PIWIL1"
"10584","PIWIL2","PIWIL2"
"10585","PIWIL3","PIWIL3"
"10586","PIWIL4","PIWIL4"
"10587","PJA1","PJA1"
"10588","PJA2","PJA2"
"10589","PJVK","PJVK"
"10590","PKD1","PKD1"
"10591","PKD1L1","PKD1L1"
"10592","PKD1L3","PKD1L3"
"10593","PKD2","PKD2"
"10594","PKD2L1","PKD2L1"
"10595","PKD2L2","PKD2L2"
"10596","PKDCC","PKDCC"
"10597","PKDREJ","PKDREJ"
"10598","PKHD1","PKHD1"
"10599","PKHD1L1","PKHD1L1"
"10600","PKIB","PKIB"
"10601","PKIG","PKIG"
"10602","PKLR","PKLR"
"10603","PKMYT1","PKMYT1"
"10604","PKN1","PKN1"
"10605","PKN2","PKN2"
"10606","PKN3","PKN3"
"10607","PKNOX1","PKNOX1"
"10608","PKNOX2","PKNOX2"
"10609","PKP1","PKP1"
"10610","PKP2","PKP2"
"10611","PKP3","PKP3"
"10612","PKP4","PKP4"
"10613","PLA1A","PLA1A"
"10614","PLA2G10","PLA2G10"
"10615","PLA2G12B","PLA2G12B"
"10616","PLA2G15","PLA2G15"
"10617","PLA2G1B","PLA2G1B"
"10618","PLA2G2A","PLA2G2A"
"10619","PLA2G2C","PLA2G2C"
"10620","PLA2G2D","PLA2G2D"
"10621","PLA2G2E","PLA2G2E"
"10622","PLA2G2F","PLA2G2F"
"10623","PLA2G3","PLA2G3"
"10624","PLA2G4A","PLA2G4A"
"10625","PLA2G4B","PLA2G4B"
