"","human_gene","rat_gene"
"8578","SNORA38B","LOC120101256"
"8579","RNA5-8SN5","LOC120101316"
"8580","RNU1-11P","LOC120101379"
"8581","RNU1-141P","LOC120101381"
"8582","RNA5-8SN5","LOC120101382"
"8583","RNU1-8P","LOC120101388"
"8584","RNA5-8SN5","LOC120101393"
"8585","OR8U1","LOC120101448"
"8586","SRM","LOC120101528"
"8587","FABP5","LOC120101547"
"8588","NDUFA7","LOC120101567"
"8589","SLC28A2","LOC120101643"
"8590","SLC28A2","LOC120101644"
"8591","RPS14","LOC120101650"
"8592","OR4A16","LOC120101681"
"8593","NDRG3","LOC120101769"
"8594","RPL13","LOC120101775"
"8595","RNU6-23P","LOC120101933"
"8596","RNU6-916P","LOC120101936"
"8597","RNU6-936P","LOC120101941"
"8598","RNU6-472P","LOC120101948"
"8599","RNU6-360P","LOC120101949"
"8600","RNU6-212P","LOC120101950"
"8601","RNU6-847P","LOC120101953"
"8602","RNU6-1107P","LOC120101961"
"8603","RNU6-381P","LOC120101962"
"8604","RNU6-1273P","LOC120101963"
"8605","RNU6-689P","LOC120101966"
"8606","RNA5-8SN5","LOC120101968"
"8607","RNU6-100P","LOC120101970"
"8608","RNU6-328P","LOC120101977"
"8609","RNA5-8SN5","LOC120101979"
"8610","SNORD36A","LOC120101982"
"8611","SNORD36B","LOC120101983"
"8612","SNORD36C","LOC120101984"
"8613","SNORA71","LOC120101987"
"8614","SNORA2C","LOC120102015"
"8615","SNORA17B","LOC120102017"
"8616","SNORA18","LOC120102019"
"8617","RNVU1-34","LOC120102023"
"8618","RNU1-62P","LOC120102034"
"8619","RNU1-96P","LOC120102057"
"8620","SNORA79","LOC120102092"
"8621","RNU6ATAC","LOC120102096"
"8622","SCARNA10","LOC120102104"
"8623","RNU2-32P","LOC120102107"
"8624","RNU2-70P","LOC120102108"
"8625","RNU2-35P","LOC120102112"
"8626","RNU4-64P","LOC120102127"
"8627","RNU4-29P","LOC120102128"
"8628","RNU6-214P","LOC120102134"
"8629","MIF","LOC120102174"
"8630","SAMD9L","LOC120102230"
"8631","VN1R5","LOC120102341"
"8632","RYBP","LOC120102351"
"8633","SENP2","LOC120102396"
"8634","SENP2","LOC120102398"
"8635","CHP1","LOC120102456"
"8636","INSIG1","LOC120102490"
"8637","CKS2","LOC120102505"
"8638","RNU4-22P","LOC120102554"
"8639","RNA5-8SN5","LOC120102558"
"8640","RNU6-656P","LOC120102565"
"8641","RNA5-8SN5","LOC120102569"
"8642","RNU6-546P","LOC120102573"
"8643","RNU6-1271P","LOC120102576"
"8644","RNA5-8SN5","LOC120102580"
"8645","RNU6-653P","LOC120102584"
"8646","RNU6-212P","LOC120102585"
"8647","RNU6-581P","LOC120102586"
"8648","RNU6-192P","LOC120102588"
"8649","RNA5-8SN5","LOC120102591"
"8650","RNU6-829P","LOC120102593"
"8651","RNU6-410P","LOC120102599"
"8652","RNA5-8SN5","LOC120102602"
"8653","RNU6-1051P","LOC120102603"
"8654","RNU6-983P","LOC120102607"
"8655","SNORA71","LOC120102609"
"8656","RNA5-8SN5","LOC120102613"
"8657","RNU7-49P","LOC120102619"
"8658","RNA5-8SN5","LOC120102624"
"8659","SNORA70","LOC120102625"
"8660","RNA5-8SN5","LOC120102635"
"8661","SNORA7B","LOC120102637"
"8662","SNORA2C","LOC120102639"
"8663","SNORA29","LOC120102642"
"8664","RNU11-5P","LOC120102644"
"8665","RNA5-8SN5","LOC120102646"
"8666","SNORD93","LOC120102743"
"8667","SCARNA12","LOC120102747"
"8668","RNU2-36P","LOC120102752"
"8669","RNU2-45P","LOC120102753"
"8670","RNU2-60P","LOC120102759"
"8671","RNA5-8SN5","LOC120102761"
"8672","RNA5-8SN5","LOC120102772"
"8673","RNU4-89P","LOC120102777"
"8674","RBM12B","LOC120102832"
"8675","PRRC2C","LOC120102902"
"8676","LAD1","LOC120102904"
"8677","NDUFA3","LOC120103106"
"8678","PRAMEF12","LOC120103107"
"8679","OR13C3","LOC120103150"
"8680","COX6B1","LOC120103152"
"8681","IFNA13","LOC120103158"
"8682","IFNA13","LOC120103159"
"8683","IFNA13","LOC120103160"
"8684","IFNA13","LOC120103161"
"8685","IFNA13","LOC120103162"
"8686","IFNA13","LOC120103163"
"8687","IFNA13","LOC120103164"
"8688","RNU6-38P","LOC120103190"
"8689","RNA5-8SN5","LOC120103191"
"8690","RNU6-38P","LOC120103192"
"8691","RNU6-958P","LOC120103196"
"8692","RNU6-38P","LOC120103200"
"8693","RNU6-184P","LOC120103201"
"8694","RNU6-1262P","LOC120103203"
"8695","RNU6-971P","LOC120103204"
"8696","RNU6-38P","LOC120103205"
"8697","RNU6-38P","LOC120103207"
"8698","RNU6-455P","LOC120103209"
"8699","RNU6-38P","LOC120103211"
"8700","RNU1-16P","LOC120103213"
"8701","RNU6-590P","LOC120103214"
"8702","RNU6-1261P","LOC120103217"
"8703","RNU6-371P","LOC120103218"
"8704","RNU6-813P","LOC120103219"
"8705","RNU6-724P","LOC120103221"
"8706","RNU1-54P","LOC120103224"
"8707","RNU6-1125P","LOC120103226"
"8708","RNU6-1027P","LOC120103227"
"8709","RNU6-754P","LOC120103229"
"8710","U6","LOC120103233"
"8711","RNU6-1328P","LOC120103234"
"8712","RNU1-36P","LOC120103235"
"8713","RNU6-1276P","LOC120103237"
"8714","SNORA73A","LOC120103239"
"8715","SNORA73A","LOC120103240"
"8716","RNU1-8P","LOC120103246"
"8717","SNORD73A","LOC120103251"
"8718","SNORD104","LOC120103267"
"8719","SNORA2C","LOC120103276"
"8720","SNORA2C","LOC120103277"
"8721","SNORA55","LOC120103284"
"8722","U2","LOC120103289"
"8723","SNORD121A","LOC120103358"
"8724","RNU2-18P","LOC120103361"
"8725","RNU2-17P","LOC120103364"
"8726","RNU4-5P","LOC120103371"
"8727","RNU5E-1","LOC120103376"
"8728","RNU5E-1","LOC120103377"
"8729","RNU5E-1","LOC120103378"
"8730","RNU6-9","LOC120103380"
"8731","RNU6-32P","LOC120103384"
"8732","DDX41","LOC120103587"
"8733","C19orf53","LOC288913"
"8734","C13orf46","LOC290876"
"8735","CES1","LOC291863"
"8736","PZP","LOC297568"
"8737","SERPINA3","LOC299277"
"8738","LY6S","LOC300024"
"8739","DBI","LOC301444"
"8740","RALBP1","LOC304239"
"8741","RPL14","LOC306079"
"8742","KIAA1191","LOC306766"
"8743","PRPS1","LOC314140"
"8744","LPGAT1","LOC317456"
"8745","C18orf54","LOC361346"
"8746","FAM32A","LOC365238"
"8747","SUPT20HL1","LOC367830"
"8748","HRAS","LOC367858"
"8749","C7orf50","LOC498154"
"8750","FIRRM","LOC498265"
"8751","FCGR2A","LOC498276"
"8752","DEGS1","LOC498300"
"8753","C4orf19","LOC498368"
"8754","RPLP2","LOC498555"
"8755","C3orf62","LOC498675"
"8756","C4orf51","LOC498933"
"8757","SPMIP2","LOC499643"
"8758","YAE1","LOC500028"
"8759","SPMIP4","LOC500124"
"8760","CLEC2D","LOC500331"
"8761","C12orf60","LOC500354"
"8762","OR13F1","LOC500460"
"8763","C9orf43","LOC500475"
"8764","ZNF34","LOC500584"
"8765","C12orf50","LOC500827"
"8766","CXorf49B","LOC500876"
"8767","TPI1","LOC500959"
"8768","C20orf96","LOC502684"
"8769","H3-7","LOC678708"
"8770","CES2","LOC679149"
"8771","CES2","LOC679368"
"8772","UBE2V1","LOC679539"
"8773","ATP5MG","LOC679690"
"8774","MIF","LOC679748"
"8775","NDRG3","LOC679863"
"8776","KLHDC2","LOC679960"
"8777","KIAA0232","LOC680039"
"8778","C3orf84","LOC680045"
"8779","CLDN34","LOC680190"
"8780","SSB","LOC680385"
"8781","RPL14","LOC680579"
"8782","RPL10A","LOC680700"
"8783","C10orf53","LOC680885"
"8784","C16orf78","LOC680913"
"8785","SPMIP5","LOC681006"
"8786","HMGB4","LOC681067"
"8787","POLR2L","LOC681193"
"8788","C10orf67","LOC681241"
"8789","CXXC5","LOC681300"
"8790","ANTXRL","LOC681303"
"8791","BAX","LOC681314"
"8792","C6orf226","LOC681367"
"8793","CENPW","LOC681382"
"8794","HRG","LOC681544"
"8795","C1orf94","LOC682102"
"8796","ZNF34","LOC682225"
"8797","KRT6B","LOC683313"
"8798","RGCC","LOC683573"
"8799","PRSS1","LOC683849"
"8800","OR52I2","LOC684179"
"8801","C19orf85","LOC684792"
"8802","ZNF75D","LOC684932"
"8803","H2AZ2","LOC685069"
"8804","ANKRD62","LOC685184"
"8805","C2orf88","LOC685203"
"8806","HINT1","LOC685311"
"8807","UQCRB","LOC685596"
"8808","C3orf52","LOC685680"
"8809","CXorf58","LOC685700"
"8810","TPT1","LOC685718"
"8811","ISG20L2","LOC685776"
"8812","PRAMEF20","LOC685782"
"8813","CT55","LOC685790"
"8814","C3orf22","LOC685964"
"8815","C19orf67","LOC686013"
"8816","C2orf66","LOC686030"
"8817","FANCD2OS","LOC686031"
"8818","FANCD2OS","LOC686042"
"8819","RPL35","LOC686074"
"8820","MOSPD1","LOC686087"
"8821","KPLCE","LOC686143"
"8822","KRTAP10-11","LOC686720"
"8823","APOO","LOC687056"
"8824","OR5P3","LOC687082"
"8825","OR5B17","LOC687097"
"8826","C16orf95","LOC687560"
"8827","KRTAP10-11","LOC687631"
"8828","C17orf107","LOC687707"
"8829","FAU","LOC687780"
"8830","C17orf99","LOC688282"
"8831","C7orf57","LOC688553"
"8832","HMGB4","LOC688702"
"8833","RPL22L1","LOC688712"
"8834","PTP4A1","LOC688760"
"8835","PHB1","LOC688815"
"8836","CXorf66","LOC688842"
"8837","CD209","LOC688858"
"8838","C17orf50","LOC689039"
"8839","C11orf86","LOC689065"
"8840","CST3","LOC689220"
"8841","CSTA","LOC689230"
"8842","H2AZ2","LOC689408"
"8843","C1orf185","LOC689589"
"8844","CLEC2D","LOC689757"
"8845","CLEC2D","LOC689770"
"8846","CLEC2D","LOC689800"
"8847","RPL24","LOC689816"
"8848","HAVCR1","LOC689968"
"8849","C19orf12","LOC690000"
"8850","KIAA0586","LOC690035"
"8851","C2orf78","LOC690114"
"8852","SENP5","LOC690251"
"8853","KRTAP10-11","LOC690415"
"8854","KRTAP10-4","LOC690478"
"8855","MS4A4A","LOC690862"
"8856","HMGB4","LOC691030"
"8857","FAM111A","LOC691074"
"8858","C2orf68","LOC691113"
"8859","C19orf38","LOC691141"
"8860","SPMAP1","LOC691189"
"8861","AADACL4","LOC691196"
"8862","ZNF34","LOC691254"
"8863","C1orf127","LOC691354"
"8864","C15orf62","LOC691418"
"8865","ATP5MJ","LOC691427"
"8866","ANKRD62","LOC691519"
"8867","APH1B","LOC691658"
"8868","GZMH","LOC691670"
"8869","UBE2R2","LOC691764"
"8870","IGHV4-59","LOC691778"
"8871","IGHV4-61","LOC691815"
"8872","LRRTM1","LRRTM1"
"8873","LACC1","Lacc1"
"8874","LACTB","Lactb"
"8875","LACTB2","Lactb2"
"8876","LACTBL1","Lactbl1"
"8877","LAD1","Lad1"
"8878","LAG3","Lag3"
"8879","LAIR1","Lair1"
"8880","LALBA","Lalba"
"8881","LAMA1","Lama1"
"8882","LAMA2","Lama2"
"8883","LAMA3","Lama3"
"8884","LAMA4","Lama4"
"8885","LAMA5","Lama5"
"8886","LAMB1","Lamb1"
"8887","LAMB2","Lamb2"
"8888","LAMB3","Lamb3"
"8889","LAMC1","Lamc1"
"8890","LAMC2","Lamc2"
"8891","LAMC3","Lamc3"
"8892","LAMP1","Lamp1"
"8893","LAMP2","Lamp2"
"8894","LAMP5","Lamp5"
"8895","LAMTOR1","Lamtor1"
"8896","LAMTOR3","Lamtor3"
"8897","LAMTOR4","Lamtor4"
"8898","LAMTOR5","Lamtor5"
"8899","LANCL1","Lancl1"
"8900","LANCL2","Lancl2"
"8901","LANCL3","Lancl3"
"8902","LAP3","Lap3"
"8903","LAPTM4A","Laptm4a"
"8904","LAPTM4B","Laptm4b"
"8905","LAPTM5","Laptm5"
"8906","LARGE1","Large1"
"8907","LARGE2","Large2"
"8908","LARP1","Larp1"
"8909","LARP1B","Larp1b"
"8910","LARP4","Larp4"
"8911","LARP4B","Larp4b"
"8912","LARP6","Larp6"
"8913","LARP7","Larp7"
"8914","LARS1","Lars1"
"8915","LARS2","Lars2"
"8916","LAS1L","Las1l"
"8917","LASP1","Lasp1"
"8918","LAT","Lat"
"8919","LAT2","Lat2"
"8920","LATS1","Lats1"
"8921","LATS2","Lats2"
"8922","LAX1","Lax1"
"8923","LAYN","Layn"
"8924","LBH","Lbh"
"8925","LBP","Lbp"
"8926","LBR","Lbr"
"8927","LBX1","Lbx1"
"8928","LBX2","Lbx2"
"8929","LCA5","Lca5"
"8930","LCA5L","Lca5l"
"8931","LCAT","Lcat"
"8932","LCE5A","Lce1g"
"8933","LCK","Lck"
"8934","LCLAT1","Lclat1"
"8935","LCMT1","Lcmt1"
"8936","LCMT2","Lcmt2"
"8937","LCN1","Lcn1"
"8938","LCN10","Lcn10"
"8939","LCN2","Lcn2"
"8940","LCN6","Lcn6"
"8941","LCN8","Lcn8"
"8942","LCN9","Lcn9"
"8943","LCOR","Lcor"
"8944","LCORL","Lcorl"
"8945","LCP1","Lcp1"
"8946","LCP2","Lcp2"
"8947","LCT","Lct"
"8948","LCTL","Lctl"
"8949","LDAF1","Ldaf1"
"8950","LDAH","Ldah"
"8951","LDB1","Ldb1"
"8952","LDB2","Ldb2"
"8953","LDB3","Ldb3"
"8954","LDHAL6B","Ldhal6b"
"8955","LDHB","Ldhb"
"8956","LDHC","Ldhc"
"8957","LDHD","Ldhd"
"8958","LDLR","Ldlr"
"8959","LDLRAD1","Ldlrad1"
"8960","LDLRAD2","Ldlrad2"
"8961","LDLRAD3","Ldlrad3"
"8962","LDLRAD4","Ldlrad4"
"8963","LDLRAP1","Ldlrap1"
"8964","LDOC1","Ldoc1"
"8965","LEAP2","Leap2"
"8966","LECT2","Lect2"
"8967","LEF1","Lef1"
"8968","LEFTY1","Lefty1"
"8969","LEFTY2","Lefty2"
"8970","C6orf58","Leg1"
"8971","LEKR1","Lekr1"
"8972","LEMD1","Lemd1"
"8973","LEMD3","Lemd3"
"8974","LENEP","Lenep"
"8975","LENG1","Leng1"
"8976","LENG8","Leng8"
"8977","LENG9","Leng9"
"8978","LEO1","Leo1"
"8979","LEP","Lep"
"8980","LEPR","Lepr"
"8981","LEPROT","Leprot"
"8982","LEPROTL1","Leprotl1"
"8983","LETM1","Letm1"
"8984","LETM2","Letm2"
"8985","LETMD1","Letmd1"
"8986","CIMAP2","Lexm"
"8987","LFNG","Lfng"
"8988","LGALS1","Lgals1"
"8989","LGALS12","Lgals12"
"8990","LGALS2","Lgals2"
"8991","LGALS3","Lgals3"
"8992","LGALS3BP","Lgals3bp"
"8993","LGALS4","Lgals4"
"8994","LGALS14","Lgals5"
"8995","LGALS7","Lgals7"
"8996","LGALS8","Lgals8"
"8997","LGALS14","Lgals9"
"8998","LGALSL","Lgalsl"
"8999","LGI1","Lgi1"
"9000","LGI2","Lgi2"
"9001","LGI3","Lgi3"
"9002","LGI4","Lgi4"
"9003","LGMN","Lgmn"
"9004","LGR4","Lgr4"
"9005","LGR5","Lgr5"
"9006","LGR6","Lgr6"
"9007","LGSN","Lgsn"
"9008","SAXO3","Lhb"
"9009","LHCGR","Lhcgr"
"9010","LHFPL1","Lhfpl1"
"9011","LHFPL2","Lhfpl2"
"9012","LHFPL4","Lhfpl4"
"9013","LHFPL5","Lhfpl5"
"9014","LHFPL6","Lhfpl6"
"9015","LHFPL7","Lhfpl7"
"9016","LHPP","Lhpp"
"9017","LHX1","Lhx1"
"9018","LHX2","Lhx2"
"9019","LHX3","Lhx3"
"9020","LHX4","Lhx4"
"9021","LHX5","Lhx5"
"9022","LHX6","Lhx6"
"9023","LHX8","Lhx8"
"9024","LHX9","Lhx9"
"9025","LIAS","Lias"
"9026","LIF","Lif"
"9027","LIFR","Lifr"
"9028","LIG1","Lig1"
"9029","LIG3","Lig3"
"9030","LIG4","Lig4"
"9031","LILRA5","Lilra5"
"9032","LILRA6","Lilrb1"
"9033","LILRB3","Lilrb2"
"9034","LILRB3","Lilrb3"
"9035","LILRB3","Lilrb3l"
"9036","LILRB3","Lilrb4"
"9037","LILRA5","Lilrc2"
"9038","LIM2","Lim2"
"9039","LIMA1","Lima1"
"9040","LIMCH1","Limch1"
"9041","LIMD1","Limd1"
"9042","LIMD2","Limd2"
"9043","LIME1","Lime1"
"9044","LIMK1","Limk1"
"9045","LIMK2","Limk2"
"9046","LIMS3","Lims1"
"9047","LIMS2","Lims2"
"9048","LIN28A","Lin28a"
"9049","LIN28B","Lin28b"
"9050","LIN37","Lin37"
"9051","LIN52","Lin52"
"9052","LIN54","Lin54"
"9053","LIN7A","Lin7a"
"9054","LIN7B","Lin7b"
"9055","LIN7C","Lin7c"
"9056","LIN9","Lin9"
"9057","LINGO1","Lingo1"
"9058","LINGO2","Lingo2"
"9059","LINGO3","Lingo3"
"9060","LINGO4","Lingo4"
"9061","LINS1","Lins1"
"9062","LIPA","Lipa"
"9063","LIPC","Lipc"
"9064","LIPE","Lipe"
"9065","LIPF","Lipf"
"9066","LIPG","Lipg"
"9067","LIPH","Liph"
"9068","LIPI","Lipi"
"9069","LIPK","Lipk"
"9070","LIPM","Lipm"
"9071","LIPN","Lipn"
"9072","LIPT1","Lipt1"
"9073","LIPT2","Lipt2"
"9074","LITAF","Litaf"
"9075","LITAFD","Litafd"
"9076","LIX1","Lix1"
"9077","LIX1L","Lix1l"
"9078","LKAAEAR1","Lkaaear1"
"9079","LLCFC1","Llcfc1"
"9080","LLGL1","Llgl1"
"9081","LLGL2","Llgl2"
"9082","LLPH","Llph-ps1"
"9083","LMAN1","Lman1"
"9084","LMAN1L","Lman1l"
"9085","LMAN2","Lman2"
"9086","LMAN2L","Lman2l"
"9087","LMBR1","Lmbr1"
"9088","LMBR1L","Lmbr1l"
"9089","LMBRD1","Lmbrd1"
"9090","LMBRD2","Lmbrd2"
"9091","LMCD1","Lmcd1"
"9092","LMF1","Lmf1"
"9093","LMLN","Lmln"
"9094","LMNA","Lmna"
"9095","LMNB1","Lmnb1"
"9096","LMNB2","Lmnb2"
"9097","LMNTD1","Lmntd1"
"9098","LMNTD2","Lmntd2"
"9099","LMO1","Lmo1"
"9100","LMO2","Lmo2"
"9101","LMO3","Lmo3"
"9102","LMO4","Lmo4"
"9103","LMO7","Lmo7"
"9104","LMOD1","Lmod1"
"9105","LMOD2","Lmod2"
"9106","LMOD3","Lmod3"
"9107","LMTK2","Lmtk2"
"9108","LMTK3","Lmtk3"
"9109","LMX1A","Lmx1a"
"9110","LMX1B","Lmx1b"
"9111","LNP1","Lnp1"
"9112","LNPEP","Lnpep"
"9113","LNPK","Lnpk"
"9114","LNX1","Lnx1"
"9115","LNX2","Lnx2"
"9116","LONP1","Lonp1"
"9117","LONP2","Lonp2"
"9118","LONRF1","Lonrf1"
"9119","LONRF2","Lonrf2"
"9120","LONRF3","Lonrf3"
"9121","LOX","Lox"
"9122","LOXHD1","Loxhd1"
"9123","LOXL1","Loxl1"
"9124","LOXL2","Loxl2"
"9125","LOXL3","Loxl3"
"9126","LOXL4","Loxl4"
"9127","LPA","Lpal2"
"9128","LPAR1","Lpar1"
"9129","LPAR2","Lpar2"
"9130","LPAR3","Lpar3"
"9131","LPAR4","Lpar4"
"9132","LPAR5","Lpar5"
"9133","LPAR6","Lpar6"
"9134","LPCAT1","Lpcat1"
"9135","LPCAT2","Lpcat2"
"9136","LPCAT3","Lpcat3"
"9137","LPCAT4","Lpcat4"
"9138","LPGAT1","Lpgat1"
"9139","LPIN1","Lpin1"
"9140","LPIN2","Lpin2"
"9141","LPIN3","Lpin3"
"9142","LPL","Lpl"
"9143","LPO","Lpo"
"9144","LPP","Lpp"
"9145","LPXN","Lpxn"
"9146","LRAT","Lrat"
"9147","LRATD1","Lratd1"
"9148","LRATD2","Lratd2"
"9149","LRBA","Lrba"
"9150","LRCH1","Lrch1"
"9151","LRCH2","Lrch2"
"9152","LRCH3","Lrch3"
"9153","LRCH4","Lrch4"
"9154","LRCOL1","Lrcol1"
"9155","LRFN1","Lrfn1"
"9156","LRFN2","Lrfn2"
"9157","LRFN3","Lrfn3"
"9158","LRFN4","Lrfn4"
"9159","LRFN5","Lrfn5"
"9160","LRG1","Lrg1"
"9161","LRGUK","Lrguk"
"9162","LRIF1","Lrif1"
"9163","LRIG1","Lrig1"
"9164","LRIG2","Lrig2"
"9165","LRIG3","Lrig3"
"9166","LRIT1","Lrit1"
"9167","LRIT2","Lrit2"
"9168","LRIT3","Lrit3"
"9169","LRMDA","Lrmda"
"9170","LRP1","Lrp1"
"9171","LRP10","Lrp10"
"9172","LRP11","Lrp11"
"9173","LRP12","Lrp12"
"9174","LRP1B","Lrp1b"
"9175","LRP2","Lrp2"
"9176","LRP2BP","Lrp2bp"
"9177","LRP3","Lrp3"
"9178","LRP4","Lrp4"
"9179","LRP5","Lrp5"
"9180","LRP6","Lrp6"
"9181","LRP8","Lrp8"
"9182","LRPAP1","Lrpap1"
"9183","LRPPRC","Lrpprc"
"9184","LRR1","Lrr1"
"9185","LRRC1","Lrrc1"
"9186","LRRC10B","Lrrc10b"
"9187","LRRC14","Lrrc14"
"9188","LRRC14B","Lrrc14b"
"9189","LRRC15","Lrrc15"
"9190","LRRC17","Lrrc17"
"9191","LRRC18","Lrrc18"
"9192","LRRC19","Lrrc19"
"9193","LRRC2","Lrrc2"
"9194","LRRC20","Lrrc20"
"9195","LRRC23","Lrrc23"
"9196","LRRC24","Lrrc24"
"9197","LRRC25","Lrrc25"
"9198","LRRC26","Lrrc26"
"9199","LRRC27","Lrrc27"
"9200","LRRC28","Lrrc28"
"9201","LRRC3","Lrrc3"
"9202","LRRC30","Lrrc30"
"9203","LRRC31","Lrrc31"
"9204","LRRC32","Lrrc32"
"9205","LRRC34","Lrrc34"
"9206","LRRC36","Lrrc36"
"9207","LRRC37B","Lrrc37a"
"9208","LRRC38","Lrrc38"
"9209","LRRC39","Lrrc39"
"9210","LRRC3B","Lrrc3b"
"9211","LRRC3C","Lrrc3c"
"9212","LRRC4","Lrrc4"
"9213","LRRC40","Lrrc40"
"9214","LRRC41","Lrrc41"
"9215","LRRC42","Lrrc42"
"9216","LRRC43","Lrrc43"
"9217","LRRC45","Lrrc45"
"9218","LRRC46","Lrrc46"
"9219","LRRC47","Lrrc47"
"9220","LRRC49","Lrrc49"
"9221","LRRC4B","Lrrc4b"
"9222","LRRC4C","Lrrc4c"
"9223","LRRC51","Lrrc51"
"9224","LRRC52","Lrrc52"
"9225","LRRC55","Lrrc55"
"9226","LRRC56","Lrrc56"
"9227","LRRC57","Lrrc57"
"9228","LRRC58","Lrrc58"
"9229","LRRC59","Lrrc59"
"9230","LRRC61","Lrrc61"
"9231","LRRC63","Lrrc63"
"9232","LRRC66","Lrrc66"
"9233","LRRC69","Lrrc69"
"9234","LRRC7","Lrrc7"
"9235","LRRC71","Lrrc71"
"9236","LRRC73","Lrrc73"
"9237","LRRC74A","Lrrc74a"
"9238","LRRC74B","Lrrc74b"
"9239","LRRC75A","Lrrc75a"
"9240","LRRC75B","Lrrc75b"
"9241","LRRC8A","Lrrc8a"
"9242","LRRC8B","Lrrc8b"
"9243","LRRC8C","Lrrc8c"
"9244","LRRC8D","Lrrc8d"
"9245","LRRC8E","Lrrc8e"
"9246","LRRC9","Lrrc9"
"9247","LRRCC1","Lrrcc1"
"9248","LRRD1","Lrrd1"
"9249","LRRFIP2","Lrrfip2"
"9250","LRRIQ3","Lrriq3"
"9251","LRRIQ4","Lrriq4"
"9252","LRRK1","Lrrk1"
"9253","LRRK2","Lrrk2"
"9254","LRRN1","Lrrn1"
"9255","LRRN2","Lrrn2"
"9256","LRRN3","Lrrn3"
"9257","LRRN4","Lrrn4"
"9258","LRRTM2","Lrrtm2"
"9259","LRRTM3","Lrrtm3"
"9260","LRRTM4","Lrrtm4"
"9261","LRSAM1","Lrsam1"
"9262","LRTM2","Lrtm2"
"9263","TOMT","Lrtomt"
"9264","LRWD1","Lrwd1"
"9265","LSAMP","Lsamp"
"9266","LSG1","Lsg1"
"9267","LSM1","Lsm1"
"9268","LSM10","Lsm10"
"9269","LSM11","Lsm11"
"9270","LSM12","Lsm12"
"9271","LSM14A","Lsm14a"
"9272","LSM14B","Lsm14b"
"9273","LSM2","Lsm2"
"9274","LSM3","Lsm3"
"9275","LSM4","Lsm4"
"9276","LSM5","Lsm5"
"9277","LSM6","Lsm6"
"9278","LSM7","Lsm7"
"9279","LSM8","Lsm8"
"9280","LSMEM1","Lsmem1"
"9281","LSMEM2","Lsmem2"
"9282","LSP1","Lsp1"
"9283","LSR","Lsr"
"9284","LSS","Lss"
"9285","LST1","Lst1"
"9286","LTA","Lta"
"9287","LTA4H","Lta4h"
"9288","LTB","Ltb"
"9289","LTB4R2","Ltb4r2"
"9290","LTBP1","Ltbp1"
"9291","LTBP2","Ltbp2"
"9292","LTBP3","Ltbp3"
"9293","LTBP4","Ltbp4"
"9294","LTBR","Ltbr"
"9295","LTF","Ltf"
"9296","LTK","Ltk"
"9297","LTN1","Ltn1"
"9298","LTO1","Lto1"
"9299","LTV1","Ltv1"
"9300","LUC7L","Luc7l"
"9301","LUC7L2","Luc7l2"
"9302","LUC7L3","Luc7l3"
"9303","LUM","Lum"
"9304","LURAP1","Lurap1"
"9305","LURAP1L","Lurap1l"
"9306","LUZP1","Luzp1"
"9307","LUZP2","Luzp2"
"9308","LVRN","Lvrn"
"9309","LXN","Lxn"
"9310","LY6S","Ly6al"
"9311","LY6S","Ly6c"
"9312","LY6D","Ly6d"
"9313","LY6E","Ly6e"
"9314","LY6G5B","Ly6g5b"
"9315","LY6G5C","Ly6g5c"
"9316","LY6G6C","Ly6g6c"
"9317","LY6G6F","Ly6g6d"
"9318","LY6H","Ly6h"
"9319","LY6S","Ly6i"
"9320","LY6K","Ly6k"
"9321","LY6L","Ly6l"
"9322","LY75","Ly75"
"9323","LY86","Ly86"
"9324","LY9","Ly9"
"9325","LY96","Ly96"
"9326","LYAR","Lyar"
"9327","LYZ","Lyc2"
"9328","LYG1","Lyg1"
"9329","LYG2","Lyg2"
"9330","LYL1","Lyl1"
"9331","LYN","Lyn"
"9332","LYNX1","Lynx1"
"9333","LYPD1","Lypd1"
"9334","LYPD2","Lypd2"
"9335","LYPD3","Lypd3"
"9336","LYPD4","Lypd4"
"9337","LYPD5","Lypd5"
"9338","LYPD6","Lypd6"
"9339","LYPD6B","Lypd6b"
"9340","LYPD8","Lypd8"
"9341","LYPLA1","Lypla1"
"9342","LYPLA2","Lypla2"
"9343","LYPLAL1","Lyplal1"
"9344","LYRM1","Lyrm1"
"9345","LYRM2","Lyrm2"
"9346","LYRM4","Lyrm4"
"9347","LYRM7","Lyrm7"
"9348","LYRM9","Lyrm9"
"9349","LYSET","Lyset"
"9350","LYSMD1","Lysmd1"
"9351","LYSMD2","Lysmd2"
"9352","LYSMD3","Lysmd3"
"9353","LYSMD4","Lysmd4"
"9354","LYZL2","Lyzl1"
"9355","LYZL4","Lyzl4"
"9356","LYZL6","Lyzl6"
"9357","LZTFL1","Lztfl1"
"9358","LZTR1","Lztr1"
"9359","LZTS1","Lzts1"
"9360","LZTS2","Lzts2"
"9361","LZTS3","Lzts3"
"9362","M1AP","M1ap"
"9363","M6PR","M6pr"
"9364","M6PR","M6pr-ps1"
"9365","MAST1","MAST1"
"9366","SPN","MGC112692"
"9367","C2orf78","MGC114499"
"9368","C18orf21","MGC116121"
"9369","C10orf62","MGC93861"
"9370","C8orf82","MGC94207"
"9371","C6orf118","MGC94891"
"9372","C17orf80","MGC95210"
"9373","MAB21L1","Mab21l1"
"9374","MAB21L2","Mab21l2"
"9375","MAB21L3","Mab21l3"
"9376","MAB21L4","Mab21l4"
